phase,symbol,method,baseline,block_days,BA_difference_low,BA_difference_high,resamples,selection_adjusted
development,AAPL,P_cross_lr,P_own_lr,1,-0.08921555727554178,0.013913483430306184,1000,False
development,AAPL,P_cross_hgb,P_own_hgb,1,-0.10379563565071405,0.008200136612021866,1000,False
development,AAPL,P_cross_tabpfn,P_own_tabpfn,1,-0.07208123916279532,0.03150831653225816,1000,False
development,AAPL,P_own_hgb,P_own_lr,1,-0.07085058972995935,0.11055037792547283,1000,False
development,AAPL,P_own_tabpfn,P_own_lr,1,-0.04629629629629628,0.06483782102756673,1000,False
development,AAPL,P_cross_hgb,P_cross_lr,1,-0.07800368788819877,0.09523809523809512,1000,False
development,AAPL,P_cross_tabpfn,P_cross_lr,1,-0.037556115761794136,0.08863901438318278,1000,False
development,AAPL,T_A1,T_original,1,-0.029340663086261695,0.07553058856691576,1000,False
development,AAPL,T_original_interaction,T_original,1,-0.08573489010989004,0.058937431406621554,1000,False
development,AAPL,T_A1_interaction,T_A1,1,-0.06252026125095347,0.10489959983243674,1000,False
development,AAPL,T_mix,F2_new,1,-0.12244481746165599,0.030003928640841702,1000,False
development,AAPL,H1,H0,1,-0.05612944282823174,0.07589626239511826,1000,False
development,AAPL,H2,H1,1,-0.06274070230511546,0.00769531249999997,1000,False
development,AMZN,P_cross_lr,P_own_lr,1,-0.014088499017359956,0.08480232624162128,1000,False
development,AMZN,P_cross_hgb,P_own_hgb,1,-0.14632376012145745,0.030628188775510223,1000,False
development,AMZN,P_cross_tabpfn,P_own_tabpfn,1,-0.12468829923273658,0.020055937084625636,1000,False
development,AMZN,P_own_hgb,P_own_lr,1,-0.04628410355314887,0.08098609613337794,1000,False
development,AMZN,P_own_tabpfn,P_own_lr,1,-0.03482391482391489,0.12257686996271716,1000,False
development,AMZN,P_cross_hgb,P_cross_lr,1,-0.16313257844761825,0.028406339031338972,1000,False
development,AMZN,P_cross_tabpfn,P_cross_lr,1,-0.11894987468671675,0.03338417329796635,1000,False
development,AMZN,T_A1,T_original,1,-0.04661173882750996,0.03068409125428654,1000,False
development,AMZN,T_original_interaction,T_original,1,-0.08064665748997545,0.01469181285262447,1000,False
development,AMZN,T_A1_interaction,T_A1,1,-0.07080818933835226,0.0717645441577424,1000,False
development,AMZN,T_mix,F2_new,1,-0.043948504027617956,0.10999175329325722,1000,False
development,AMZN,H1,H0,1,-0.06916012479871171,0.14285927887901576,1000,False
development,AMZN,H2,H1,1,-0.0519914980852481,0.04697192513368975,1000,False
development,AAPL,P_cross_lr,P_own_lr,5,-0.08672505040322578,0.0051739906029614246,1000,False
development,AAPL,P_cross_hgb,P_own_hgb,5,-0.11250181823931191,0.015157051869501557,1000,False
development,AAPL,P_cross_tabpfn,P_own_tabpfn,5,-0.06748066108868277,0.018979377882426172,1000,False
development,AAPL,P_own_hgb,P_own_lr,5,-0.060191439038269956,0.10302648171500628,1000,False
development,AAPL,P_own_tabpfn,P_own_lr,5,-0.05266753885248021,0.06543113160865002,1000,False
development,AAPL,P_cross_hgb,P_cross_lr,5,-0.06548860625331217,0.08788584044339168,1000,False
development,AAPL,P_cross_tabpfn,P_cross_lr,5,-0.022225877192982378,0.07278666482266896,1000,False
development,AAPL,T_A1,T_original,5,-0.02884963768115943,0.06452359617682192,1000,False
development,AAPL,T_original_interaction,T_original,5,-0.08095741074786231,0.05000480153649166,1000,False
development,AAPL,T_A1_interaction,T_A1,5,-0.06609342466035831,0.11515430622009572,1000,False
development,AAPL,T_mix,F2_new,5,-0.10016335777978803,0.014289879745001505,1000,False
development,AAPL,H1,H0,5,-0.05303556397306403,0.08492587601078173,1000,False
development,AAPL,H2,H1,5,-0.05402521286397153,0.0,1000,False
development,AMZN,P_cross_lr,P_own_lr,5,-0.011575419896640824,0.08642921767921762,1000,False
development,AMZN,P_cross_hgb,P_own_hgb,5,-0.1230884554443671,0.01683271678728358,1000,False
