method,symbol,phase,n,BA,MCC,Brier,pred_up,constant
F0,AAPL,development,126,0.5045638945233265,0.013001274187308592,0.260102851399259,0.8571428571428571,0
F0,AAPL,later,178,0.5189465706707086,0.05202550290923069,0.2693583552956159,0.8426966292134831,0
F0,AAPL,train_forward_oof,383,0.5001831914773689,0.0003612870332648107,0.26498507019905926,0.5352480417754569,0
F0,AMZN,development,126,0.48330241187384043,-0.03289758474798845,0.27095076661399387,0.5714285714285714,0
F0,AMZN,later,179,0.4978723404255319,-0.004333585708320421,0.2676852632154346,0.5977653631284916,0
F0,AMZN,train_forward_oof,382,0.5186724275531827,0.03940489707528027,0.257838956557549,0.662303664921466,0
R1,AAPL,development,126,0.5621196754563895,0.14894830773554277,0.24411096100759516,0.7777777777777778,0
R1,AAPL,later,178,0.5386510041682455,0.08597676748504192,0.25577476582147957,0.7191011235955056,0
R1,AAPL,train_forward_oof,383,0.5268023223042669,0.052859072097666916,0.25766056155301725,0.46475195822454307,0
R1,AMZN,development,126,0.5111317254174397,0.02234950781338371,0.2718877788099645,0.6190476190476191,0
R1,AMZN,later,179,0.5085106382978724,0.017418199070209483,0.27222912692367146,0.6089385474860335,0
R1,AMZN,train_forward_oof,382,0.5217959655447615,0.04574289772518907,0.25617620131172997,0.6544502617801047,0
F1,AAPL,development,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.7936507936507936,0
F1,AAPL,later,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,0
F1,AAPL,train_forward_oof,383,0.503029705202638,0.006144151764253761,0.2592606648817109,0.6214099216710183,0
F1,AMZN,development,126,0.5565862708719851,0.11175966918302659,0.24813226696952742,0.42063492063492064,0
F1,AMZN,later,179,0.5435544430538173,0.08716344852207177,0.2583062367774877,0.4692737430167598,0
F1,AMZN,train_forward_oof,382,0.5326939483171423,0.06530258832057416,0.26055740634768043,0.4816753926701571,0
F2,AAPL,development,126,0.5413286004056794,0.10665141370746663,0.28029547508334307,0.8174603174603174,0
F2,AAPL,later,178,0.5671340154098775,0.15225387872362858,0.28557810785631715,0.7359550561797753,0
F2,AAPL,train_forward_oof,383,0.5001831914773689,0.0003612870332648107,0.26018906778411555,0.5352480417754569,0
F2,AMZN,development,126,0.46289424860853434,-0.0728067416339465,0.297652395394459,0.5555555555555556,0
F2,AMZN,later,179,0.5426783479349186,0.08692663097278021,0.26169057480580954,0.5977653631284916,0
F2,AMZN,train_forward_oof,382,0.4813963728431076,-0.038419557993187976,0.27485353855450334,0.6282722513089005,0
F6,AAPL,development,126,0.5035496957403651,0.015447815630555594,0.25729622065442287,0.9444444444444444,0
F6,AAPL,later,178,0.4939370973853733,-0.013658361895953085,0.2528519469342745,0.7303370786516854,0
F6,AAPL,train_forward_oof,383,0.5533791781748492,0.11047960128035443,0.24517905373908971,0.6553524804177546,0
F6,AMZN,development,126,0.5250463821892393,0.050964719143762556,0.2651589066198111,0.6428571428571429,0
F6,AMZN,later,179,0.5115769712140176,0.024394527890402418,0.25453802398246317,0.659217877094972,0
F6,AMZN,train_forward_oof,382,0.551352615791067,0.1104144292727165,0.2520400743004611,0.6858638743455497,0
F1_new,AAPL,development,126,0.5793610547667343,0.19548759607310848,0.24904942426014504,0.7936507936507936,0
