method,AAPL,AMZN,weakest
F0,0.5093390632606319,0.6075024987506247,0.5093390632606319
R1,0.5283304204872832,0.6072817757787773,0.5283304204872832
F1,0.4785546697311403,0.6120335665500584,0.4785546697311403
F2,0.5040869624202957,0.5608445777111445,0.5040869624202957
F6,0.5224508606861548,0.6048350824587706,0.5224508606861548
F1_new,0.4785546697311403,0.6049267033150092,0.4785546697311403
F2_new,0.5093340755105461,0.5638139263701483,0.5093340755105461
H0,0.5619628193157605,0.6495335665500583,0.5619628193157605
H1,0.5658343109323501,0.6075732966849908,0.5658343109323501
H2,0.5415449655645733,0.6215829585207396,0.5415449655645733
P_cross_hgb,0.5953338600397424,0.42161002831917377,0.42161002831917377
P_cross_lr,0.5688329462839267,0.5705667999333667,0.5688329462839267
P_cross_tabpfn,0.5035841972116483,0.4987131434282859,0.4987131434282859
P_own_hgb,0.6030040221216691,0.44047143095119107,0.44047143095119107
P_own_lr,0.5504191705172098,0.6086706646676662,0.5504191705172098
P_own_tabpfn,0.5414791272634409,0.5376832417124772,0.5376832417124772
T_A1,0.5246853727245884,0.6289105447276362,0.5246853727245884
T_A1_interaction,0.4392232676546402,0.5830772113943029,0.4392232676546402
T_mix,0.5114588570470923,0.5902132267199733,0.5114588570470923
T_original,0.5237117639078424,0.6014346993170082,0.5237117639078424
T_original_interaction,0.5053658215422921,0.6217453773113443,0.5053658215422921
