phase,symbol,method,baseline,block_days,BA_difference_low,BA_difference_high,resamples,selection_adjusted
development,AAPL,F1_new,F0,1,0.005967927061677123,0.13229057210787087,1000,False
development,AAPL,F2_new,F0,1,-0.016843179647708074,0.10818443627450985,1000,False
development,AAPL,H0,F0,1,-0.04086834016393439,0.12018556967285252,1000,False
development,AAPL,H1,F0,1,-0.032469512195121876,0.1390880737561013,1000,False
development,AAPL,H2,F0,1,-0.0573030580511795,0.11633777821383329,1000,False
development,AAPL,P_cross_hgb,F0,1,-0.09397186147186153,0.10720818815331006,1000,False
development,AAPL,P_cross_lr,F0,1,-0.06822676562788119,0.0696597346894581,1000,False
development,AAPL,P_cross_tabpfn,F0,1,-0.04712701612903225,0.10717519301092242,1000,False
development,AAPL,P_own_hgb,F0,1,-0.04864487986270028,0.15625217398178604,1000,False
development,AAPL,P_own_lr,F0,1,-0.04348541009030013,0.10845016429353768,1000,False
development,AAPL,P_own_tabpfn,F0,1,-0.032949132646406636,0.12649348130138843,1000,False
development,AAPL,T_A1,F0,1,-0.05789475189505495,0.08606216988037366,1000,False
development,AAPL,T_A1_interaction,F0,1,-0.04916512059369205,0.11522231147231138,1000,False
development,AAPL,T_mix,F0,1,-0.08097988077496276,0.07933573383586841,1000,False
development,AAPL,T_original,F0,1,-0.08780040475588163,0.06026610126940249,1000,False
development,AAPL,T_original_interaction,F0,1,-0.10321350270439576,0.06428841991341991,1000,False
development,AMZN,F1_new,F0,1,-0.009306826178747361,0.186368635409982,1000,False
development,AMZN,F2_new,F0,1,-0.09358786786878101,0.1174904049169912,1000,False
development,AMZN,H0,F0,1,-0.06812193627450973,0.12648419044942805,1000,False
development,AMZN,H1,F0,1,-0.06012726860254081,0.20629540089669043,1000,False
development,AMZN,H2,F0,1,-0.05688582251082257,0.19059056415456035,1000,False
development,AMZN,P_cross_hgb,F0,1,-0.08349745905018613,0.11318609022556385,1000,False
development,AMZN,P_cross_lr,F0,1,0.005315319548872165,0.17049242424242428,1000,False
development,AMZN,P_cross_tabpfn,F0,1,-0.052974019577019,0.13213047479528212,1000,False
development,AMZN,P_own_hgb,F0,1,-0.015236191860465062,0.1595904361359007,1000,False
development,AMZN,P_own_lr,F0,1,-0.023242447841205473,0.1234758797258797,1000,False
development,AMZN,P_own_tabpfn,F0,1,0.0,0.19595812696904716,1000,False
development,AMZN,T_A1,F0,1,-0.047668182780329936,0.12117095997034842,1000,False
development,AMZN,T_A1_interaction,F0,1,-0.06409919755260453,0.13074060756485043,1000,False
development,AMZN,T_mix,F0,1,-0.04028648496322763,0.12727119779404092,1000,False
development,AMZN,T_original,F0,1,-0.04385964912280704,0.12502800896286814,1000,False
development,AMZN,T_original_interaction,F0,1,-0.09913655140758867,0.11045317358697633,1000,False
development,AAPL,F1_new,F0,5,0.023213565668202794,0.11904761904761907,1000,False
development,AAPL,F2_new,F0,5,-0.01797921680045649,0.10317460317460314,1000,False
development,AAPL,H0,F0,5,-0.05688327603438769,0.14475076914098,1000,False
development,AAPL,H1,F0,5,-0.03050316872189764,0.13878444621091687,1000,False
development,AAPL,H2,F0,5,-0.04663558467741942,0.10410479347601326,1000,False
development,AAPL,P_cross_hgb,F0,5,-0.0718282242790812,0.0811601862821869,1000,False
development,AAPL,P_cross_lr,F0,5,-0.06156209987195903,0.06960307959292474,1000,False
development,AAPL,P_cross_tabpfn,F0,5,-0.037811264120647725,0.08954912037759398,1000,False
development,AAPL,P_own_hgb,F0,5,-0.030913788093421917,0.13486077892509712,1000,False
development,AAPL,P_own_lr,F0,5,-0.025096503732603026,0.1018774573153118,1000,False
development,AAPL,P_own_tabpfn,F0,5,-0.01796876101412157,0.10383733286479035,1000,False
development,AAPL,T_A1,F0,5,-0.06456365495597598,0.09873641111000542,1000,False
development,AAPL,T_A1_interaction,F0,5,-0.04191627456522464,0.12395394736842111,1000,False
development,AAPL,T_mix,F0,5,-0.06018703915586071,0.05802963430012605,1000,False
development,AAPL,T_original,F0,5,-0.07547884505431673,0.06231728830645156,1000,False
development,AAPL,T_original_interaction,F0,5,-0.11785714285714288,0.05807277568935773,1000,False
development,AMZN,F1_new,F0,5,0.013768288998484108,0.15648155147842344,1000,False
development,AMZN,F2_new,F0,5,-0.06481704059829066,0.09938331485587584,1000,False
development,AMZN,H0,F0,5,-0.0468438921377518,0.10356039840299892,1000,False
development,AMZN,H1,F0,5,-0.023567855266804418,0.18090412093646088,1000,False
development,AMZN,H2,F0,5,-0.01813623568549671,0.16208500404339915,1000,False
development,AMZN,P_cross_hgb,F0,5,-0.08862454792043392,0.1002863408521303,1000,False
development,AMZN,P_cross_lr,F0,5,0.017088189164802054,0.14456974918113688,1000,False
development,AMZN,P_cross_tabpfn,F0,5,-0.04089370579133506,0.11630434782608695,1000,False
development,AMZN,P_own_hgb,F0,5,-0.009428300358178496,0.13342391304347823,1000,False
development,AMZN,P_own_lr,F0,5,-0.008841732979664067,0.09754240541417533,1000,False
development,AMZN,P_own_tabpfn,F0,5,-0.017287075582230894,0.1855592209856915,1000,False
development,AMZN,T_A1,F0,5,-0.028047350405679523,0.08644235647932907,1000,False
development,AMZN,T_A1_interaction,F0,5,-0.05047603585551278,0.11409125432858437,1000,False
development,AMZN,T_mix,F0,5,-0.023192712603011624,0.11132540144906941,1000,False
development,AMZN,T_original,F0,5,-0.022736013986013968,0.09525471007865373,1000,False
development,AMZN,T_original_interaction,F0,5,-0.06813897118233236,0.08268036057622631,1000,False
later,AAPL,F1_new,F0,1,-0.059217106422988844,0.048958835490290536,1000,False
later,AAPL,F2_new,F0,1,-0.030880618482560254,0.09698058390022672,1000,False
later,AAPL,H0,F0,1,-0.04817598303121167,0.06179832746466231,1000,False
later,AAPL,H1,F0,1,-0.045471926273850924,0.05974583503595163,1000,False
later,AAPL,H2,F0,1,-0.06221520935960595,0.056335713211767044,1000,False
later,AAPL,P_cross_hgb,F0,1,-0.0945194044850402,0.054342823820920254,1000,False
later,AAPL,P_cross_lr,F0,1,-0.033328200524184906,0.0884786314229249,1000,False
later,AAPL,P_cross_tabpfn,F0,1,-0.07916275943985995,0.039681138896564404,1000,False
later,AAPL,P_own_hgb,F0,1,-0.12342313035689256,0.005619915280149059,1000,False
later,AAPL,P_own_lr,F0,1,-0.05038800959451885,0.07020879052582851,1000,False
later,AAPL,P_own_tabpfn,F0,1,-0.12439827922875549,-0.005545532646048099,1000,False
later,AAPL,T_A1,F0,1,-0.039802482278911186,0.08242675244543177,1000,False
later,AAPL,T_A1_interaction,F0,1,-0.042517697365349376,0.09682111150744119,1000,False
later,AAPL,T_mix,F0,1,-0.06766643536847361,0.025225582845051785,1000,False
later,AAPL,T_original,F0,1,-0.0674476506639428,0.06747860423339601,1000,False
later,AAPL,T_original_interaction,F0,1,-0.0900622104289753,0.0544571691264493,1000,False
later,AMZN,F1_new,F0,1,-0.023810260946483825,0.10503396819599636,1000,False
later,AMZN,F2_new,F0,1,0.010518460417534016,0.1311089627175429,1000,False
later,AMZN,H0,F0,1,-0.054851386806596715,0.06484229269417761,1000,False
later,AMZN,H1,F0,1,-0.0956927244582044,0.07255060638487597,1000,False
later,AMZN,H2,F0,1,-0.10140976363365925,0.0778606102635229,1000,False
later,AMZN,P_cross_hgb,F0,1,-0.07296999690616712,0.09445080471212874,1000,False
later,AMZN,P_cross_lr,F0,1,-0.06300342591221737,0.04954788493800236,1000,False
