method,seed,symbol,phase,n,BA,MCC,Brier,pred_up,constant
T_original_interaction,573,AAPL,development,126,0.5121703853955375,0.02437478573223357,0.2735425643282903,0.4523809523809524,0
T_original_interaction,573,AAPL,later,178,0.5088417329796641,0.018096176166234896,0.2657246417930596,0.39325842696629215,0
T_original_interaction,573,AAPL,train_forward_oof,383,0.5189250887774083,0.03742540560479054,0.2682690027850188,0.4490861618798956,0
T_original_interaction,573,AMZN,development,126,0.5074211502782932,0.01451697641562223,0.2761238265477069,0.4603174603174603,0
T_original_interaction,573,AMZN,later,179,0.4670838548185231,-0.06598110145657914,0.28538897908240785,0.5418994413407822,0
T_original_interaction,573,AMZN,train_forward_oof,382,0.5734237829209896,0.14655946522059107,0.25337634555813304,0.5026178010471204,0
T_original_interaction,574,AAPL,development,126,0.47819472616632863,-0.044946669774640534,0.28932592482079705,0.626984126984127,0
T_original_interaction,574,AAPL,later,178,0.5471138057344954,0.0959708462102405,0.2838046377047968,0.5955056179775281,0
T_original_interaction,574,AAPL,train_forward_oof,383,0.4413505439377713,-0.11625835116432834,0.28914266278568745,0.5613577023498695,0
T_original_interaction,574,AMZN,development,126,0.5064935064935064,0.012765627227261989,0.2810425289806812,0.5634920634920635,0
T_original_interaction,574,AMZN,later,179,0.5012515644555695,0.0025046967966112577,0.2808815926311266,0.5307262569832403,0
T_original_interaction,574,AMZN,train_forward_oof,382,0.5584390566089661,0.1198712759238897,0.2534247908749841,0.6151832460732984,0
T_original_interaction,575,AAPL,development,126,0.5324543610547667,0.07103553355215506,0.2609654151389766,0.7063492063492064,0
T_original_interaction,575,AAPL,later,178,0.4809271188581533,-0.040022275863639406,0.3152143838690133,0.651685393258427,0
T_original_interaction,575,AAPL,train_forward_oof,383,0.47691787385153034,-0.04572562103364393,0.2667528094774085,0.5587467362924282,0
T_original_interaction,575,AMZN,development,126,0.4601113172541744,-0.07878140614541218,0.30674966829409206,0.5793650793650794,0
T_original_interaction,575,AMZN,later,179,0.5261576971214017,0.053160435416814755,0.27521100866266723,0.5921787709497207,0
T_original_interaction,575,AMZN,train_forward_oof,382,0.5681399124858959,0.13808723988011262,0.2543550972640013,0.5863874345549738,0
T_A1,573,AAPL,development,126,0.5091277890466531,0.02014148736276902,0.2626803279009699,0.7142857142857143,0
T_A1,573,AAPL,later,178,0.5376405203991411,0.08028997403429404,0.26201680711512687,0.6741573033707865,0
T_A1,573,AAPL,train_forward_oof,383,0.49682937827630913,-0.006323624151704519,0.28443418147700417,0.5822454308093995,0
T_A1,573,AMZN,development,126,0.5222634508348794,0.04346285852125068,0.2638497787793709,0.5238095238095238,0
T_A1,573,AMZN,later,179,0.46595744680851064,-0.06856737473783538,0.2658637625599095,0.5642458100558659,0
T_A1,573,AMZN,train_forward_oof,382,0.5472658722514241,0.09747320308764425,0.29025041474395663,0.6256544502617801,0
T_A1,574,AAPL,development,126,0.510395537525355,0.023345975587615454,0.26628617524147513,0.7301587301587301,0
T_A1,574,AAPL,later,178,0.537387899456865,0.07907236990998777,0.26276155038531995,0.6629213483146067,0
T_A1,574,AAPL,train_forward_oof,383,0.5071867425736993,0.014517817794050376,0.28506064373282325,0.6135770234986945,0
T_A1,574,AMZN,development,126,0.4990723562152134,-0.001812555152785829,0.2668975623459222,0.5317460317460317,0
T_A1,574,AMZN,later,179,0.47240300375469335,-0.05537447892436715,0.26868105973724493,0.547486033519553,0
T_A1,574,AMZN,train_forward_oof,382,0.5469356303492308,0.09707091142372348,0.2844902479380314,0.6308900523560209,0
T_A1,575,AAPL,development,126,0.5410750507099391,0.09063669313246059,0.2665113135725675,0.7142857142857143,0
