,,,BA,BA,MCC,MCC,Brier,Brier
,,,mean,std,mean,std,mean,std
method,symbol,phase,,,,,,
T_A1,AAPL,development,0.5201994590939824,0.01808990161771106,0.04470805202761502,0.0398076279310772,0.2651592722383375,0.00214977803222959
T_A1,AAPL,later,0.5375563134183824,0.00014585076902601889,0.07988410599285861,0.000702984068934625,0.26224566536676835,0.00044771520894049696
T_A1,AAPL,train_forward_oof,0.5052092140615899,0.007586890180587207,0.010570229040612458,0.015306722307065163,0.28632099294703767,0.0027434611385708297
T_A1,AMZN,development,0.5102040816326531,0.011623343308109078,0.01993217462933088,0.02269048247394764,0.2672799911725046,0.0036365396972731856
T_A1,AMZN,later,0.4722152690863579,0.0061660987485592424,-0.05582310344217458,0.012525985879385254,0.2675758637753092,0.0015035096728545074
T_A1,AMZN,train_forward_oof,0.550880186403207,0.006548255799762668,0.10480513014508581,0.013049215344872002,0.28427080584045344,0.0060922947559622406
T_A1_interaction,AAPL,development,0.5533299526707235,0.04774841874313714,0.10687139628053677,0.0955890255827883,0.25687539463428705,0.026919900576754037
T_A1_interaction,AAPL,later,0.5270304408235442,0.017427755628491838,0.05589567822578497,0.036082011246706604,0.2691767678331096,0.01116410889882264
T_A1_interaction,AAPL,train_forward_oof,0.4622014918362362,0.03399374229912474,-0.07508782441970095,0.0665395817202257,0.2847714492042192,0.018522304918558097
T_A1_interaction,AMZN,development,0.5179344465058751,0.047340138474042386,0.037504407821542546,0.09661104753196548,0.27190695760653977,0.026963744607102286
T_A1_interaction,AMZN,later,0.5120775969962453,0.019420735809391063,0.024456172890213648,0.03919747125170114,0.27764851208472646,0.014102405729872522
T_A1_interaction,AMZN,train_forward_oof,0.5274009044958765,0.04033642864590609,0.05633755267682056,0.08355398373062482,0.26239663404273267,0.005969447501434386
T_original_interaction,AAPL,development,0.507606490872211,0.027416214991710455,0.016821216503249362,0.05835889116670511,0.2746113014293547,0.014210428445214151
T_original_interaction,AAPL,later,0.512294219190771,0.03322813755983249,0.02468158217094533,0.06823531337977028,0.28824788778895655,0.025042274181249904
T_original_interaction,AAPL,train_forward_oof,0.4790645021889033,0.03883179768802009,-0.04151952219772724,0.0769281660006954,0.27472149168270493,0.012512087856254628
T_original_interaction,AMZN,development,0.49134199134199136,0.02705053388997051,-0.017166267500842654,0.05336746001672776,0.2879720079408267,0.016446847864043174
T_original_interaction,AMZN,later,0.49816437213183146,0.0296576765515971,-0.0034386564143843745,0.05979271726290383,0.28049386012540056,0.005100051258396936
T_original_interaction,AMZN,train_forward_oof,0.5666675840052838,0.007600086777641329,0.1348393270081978,0.013637322519534544,0.25371874456570614,0.0005516296807205433
