method,symbol,phase,corrected,broken,both_wrong
F0,AAPL,development,0,0,66
F0,AAPL,later,0,0,87
F0,AAPL,train_forward_oof,0,0,189
F0,AMZN,development,0,0,67
F0,AMZN,later,0,0,89
F0,AMZN,train_forward_oof,0,0,180
R1,AAPL,development,15,7,51
R1,AAPL,later,19,15,68
R1,AAPL,train_forward_oof,35,30,154
R1,AMZN,development,10,8,57
R1,AMZN,later,10,8,79
R1,AMZN,train_forward_oof,13,12,167
F1,AAPL,development,16,6,50
F1,AAPL,later,15,15,72
F1,AAPL,train_forward_oof,62,55,127
F1,AMZN,development,19,6,48
F1,AMZN,later,20,13,69
F1,AMZN,train_forward_oof,43,42,137
F2,AAPL,development,14,9,52
F2,AAPL,later,24,15,63
F2,AAPL,train_forward_oof,58,58,131
F2,AMZN,development,10,12,57
F2,AMZN,later,15,7,74
F2,AMZN,train_forward_oof,26,41,154
F6,AAPL,development,9,10,57
F6,AAPL,later,20,24,67
F6,AAPL,train_forward_oof,58,30,131
F6,AMZN,development,11,8,56
F6,AMZN,later,14,11,75
F6,AMZN,train_forward_oof,33,20,147
F1_new,AAPL,development,16,6,50
F1_new,AAPL,later,15,15,72
F1_new,AAPL,train_forward_oof,62,55,127
F1_new,AMZN,development,20,6,47
F1_new,AMZN,later,21,15,68
F1_new,AMZN,train_forward_oof,49,46,131
F2_new,AAPL,development,14,8,52
F2_new,AAPL,later,22,16,65
F2_new,AAPL,train_forward_oof,58,55,131
F2_new,AMZN,development,15,12,52
F2_new,AMZN,later,21,9,68
F2_new,AMZN,train_forward_oof,33,42,147
H0,AAPL,development,15,9,51
H0,AAPL,later,18,16,69
H0,AAPL,train_forward_oof,41,33,148
H0,AMZN,development,16,11,51
H0,AMZN,later,14,14,75
H0,AMZN,train_forward_oof,43,37,137
H1,AAPL,development,16,9,50
H1,AAPL,later,16,14,71
H1,AAPL,train_forward_oof,64,50,125
H1,AMZN,development,27,19,40
H1,AMZN,later,24,26,65
H1,AMZN,train_forward_oof,60,67,120
H2,AAPL,development,14,10,52
H2,AAPL,later,16,16,71
H2,AAPL,train_forward_oof,58,49,131
H2,AMZN,development,24,15,43
H2,AMZN,later,26,28,63
H2,AMZN,train_forward_oof,62,69,118
P_cross_hgb,AAPL,development,20,18,46
P_cross_hgb,AAPL,later,28,31,59
P_cross_hgb,AAPL,train_forward_oof,74,51,115
P_cross_hgb,AMZN,development,21,22,46
P_cross_hgb,AMZN,later,27,25,62
P_cross_hgb,AMZN,train_forward_oof,49,79,131
P_cross_lr,AAPL,development,13,12,53
P_cross_lr,AAPL,later,24,18,63
P_cross_lr,AAPL,train_forward_oof,57,38,132
P_cross_lr,AMZN,development,19,10,48
P_cross_lr,AMZN,later,12,13,77
P_cross_lr,AMZN,train_forward_oof,27,35,153
P_cross_tabpfn,AAPL,development,12,9,54
P_cross_tabpfn,AAPL,later,18,21,69
P_cross_tabpfn,AAPL,train_forward_oof,57,56,132
P_cross_tabpfn,AMZN,development,18,17,49
P_cross_tabpfn,AMZN,later,34,25,55
P_cross_tabpfn,AMZN,train_forward_oof,50,54,130
P_own_hgb,AAPL,development,24,16,42
P_own_hgb,AAPL,later,17,27,70
P_own_hgb,AAPL,train_forward_oof,70,55,119
P_own_hgb,AMZN,development,21,16,46
P_own_hgb,AMZN,later,33,30,56
P_own_hgb,AMZN,train_forward_oof,48,80,132
P_own_lr,AAPL,development,16,10,50
P_own_lr,AAPL,later,24,21,63
P_own_lr,AAPL,train_forward_oof,45,32,144
P_own_lr,AMZN,development,12,8,55
P_own_lr,AMZN,later,11,10,78
P_own_lr,AMZN,train_forward_oof,21,17,159
P_own_tabpfn,AAPL,development,16,10,50
P_own_tabpfn,AAPL,later,13,24,74
P_own_tabpfn,AAPL,train_forward_oof,53,34,136
P_own_tabpfn,AMZN,development,21,15,46
P_own_tabpfn,AMZN,later,28,23,61
P_own_tabpfn,AMZN,train_forward_oof,55,62,125
T_A1,AAPL,development,13,10,53
T_A1,AAPL,later,22,17,65
T_A1,AAPL,train_forward_oof,51,45,138
T_A1,AMZN,development,13,9,54
T_A1,AMZN,later,11,17,78
T_A1,AMZN,train_forward_oof,46,37,134
T_A1_interaction,AAPL,development,25,17,41
T_A1_interaction,AAPL,later,33,27,54
T_A1_interaction,AAPL,train_forward_oof,60,89,129
T_A1_interaction,AMZN,development,22,15,45
T_A1_interaction,AMZN,later,16,18,73
T_A1_interaction,AMZN,train_forward_oof,45,43,135
T_mix,AAPL,development,14,13,52
T_mix,AAPL,later,6,9,81
T_mix,AAPL,train_forward_oof,46,44,143
T_mix,AMZN,development,15,10,52
