symbol,phase,period,method,n,BA,MCC,Brier,accuracy,up_recall,down_recall,pred_up,coverage
AAPL,frozen,all,price,304,0.5081327260897853,0.021104141308817714,0.2676735234412185,0.4934210526315789,0.8275862068965517,0.18867924528301888,0.819078947368421,1.0
AAPL,frozen,all,title,304,0.5162437649099978,0.04569231009311487,0.26533106494419967,0.5,0.8689655172413793,0.16352201257861634,0.8519736842105263,1.0
AAPL,frozen,all,body,304,0.5461721969204077,0.11249610070475818,0.2549430486636469,0.5328947368421053,0.8344827586206897,0.2578616352201258,0.7861842105263158,1.0
AAPL,frozen,all,semantic,304,0.5518542615484711,0.12243057183889834,0.2860438942119165,0.5394736842105263,0.8206896551724138,0.2830188679245283,0.7664473684210527,1.0
AAPL,frozen,all,integrated,304,0.5470830622424637,0.11892364509477195,0.25882221631172125,0.5328947368421053,0.8551724137931035,0.2389937106918239,0.805921052631579,1.0
AAPL,frozen,all,multi_only,304,0.5470830622424637,0.11892364509477195,0.25882221631172125,0.5328947368421053,0.8551724137931035,0.2389937106918239,0.805921052631579,1.0
AAPL,frozen,all,no_semantic,304,0.5134027325959661,0.03879990131108253,0.26134464686842884,0.4967105263157895,0.8758620689655172,0.1509433962264151,0.8618421052631579,1.0
AAPL,frozen,all,no_body,304,0.5216222077640426,0.05692955636437812,0.2668502423907776,0.506578947368421,0.8482758620689655,0.1949685534591195,0.8256578947368421,1.0
AAPL,frozen,all,no_title,304,0.5470830622424637,0.11892364509477195,0.25882221631172125,0.5328947368421053,0.8551724137931035,0.2389937106918239,0.805921052631579,1.0
AAPL,frozen,all,uniform,304,0.534808067664281,0.09164687860062876,0.2620983949309811,0.5197368421052632,0.8620689655172413,0.20754716981132076,0.8256578947368421,1.0
AAPL,frozen,2018-09,price,57,0.479064039408867,-0.05304270261576678,0.25275890439912974,0.47368421052631576,0.7857142857142857,0.1724137931034483,0.8070175438596491,1.0
AAPL,frozen,2018-09,title,57,0.49753694581280783,-0.007089880956935217,0.24813353749482586,0.49122807017543857,0.8571428571428571,0.13793103448275862,0.8596491228070176,1.0
AAPL,frozen,2018-09,body,57,0.6016009852216749,0.24917762935063273,0.24586650900790555,0.5964912280701754,0.8928571428571429,0.3103448275862069,0.7894736842105263,1.0
AAPL,frozen,2018-09,semantic,57,0.5665024630541872,0.1630980846658687,0.2504861776561782,0.5614035087719298,0.8571428571428571,0.27586206896551724,0.7894736842105263,1.0
AAPL,frozen,2018-09,integrated,57,0.5492610837438423,0.12480635909592185,0.2411823015993563,0.543859649122807,0.8571428571428571,0.2413793103448276,0.8070175438596491,1.0
AAPL,frozen,2018-09,multi_only,57,0.5492610837438423,0.12480635909592185,0.2411823015993563,0.543859649122807,0.8571428571428571,0.2413793103448276,0.8070175438596491,1.0
AAPL,frozen,2018-09,no_semantic,57,0.5153940886699507,0.04689515459275806,0.24582890616088532,0.5087719298245614,0.8928571428571429,0.13793103448275862,0.8771929824561403,1.0
AAPL,frozen,2018-09,no_body,57,0.480295566502463,-0.06002579787873031,0.2453589150400877,0.47368421052631576,0.8571428571428571,0.10344827586206896,0.8771929824561403,1.0
AAPL,frozen,2018-09,no_title,57,0.5492610837438423,0.12480635909592185,0.2411823015993563,0.543859649122807,0.8571428571428571,0.2413793103448276,0.8070175438596491,1.0
AAPL,frozen,2018-09,uniform,57,0.5504926108374384,0.15381610706424642,0.24223863047492297,0.543859649122807,0.9285714285714286,0.1724137931034483,0.8771929824561403,1.0
AAPL,frozen,2018-10,price,69,0.514102564102564,0.04367280615529453,0.2687625880355307,0.463768115942029,0.9,0.1282051282051282,0.8840579710144928,1.0
AAPL,frozen,2018-10,title,69,0.5269230769230769,0.0792593923901217,0.2691484762784345,0.4782608695652174,0.9,0.15384615384615385,0.8695652173913043,1.0
