version,method,split,n,schema_and_literal_evidence_valid,exact_fact_set,fact_tp,fact_fp,fact_fn,precision,recall,no_event_n,no_event_false_positive
rule_v1,既有规则,check,11,11,11,3,0,0,1.0,1.0,8,0
rule_v1,既有规则,train,22,22,15,2,3,6,0.4,0.25,15,0
rule_v1,既有规则,train_duplicate_diagnostic,2,2,0,0,0,2,,0.0,0,0
rule_v1,既有规则,valid,8,8,2,2,3,7,0.4,0.2222222222222222,2,0
frozen_v1,冻结Qwen＋少量示例,check,11,6,6,0,0,3,,0.0,8,0
frozen_v1,冻结Qwen＋少量示例,train,22,14,12,0,0,8,,0.0,15,0
frozen_v1,冻结Qwen＋少量示例,train_duplicate_diagnostic,2,1,0,0,0,2,,0.0,0,0
frozen_v1,冻结Qwen＋少量示例,valid,8,3,2,0,0,9,,0.0,2,0
tuned_v1,QLoRA普通权重,check,11,11,8,0,0,3,,0.0,8,0
tuned_v1,QLoRA普通权重,train,22,22,15,0,0,8,,0.0,15,0
tuned_v1,QLoRA普通权重,train_duplicate_diagnostic,2,2,0,0,0,2,,0.0,0,0
tuned_v1,QLoRA普通权重,valid,8,8,2,0,0,9,,0.0,2,0
tuned_balanced_v1,QLoRA正事件加权,check,11,10,7,0,2,3,0.0,0.0,8,1
tuned_balanced_v1,QLoRA正事件加权,train,22,22,15,0,1,8,0.0,0.0,15,0
tuned_balanced_v1,QLoRA正事件加权,train_duplicate_diagnostic,2,2,1,1,0,1,1.0,0.5,0,0
tuned_balanced_v1,QLoRA正事件加权,valid,8,8,2,1,0,8,1.0,0.1111111111111111,2,0
frozen_current_v1,冻结Qwen＋当前段落截断,check,11,8,7,0,0,3,,0.0,8,0
frozen_current_v1,冻结Qwen＋当前段落截断,train,22,15,13,0,0,8,,0.0,15,0
frozen_current_v1,冻结Qwen＋当前段落截断,train_duplicate_diagnostic,2,1,0,0,0,2,,0.0,0,0
frozen_current_v1,冻结Qwen＋当前段落截断,valid,8,5,2,1,0,8,1.0,0.1111111111111111,2,0
