method,symbol,period,scope,n,BA,MCC,Brier,pred_up,constant,up_rate,invalid_n,news_ratio,days
legacy_body,AAPL,test,all,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,False,0.4887640449438202,0,1.0,60
legacy_body,AAPL,validation,all,126,0.5879817444219066,0.2199177715434481,0.24959625894706178,0.8015873015873016,False,0.4603174603174603,0,0.9841269841269841,42
legacy_body,AAPL,2018-09,all,57,0.6016009852216749,0.24917762935063273,0.24586650900790555,0.7894736842105263,False,0.49122807017543857,0,0.9824561403508771,19
legacy_body,AAPL,2018-10,all,69,0.5782051282051281,0.19828619053245966,0.2526773567228865,0.8115942028985508,False,0.43478260869565216,0,0.9855072463768116,23
legacy_body,AAPL,2018-11,all,60,0.5066740823136818,0.01667593364912675,0.2555355122588828,0.8,False,0.5166666666666667,0,1.0,20
legacy_body,AAPL,2018-12,all,53,0.5565015479876161,0.12030098223477871,0.2596946425076442,0.7169811320754716,False,0.3584905660377358,0,1.0,18
legacy_body,AAPL,2019-01,all,63,0.48804573804573803,-0.029085974677101674,0.25620523177629684,0.7936507936507936,False,0.5873015873015873,0,1.0,21
legacy_body,AAPL,2019-02,all,2,,0.0,0.4083408880370367,1.0,True,0.0,0,1.0,1
legacy_body,AMZN,test,all,179,0.5320400500625783,0.06498095084108173,0.2607895148300555,0.5865921787709497,False,0.5251396648044693,0,0.4692737430167598,60
legacy_body,AMZN,validation,all,126,0.5927643784786641,0.18146220519527786,0.2442121047272277,0.5396825396825397,False,0.3888888888888889,0,0.5793650793650794,42
legacy_body,AMZN,2018-09,all,57,0.5443349753694582,0.08877935232369505,0.24712030362574378,0.5263157894736842,False,0.49122807017543857,0,0.6666666666666666,19
legacy_body,AMZN,2018-10,all,69,0.6517857142857142,0.28081384444437113,0.2418096795501927,0.5507246376811594,False,0.30434782608695654,0,0.5072463768115942,23
legacy_body,AMZN,2018-11,all,60,0.4444444444444444,-0.1111111111111111,0.2745240036339852,0.6,False,0.6,0,0.5166666666666667,20
legacy_body,AMZN,2018-12,all,54,0.5894736842105264,0.17138276114211987,0.2450768686871347,0.46296296296296297,False,0.35185185185185186,0,0.5,18
legacy_body,AMZN,2019-01,all,63,0.5221052631578947,0.04588314677411235,0.2615292251423815,0.6666666666666666,False,0.6031746031746031,0,0.4126984126984127,21
legacy_body,AMZN,2019-02,all,2,0.5,0.0,0.24969542173275927,1.0,True,0.5,0,0.0,1
legacy_integrated,AAPL,test,all,178,0.5569028672476948,0.13753231867191915,0.26303161220456067,0.7808988764044944,False,0.4887640449438202,0,1.0,60
legacy_integrated,AAPL,validation,all,126,0.5352434077079107,0.09614095068630828,0.2528756094154878,0.8412698412698413,False,0.4603174603174603,0,0.9841269841269841,42
legacy_integrated,AAPL,2018-09,all,57,0.5492610837438423,0.12480635909592185,0.2411823015993563,0.8070175438596491,False,0.49122807017543857,0,0.9824561403508771,19
legacy_integrated,AAPL,2018-10,all,69,0.5269230769230769,0.0792593923901217,0.2625352984809877,0.8695652173913043,False,0.43478260869565216,0,0.9855072463768116,23
legacy_integrated,AAPL,2018-11,all,60,0.5723025583982202,0.19390031038416244,0.25194789115543215,0.8333333333333334,False,0.5166666666666667,0,1.0,20
legacy_integrated,AAPL,2018-12,all,53,0.5712074303405573,0.14876840780186812,0.2774829244704374,0.6981132075471698,False,0.3584905660377358,0,1.0,18
legacy_integrated,AAPL,2019-01,all,63,0.5207900207900208,0.05058430378626378,0.25655720503186263,0.7936507936507936,False,0.5873015873015873,0,1.0,21
legacy_integrated,AAPL,2019-02,all,2,,0.0,0.4165272945726747,1.0,True,0.0,0,1.0,1
legacy_integrated,AMZN,test,all,179,0.48667083854818527,-0.027148639878595577,0.2610179222219996,0.5977653631284916,False,0.5251396648044693,0,0.4692737430167598,60
legacy_integrated,AMZN,validation,all,126,0.5120593692022264,0.02352753314395493,0.2534912824382881,0.5158730158730159,False,0.3888888888888889,0,0.5793650793650794,42
legacy_integrated,AMZN,2018-09,all,57,0.4913793103448276,-0.017241379310344827,0.25033581463891214,0.5087719298245614,False,0.49122807017543857,0,0.6666666666666666,19
legacy_integrated,AMZN,2018-10,all,69,0.5357142857142857,0.0657951694959769,0.256097973229077,0.5217391304347826,False,0.30434782608695654,0,0.5072463768115942,23
legacy_integrated,AMZN,2018-11,all,60,0.5208333333333334,0.041192627728581725,0.26259296282002753,0.5666666666666667,False,0.6,0,0.5166666666666667,20
legacy_integrated,AMZN,2018-12,all,54,0.47744360902255634,-0.043355498476206,0.24961809296025605,0.5555555555555556,False,0.35185185185185186,0,0.5,18
legacy_integrated,AMZN,2019-01,all,63,0.44263157894736843,-0.11775013847245042,0.2699418918658475,0.6507936507936508,False,0.6031746031746031,0,0.4126984126984127,21
legacy_integrated,AMZN,2019-02,all,2,0.5,0.0,0.24045705056703418,1.0,True,0.5,0,0.0,1
legacy_price,AAPL,test,all,178,0.5179360869016041,0.044641892260775445,0.2720273876456652,0.797752808988764,False,0.4887640449438202,0,1.0,60
legacy_price,AAPL,validation,all,126,0.4959432048681542,-0.011300894898119541,0.2615228263904922,0.8492063492063492,False,0.4603174603174603,0,0.9841269841269841,42
