symbol,split,method,baseline,block_days,replicates,delta_BA,lo,hi
AAPL,test,llm_joint,matched_joint,1,500,0.015599343185550008,-0.06327112577074409,0.10330708443854991
AAPL,test,llm_joint,matched_joint,5,500,0.015599343185550008,-0.056197023393779445,0.08424851190476186
AAPL,test,llm_joint,legacy_title,1,500,-0.01812555260831128,-0.10734746558197747,0.06969337588407795
AAPL,test,llm_joint,legacy_title,5,500,-0.01812555260831128,-0.100868715944687,0.04517629742114233
AAPL,test,llm_news,matched_news,1,500,0.08052292535051153,-0.004065101188261311,0.17121986098007186
AAPL,test,llm_news,matched_news,5,500,0.08052292535051153,-0.026896844355041496,0.14894428817144814
AAPL,test,llm_news,legacy_title,1,500,0.03757736516357202,-0.04145492928183933,0.11385244969238659
AAPL,test,llm_news,legacy_title,5,500,0.03757736516357202,-0.043206471280961986,0.09538041125541129
AAPL,validation,llm_joint,matched_joint,1,500,-0.07429006085192691,-0.16487821956571952,0.01585129732316394
AAPL,validation,llm_joint,matched_joint,5,500,-0.07429006085192691,-0.16257376826292733,0.007177569303583448
AAPL,validation,llm_joint,legacy_title,1,500,-0.04716024340770786,-0.13531746031746034,0.036731311510797435
AAPL,validation,llm_joint,legacy_title,5,500,-0.04716024340770786,-0.15424464557036,0.034070175438596466
AAPL,validation,llm_news,matched_news,1,500,-0.036257606490872174,-0.11786443883984864,0.04201948924731175
AAPL,validation,llm_news,matched_news,5,500,-0.036257606490872174,-0.1032433283794262,0.02678118661257609
AAPL,validation,llm_news,legacy_title,1,500,-0.0177484787018255,-0.12156069853204746,0.06820989304812829
AAPL,validation,llm_news,legacy_title,5,500,-0.0177484787018255,-0.14485714285714288,0.08070176544766704
AMZN,test,llm_joint,matched_joint,1,500,0.05882352941176472,-0.04470976049023031,0.16865296152121223
AMZN,test,llm_joint,matched_joint,5,500,0.05882352941176472,-0.03515055477102568,0.14229073338680326
AMZN,test,llm_joint,legacy_title,1,500,0.022966207759699597,-0.07908253940312092,0.11742949710248467
AMZN,test,llm_joint,legacy_title,5,500,0.022966207759699597,-0.07518686073957517,0.11797483554592043
AMZN,test,llm_news,matched_news,1,500,0.040175219023779685,-0.08466001000556951,0.1581310307238887
AMZN,test,llm_news,matched_news,5,500,0.040175219023779685,-0.08931879959172265,0.17196890119684233
AMZN,test,llm_news,legacy_title,1,500,0.036232790988735886,-0.06374775788547449,0.14577851680277337
AMZN,test,llm_news,legacy_title,5,500,0.036232790988735886,-0.05835078540535954,0.12450961629463159
AMZN,validation,llm_joint,matched_joint,1,500,0.04823747680890533,-0.08114806944898476,0.16043442037668407
AMZN,validation,llm_joint,matched_joint,5,500,0.04823747680890533,-0.05798049288815899,0.17488162112010797
AMZN,validation,llm_joint,legacy_title,1,500,0.10575139146567714,-0.01973857994041704,0.22862809925309907
AMZN,validation,llm_joint,legacy_title,5,500,0.10575139146567714,-0.029613208746503947,0.26236139112903223
AMZN,validation,llm_news,matched_news,1,500,0.011131725417439786,-0.15848786630036638,0.16692670239596463
AMZN,validation,llm_news,matched_news,5,500,0.011131725417439786,-0.1331719717064545,0.16068726008865028
AMZN,validation,llm_news,legacy_title,1,500,0.0565862708719852,-0.06443776706765877,0.17518782654558035
AMZN,validation,llm_news,legacy_title,5,500,0.0565862708719852,-0.06225295911047347,0.19338428297055052
