symbol,split,has_news,from_method,to_method,n,changed,corrected,broken,both_correct,both_wrong,delta_BA_contribution
AAPL,test,1,llm_price,llm_joint,178,70,38,32,52,56,0.029935581659719587
AAPL,test,1,llm_news,llm_joint,178,18,4,14,86,74,-0.05570291777188329
AAPL,test,1,matched_joint,llm_joint,178,113,59,54,31,34,0.015599343185550063
AAPL,test,1,legacy_title,llm_joint,178,113,56,57,34,31,-0.018125552608311224
AAPL,test,1,matched_news,llm_news,178,129,73,56,27,22,0.08052292535051159
AAPL,validation,0,llm_price,llm_joint,2,0,0,0,1,1,0.0
AAPL,validation,1,llm_price,llm_joint,124,44,18,26,38,42,-0.05248478701825557
AAPL,validation,0,llm_news,llm_joint,2,1,1,0,0,1,0.008620689655172414
AAPL,validation,1,llm_news,llm_joint,124,11,3,8,53,60,-0.03803245436105476
AAPL,validation,0,matched_joint,llm_joint,2,1,0,1,1,0,-0.008620689655172414
AAPL,validation,1,matched_joint,llm_joint,124,46,20,26,36,42,-0.06566937119675455
AAPL,validation,0,legacy_title,llm_joint,2,1,0,1,1,0,-0.008620689655172414
AAPL,validation,1,legacy_title,llm_joint,124,47,22,25,34,43,-0.038539553752535496
AAPL,validation,0,matched_news,llm_news,2,2,0,2,0,0,-0.017241379310344827
AAPL,validation,1,matched_news,llm_news,124,48,24,24,37,39,-0.019016227180527395
AMZN,test,0,llm_price,llm_joint,95,3,3,0,49,43,0.015957446808510637
AMZN,test,1,llm_price,llm_joint,84,30,16,14,25,29,0.007822277847309135
AMZN,test,0,llm_news,llm_joint,95,60,32,28,20,15,0.00550688360450563
AMZN,test,1,llm_news,llm_joint,84,7,2,5,39,38,-0.018773466833541926
AMZN,test,0,matched_joint,llm_joint,95,27,15,12,37,31,0.021589486858573217
AMZN,test,1,matched_joint,llm_joint,84,31,19,12,22,31,0.03723404255319149
AMZN,test,0,legacy_title,llm_joint,95,28,14,14,38,29,0.003942428035043806
AMZN,test,1,legacy_title,llm_joint,84,30,17,13,24,30,0.01902377972465582
AMZN,test,0,matched_news,llm_news,95,95,48,47,0,0,0.032352941176470584
AMZN,test,1,matched_news,llm_news,84,44,23,21,21,19,0.007822277847309135
AMZN,validation,0,llm_price,llm_joint,53,9,5,4,24,20,0.02504638218923933
AMZN,validation,1,llm_price,llm_joint,73,35,16,19,26,12,-0.004638218923933214
AMZN,validation,0,llm_news,llm_joint,53,28,13,15,16,9,0.0352504638218924
AMZN,validation,1,llm_news,llm_joint,73,5,3,2,39,29,0.013914656771799627
AMZN,validation,0,matched_joint,llm_joint,53,24,15,9,14,15,0.03896103896103896
AMZN,validation,1,matched_joint,llm_joint,73,32,17,15,25,16,0.00927643784786642
AMZN,validation,0,legacy_title,llm_joint,53,25,15,10,14,14,0.036178107606679034
AMZN,validation,1,legacy_title,llm_joint,73,35,22,13,20,18,0.06957328385899814
AMZN,validation,0,matched_news,llm_news,53,53,31,22,0,0,-0.023191094619666036
AMZN,validation,1,matched_news,llm_news,73,39,21,18,20,14,0.034322820037105746
