variant,method,parameter,symbol,month,n,BA,MCC,Brier,pred_up,constant,selected_oof,selected_final,return_MAE,return_RMSE,return_corr
price,C0,0.01,AAPL,2018-03,62,0.471875,-0.058191817512585564,0.2672733210080698,0.3709677419354839,0,,,,,
price,C0,0.1,AAPL,2018-03,62,0.45416666666666666,-0.09283444198266944,0.30903528156576027,0.41935483870967744,0,,,,,
price,C0,1.0,AAPL,2018-03,62,0.421875,-0.1582405261068229,0.3313137519152147,0.41935483870967744,0,,,,,
price,C0,0.01,AMZN,2018-03,62,0.40476190476190477,-0.22587697572631282,0.2686494974112544,0.7741935483870968,0,,,,,
price,C0,0.1,AMZN,2018-03,62,0.4291005291005291,-0.15489104267951137,0.31261895823544994,0.7096774193548387,0,,,,,
price,C0,1.0,AMZN,2018-03,62,0.42063492063492064,-0.16448792373994225,0.3441673512867106,0.6451612903225806,0,,,,,
price,C0,0.01,AAPL,2018-04,63,0.5720766129032258,0.1445911606659296,0.2405911761586822,0.5396825396825397,0,,,,,
price,C0,0.1,AAPL,2018-04,63,0.5246975806451613,0.049696660496618174,0.25408181821223946,0.5555555555555556,0,,,,,
price,C0,1.0,AAPL,2018-04,63,0.46169354838709675,-0.07779832024680092,0.30086059943718924,0.5873015873015873,0,,,,,
price,C0,0.01,AMZN,2018-04,63,0.45714285714285713,-0.08770580193070292,0.260555606216507,0.6190476190476191,0,,,,,
price,C0,0.1,AMZN,2018-04,63,0.4714285714285714,-0.058038100008800934,0.28720901140207195,0.6031746031746031,0,,,,,
price,C0,1.0,AMZN,2018-04,63,0.45,-0.1,0.3155642225546143,0.5555555555555556,0,,,,,
price,C0,0.01,AAPL,2018-05,66,0.5806150978564772,0.1603361211918254,0.2499743120725451,0.4696969696969697,0,,,,,
price,C0,0.1,AAPL,2018-05,66,0.5535880708294502,0.10717614165890028,0.26797754859805467,0.4393939393939394,0,,,,,
price,C0,1.0,AAPL,2018-05,66,0.5400745573159367,0.08048737734561064,0.2835422315158159,0.42424242424242425,0,,,,,
price,C0,0.01,AMZN,2018-05,65,0.4780701754385965,-0.04682929057908469,0.2530227039048036,0.3076923076923077,0,,,,,
price,C0,0.1,AMZN,2018-05,65,0.4775828460038986,-0.04419286852477699,0.2590391007038883,0.49230769230769234,0,,,,,
price,C0,1.0,AMZN,2018-05,65,0.4273879142300195,-0.14314646543895154,0.2695155277228385,0.5076923076923077,0,,,,,
price,C0,0.01,AAPL,2018-06,63,0.48611111111111116,-0.027777777777777776,0.26566172676221733,0.42857142857142855,0,,,,,
price,C0,0.1,AAPL,2018-06,63,0.44907407407407407,-0.10112618056102679,0.2776486815642435,0.4603174603174603,0,,,,,
price,C0,1.0,AAPL,2018-06,63,0.44907407407407407,-0.10112618056102679,0.28416401421380444,0.4603174603174603,0,,,,,
price,C0,0.01,AMZN,2018-06,63,0.5016304347826087,0.0031434730673096573,0.24717121156059957,0.5238095238095238,0,,,,,
price,C0,0.1,AMZN,2018-06,63,0.592391304347826,0.19111984392564735,0.2347992688848279,0.6825396825396826,0,,,,,
price,C0,1.0,AMZN,2018-06,63,0.5489130434782609,0.10425720702853737,0.2279740285381666,0.7142857142857143,0,,,,,
price,C0,0.01,AAPL,2018-07,60,0.575091575091575,0.1473324397198537,0.24238231490676934,0.38333333333333336,0,,,,,
price,C0,0.1,AAPL,2018-07,60,0.6172161172161172,0.22413272587221034,0.23923238269955918,0.5333333333333333,0,,,,,
price,C0,1.0,AAPL,2018-07,60,0.6172161172161172,0.22413272587221034,0.24250649265540913,0.5333333333333333,0,,,,,
price,C0,0.01,AMZN,2018-07,60,0.5666666666666667,0.15762208124782015,0.24223050063134827,0.7666666666666667,0,,,,,
price,C0,0.1,AMZN,2018-07,60,0.5833333333333334,0.20227834851568371,0.24160404986830789,0.7833333333333333,0,,,,,
price,C0,1.0,AMZN,2018-07,60,0.5833333333333334,0.20227834851568371,0.2500545438208256,0.7833333333333333,0,,,,,
price,C0,0.01,AAPL,2018-08,69,0.565359477124183,0.12051692101036454,0.23244897574958812,0.6521739130434783,0,,,,,
price,C0,0.1,AAPL,2018-08,69,0.5849673202614378,0.16011904396842466,0.221650099277249,0.6811594202898551,0,,,,,
price,C0,1.0,AAPL,2018-08,69,0.6127450980392157,0.21004201260420147,0.21866083714307613,0.6666666666666666,0,,,,,
price,C0,0.01,AMZN,2018-08,69,0.569396551724138,0.14532958974404495,0.24121067376298097,0.6666666666666666,0,,,,,
price,C0,0.1,AMZN,2018-08,69,0.6211206896551724,0.24674958079543985,0.22950357549891123,0.6231884057971014,0,,,,,
price,C0,1.0,AMZN,2018-08,69,0.6383620689655172,0.2798784825060619,0.22523992110688365,0.6086956521739131,0,,,,,
price,C0,0.1,AAPL,2018-03,62,0.45416666666666666,-0.09283444198266944,0.30903528156576027,0.41935483870967744,0,True,,,,
price,C0,0.1,AMZN,2018-03,62,0.4291005291005291,-0.15489104267951137,0.31261895823544994,0.7096774193548387,0,True,,,,
price,C0,0.1,AAPL,2018-04,63,0.5246975806451613,0.049696660496618174,0.25408181821223946,0.5555555555555556,0,True,,,,
price,C0,0.1,AMZN,2018-04,63,0.4714285714285714,-0.058038100008800934,0.28720901140207195,0.6031746031746031,0,True,,,,
price,C0,0.1,AAPL,2018-05,66,0.5535880708294502,0.10717614165890028,0.26797754859805467,0.4393939393939394,0,True,,,,
price,C0,0.1,AMZN,2018-05,65,0.4775828460038986,-0.04419286852477699,0.2590391007038883,0.49230769230769234,0,True,,,,
price,C0,0.1,AAPL,2018-06,63,0.44907407407407407,-0.10112618056102679,0.2776486815642435,0.4603174603174603,0,True,,,,
price,C0,0.1,AMZN,2018-06,63,0.592391304347826,0.19111984392564735,0.2347992688848279,0.6825396825396826,0,True,,,,
price,C0,0.1,AAPL,2018-07,60,0.6172161172161172,0.22413272587221034,0.23923238269955918,0.5333333333333333,0,True,,,,
price,C0,0.1,AMZN,2018-07,60,0.5833333333333334,0.20227834851568371,0.24160404986830789,0.7833333333333333,0,True,,,,
price,C0,0.1,AAPL,2018-08,69,0.5849673202614378,0.16011904396842466,0.221650099277249,0.6811594202898551,0,True,,,,
price,C0,0.1,AMZN,2018-08,69,0.6211206896551724,0.24674958079543985,0.22950357549891123,0.6231884057971014,0,True,,,,
price,C0,0.1,AAPL,development,126,0.5509634888438134,0.11554712812243798,0.2477609462525271,0.7380952380952381,0,,True,,,
price,C0,0.1,AMZN,development,126,0.5315398886827458,0.06387187202625091,0.2750183674452071,0.6349206349206349,0,,True,,,
price,C0,0.1,AAPL,later,178,0.526398888467854,0.05631075360123307,0.2709276299375183,0.6741573033707865,0,,True,,,
price,C0,0.1,AMZN,later,179,0.5020650813516896,0.004261810524424723,0.27399857165946584,0.6256983240223464,0,,True,,,
price,C1,0.01,AAPL,2018-03,62,0.5229166666666667,0.05046083923495819,0.2654108053282306,0.2903225806451613,0,,,0.008666693866822874,0.011723541774433755,0.0367932032045232
price,C1,0.1,AAPL,2018-03,62,0.5229166666666667,0.05046083923495819,0.26558506181591796,0.2903225806451613,0,,,0.008656716613446656,0.011712161833696163,0.032778356862059266
price,C1,1.0,AAPL,2018-03,62,0.5229166666666667,0.05046083923495819,0.2670360895498201,0.2903225806451613,0,,,0.00863265191248783,0.011643891898410414,0.0013266240529138929
price,C1,10.0,AAPL,2018-03,62,0.5208333333333333,0.04351941398892446,0.2685540203596646,0.3548387096774194,0,,,0.008488570520663836,0.011341400791733153,-0.07203476133315745
price,C1,0.01,AMZN,2018-03,62,0.44391534391534393,-0.11897352191392704,0.307185065264949,0.3225806451612903,0,,,0.012584697219780769,0.019042966676038955,-0.4761542258721169
price,C1,0.1,AMZN,2018-03,62,0.44391534391534393,-0.11897352191392704,0.30701737987257277,0.3225806451612903,0,,,0.01256279618065956,0.018999364023152998,-0.4765833587897846
price,C1,1.0,AMZN,2018-03,62,0.4296296296296296,-0.14744639577357763,0.30546709145404866,0.3387096774193548,0,,,0.012365914046812747,0.01862378510382406,-0.4797523755440725
price,C1,10.0,AMZN,2018-03,62,0.3767195767195767,-0.24656084656084656,0.2957448775787847,0.43548387096774194,0,,,0.011422342316799623,0.01689443593205825,-0.4764938098547859
price,C1,0.01,AAPL,2018-04,63,0.5080645161290323,0.016129032258064516,0.2562693672494512,0.5079365079365079,0,,,0.00824005541682401,0.011327646996971677,-0.003905954036502275
price,C1,0.1,AAPL,2018-04,63,0.49243951612903225,-0.015136233740515087,0.2561519887426055,0.5238095238095238,0,,,0.008226985332049732,0.011317816347880585,-0.0036843799456138943
price,C1,1.0,AAPL,2018-04,63,0.49243951612903225,-0.015136233740515087,0.2550692507903137,0.5238095238095238,0,,,0.008112650894255316,0.011228330860747001,-0.0006153035848773233
