method,phase,symbol,n,BA,MCC,Brier,pred_up,constant,return_MAE,return_RMSE,return_corr
C0_price,development,AAPL,126,0.5509634888438134,0.11554712812243798,0.2477609462525271,0.7380952380952381,0,,,
C0_price,development,AMZN,126,0.5315398886827458,0.06387187202625091,0.2750183674452071,0.6349206349206349,0,,,
C0_price,later,AAPL,178,0.526398888467854,0.05631075360123307,0.2709276299375183,0.6741573033707865,0,,,
C0_price,later,AMZN,179,0.5020650813516896,0.004261810524424723,0.27399857165946584,0.6256983240223464,0,,,
C0_price,train_forward_oof,AAPL,383,0.5386674933769235,0.07611348404177302,0.26107970486310933,0.5169712793733682,0,,,
C0_price,train_forward_oof,AMZN,382,0.5249195035363403,0.052026972545050836,0.26031002176949913,0.6465968586387435,0,,,
C0_price_F1,development,AAPL,126,0.5669371196754563,0.15176339216081405,0.24823410992176537,0.7380952380952381,0,,,
C0_price_F1,development,AMZN,126,0.5343228200371057,0.0686456400742115,0.2739002606640088,0.6111111111111112,0,,,
C0_price_F1,later,AAPL,178,0.515157256536567,0.0323315331681721,0.268948711167202,0.6741573033707865,0,,,
C0_price_F1,later,AMZN,179,0.5138297872340425,0.0283790593375868,0.27097458729680307,0.6145251396648045,0,,,
C0_price_F1,train_forward_oof,AAPL,383,0.5538864776506398,0.10611414890389578,0.2598438964805382,0.5221932114882507,0,,,
C0_price_F1,train_forward_oof,AMZN,382,0.514379282824669,0.03233858715335292,0.2646354872059052,0.7303664921465969,0,,,
C1_price,development,AAPL,126,0.5679513184584178,0.14208985534541094,0.24166077613473305,0.6507936507936508,0,0.007094525533649246,0.009350556149798208,0.20897341252259274
C1_price,development,AMZN,126,0.5194805194805194,0.038160315698326765,0.25621886701936447,0.5476190476190477,0,0.011655102541813771,0.0154723235492516,0.08803852202960524
C1_price,later,AAPL,178,0.5253884046987495,0.052549035770563274,0.26213751948866126,0.6292134831460674,0,0.010628588215632962,0.013320642224778712,0.06263972377441406
C1_price,later,AMZN,179,0.5527534418022528,0.10855210242059282,0.25394394296476014,0.6201117318435754,0,0.014109678636094391,0.018850087228400668,0.10973064158157397
C1_price,train_forward_oof,AAPL,383,0.5175863818274055,0.03557098330137571,0.2583843458855778,0.3838120104438642,0,0.006410031473571568,0.008773685747523163,0.027491403215380555
C1_price,train_forward_oof,AMZN,382,0.5061094751905771,0.01243027256512516,0.2615183696454057,0.4031413612565445,0,0.008124195219226828,0.012022269551204971,-0.15941752487155672
C1_price_F1,development,AAPL,126,0.5925456389452333,0.19457235392889838,0.24220929170940225,0.6587301587301587,0,0.007119991855014607,0.00933024910640035,0.21197495033364028
C1_price_F1,development,AMZN,126,0.5287569573283859,0.0561041174971233,0.2578936554728454,0.5158730158730159,0,0.011572104503612393,0.015478067193973304,0.07324185472363987
C1_price_F1,later,AAPL,178,0.5026525198938993,0.005457806937086034,0.2613627735772107,0.6179775280898876,0,0.010593845697452295,0.01328152909623151,0.05537022782536676
C1_price_F1,later,AMZN,179,0.5544430538172715,0.11041685006199435,0.25559209457093707,0.5865921787709497,0,0.014088625909668837,0.018906315865993745,0.06959693338672525
C1_price_F1,train_forward_oof,AAPL,383,0.5173186404374048,0.035269162222028486,0.2582931950277901,0.370757180156658,0,0.006459449567064833,0.008830137932167192,0.037140740153445685
C1_price_F1,train_forward_oof,AMZN,382,0.5057792332883837,0.011734328369480651,0.26549535812841696,0.4083769633507853,0,0.008492219178817761,0.01244702885463754,-0.13806885417905965
C2_price,development,AAPL,126,0.5238336713995944,0.05176738909428016,0.25027122760951276,0.6984126984126984,0,0.007111832945243881,0.009335799758845485,-0.19891013686418738
C2_price,development,AMZN,126,0.5306122448979592,0.06080689921050603,0.2970855429988567,0.5952380952380952,0,0.01078191310855373,0.014667946663172797,-0.0052594802084975955
C2_price,later,AAPL,178,0.5146520146520146,0.030745589405179942,0.27855006378607544,0.651685393258427,0,0.009928894260378842,0.012632760557823634,-0.09942344922724711
C2_price,later,AMZN,179,0.5026282853566959,0.0053933053944735096,0.2885055381942335,0.6145251396648045,0,0.013883868004648523,0.018641908002100964,-0.1901581804298397
C2_price,train_forward_oof,AAPL,383,0.5259286398737388,0.051085636058082494,0.2853865854288954,0.5274151436031331,0,0.005611441387545856,0.007746162414993023,-0.02735826405232909
C2_price,train_forward_oof,AMZN,382,0.5262404711451139,0.05411394418868634,0.2792609490899598,0.6256544502617801,0,0.007000742712789969,0.009761196535095978,0.024066616094349742
C2_price_F1,development,AAPL,126,0.5484279918864097,0.10599833522235637,0.2507935664874187,0.7063492063492064,0,0.00744731949969278,0.00977347525862337,0.04511551895104315
C2_price_F1,development,AMZN,126,0.4935064935064935,-0.012824880070183379,0.29782276998152013,0.5793650793650794,0,0.011625264357786843,0.015515291976021016,0.07834700216697159
C2_price_F1,later,AAPL,178,0.5203991410887963,0.0429699008402495,0.2756572192302804,0.6573033707865169,0,0.010531980954291658,0.013199322682333628,0.0449215610247226
C2_price_F1,later,AMZN,179,0.49730913642052565,-0.005507224706022116,0.2848530498010944,0.6089385474860335,0,0.014037830702591722,0.018833068703614963,0.08921799349971347
C2_price_F1,train_forward_oof,AAPL,383,0.5379629107716588,0.07486978981656923,0.2834656308832127,0.5352480417754569,0,0.006213466177702324,0.008537321272369624,0.05433169062544072
C2_price_F1,train_forward_oof,AMZN,382,0.5309876984891433,0.06605005083003783,0.2885053198557045,0.675392670157068,0,0.007875213554101406,0.011343934090763895,-0.09255133041843386
F0,development,AAPL,126,0.5045638945233265,0.013001274187308592,0.260102851399259,0.8571428571428571,0,,,
F0,development,AMZN,126,0.48330241187384043,-0.03289758474798845,0.27095076661399387,0.5714285714285714,0,,,
F0,later,AAPL,178,0.5189465706707086,0.05202550290923069,0.2693583552956159,0.8426966292134831,0,,,
F0,later,AMZN,179,0.4978723404255319,-0.004333585708320421,0.2676852632154346,0.5977653631284916,0,,,
F0,train_forward_oof,AAPL,383,0.5001831914773689,0.0003612870332648107,0.26498507019905926,0.5352480417754569,0,,,
F0,train_forward_oof,AMZN,382,0.5186724275531827,0.03940489707528027,0.257838956557549,0.662303664921466,0,,,
F1,development,AAPL,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.7936507936507936,0,,,
F1,development,AMZN,126,0.5565862708719851,0.11175966918302659,0.24813226696952742,0.42063492063492064,0,,,
F1,later,AAPL,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,0,,,
F1,later,AMZN,179,0.5435544430538173,0.08716344852207177,0.2583062367774877,0.4692737430167598,0,,,
F1,train_forward_oof,AAPL,383,0.503029705202638,0.006144151764253761,0.2592606648817109,0.6214099216710183,0,,,
F1,train_forward_oof,AMZN,382,0.5326939483171423,0.06530258832057416,0.26055740634768043,0.4816753926701571,0,,,
F2,development,AAPL,126,0.5413286004056794,0.10665141370746663,0.28029547508334307,0.8174603174603174,0,,,
F2,development,AMZN,126,0.46289424860853434,-0.0728067416339465,0.297652395394459,0.5555555555555556,0,,,
F2,later,AAPL,178,0.5671340154098775,0.15225387872362858,0.28557810785631715,0.7359550561797753,0,,,
