phase,symbol,variant,method,n,difference,lo,hi
train_forward_oof,AAPL,price,C1,383,-0.021081111549518083,-0.07755074476841235,0.031975676606724755
train_forward_oof,AAPL,price,C2,383,-0.01273885350318471,-0.043633287145905614,0.01922947328493485
train_forward_oof,AAPL,price_F1,C1,383,-0.03656783721323498,-0.09532595443010046,0.01991501841768095
train_forward_oof,AAPL,price_F1,C2,383,-0.015923566878981,-0.0434209141508485,0.012971838226267561
train_forward_oof,AMZN,price,C1,382,-0.018810028345763175,-0.06822847755107476,0.03133547314108429
train_forward_oof,AMZN,price,C2,382,0.0013209676087735378,-0.02904581250497743,0.03293487532324512
train_forward_oof,AMZN,price_F1,C1,382,-0.008600049536285348,-0.06211498629349664,0.04598978365916395
train_forward_oof,AMZN,price_F1,C2,382,0.01660841566447424,-0.016917104706265305,0.049966724206591845
development,AAPL,price,C1,126,0.016987829614604433,-0.07143538193309368,0.10215123211446733
development,AAPL,price,C2,126,-0.02712981744421905,-0.0716377314814815,0.013886909004514069
development,AAPL,price_F1,C1,126,0.02560851926977692,-0.05681818181818177,0.1131213035454223
development,AAPL,price_F1,C2,126,-0.018509127789046675,-0.057697036569987405,0.017857142857142797
development,AMZN,price,C1,126,-0.012059369202226389,-0.07906383737480596,0.05102330705009271
development,AMZN,price,C2,126,-0.0009276437847866026,-0.03854615771536508,0.03164556962025322
development,AMZN,price_F1,C1,126,-0.005565862708719838,-0.08386829018551654,0.07533895124703743
development,AMZN,price_F1,C2,126,-0.040816326530612235,-0.08575822368421045,-0.0037104033532604527
later,AAPL,price,C1,178,-0.0010104837691045088,-0.05295492364362484,0.05037914211656164
later,AAPL,price,C2,178,-0.011746873815839387,-0.038540814819862795,0.013800392316017348
later,AAPL,price_F1,C1,178,-0.012504736642667713,-0.07220512348246083,0.04370748108619639
later,AAPL,price_F1,C2,178,0.005241884552229292,-0.031580532656943605,0.03827463390193506
later,AMZN,price,C1,179,0.05068836045056324,-4.936159010135163e-06,0.1074076462800107
later,AMZN,price,C2,179,0.0005632040050063125,-0.03482463463027486,0.03846749226006189
later,AMZN,price_F1,C1,179,0.04061326658322906,-0.035751323918799684,0.12275420257312786
later,AMZN,price_F1,C2,179,-0.016520650813516835,-0.05052234286486299,0.014574029126213577
