variant,scope,method,cells,mean_BA,mean_Brier,mean_ECE10
P0,selection_oof,raw,12,0.4984562260726159,0.3117374976405914,0.264911108477648
P0,selection_oof,platt,12,0.5230095118495012,0.2479501771454835,0.1003967443643947
P0,selection_oof,temperature,12,0.4984562260726159,0.2481462386466685,0.0998116393093543
P1,selection_oof,raw,12,0.5070734791610048,0.308776569567364,0.249760158243903
P1,selection_oof,platt,12,0.49924732953796,0.2487841821619847,0.0954753078853379
P1,selection_oof,temperature,12,0.5070734791610048,0.2489503765212285,0.105990460801555
P2,selection_oof,raw,12,0.5034982374233212,0.3168462705441332,0.2605272097796298
P2,selection_oof,platt,12,0.5093970133839753,0.2498333708527089,0.1240563265146624
P2,selection_oof,temperature,12,0.5034982374233212,0.2489538837491518,0.1122891868516316
P3,selection_oof,raw,12,0.498081783147785,0.317645498508001,0.2629980187678239
P3,selection_oof,platt,12,0.5080377593931423,0.2496469695538106,0.116185309472817
P3,selection_oof,temperature,12,0.498081783147785,0.2488923036216095,0.1034864057296481
P0,no_news_policy_oof,policy_raw,12,0.5309412597685516,0.2469374476754366,0.1211286075235186
P0,no_news_policy_oof,policy_price,12,0.5353432034388569,0.2461016537089807,0.1034099348352898
P0,no_news_policy_oof,policy_learned,12,0.5228472232021582,0.2449297362776283,0.1078373513224466
P1,no_news_policy_oof,policy_raw,12,0.5071790774570103,0.2484029306762657,0.1151962967520459
P1,no_news_policy_oof,policy_price,12,0.5115810211273157,0.2475671367098097,0.1083657998243111
P1,no_news_policy_oof,policy_learned,12,0.499085040890617,0.2463952192784573,0.1029400635392227
P2,no_news_policy_oof,policy_raw,12,0.5034982374233212,0.2490792658783652,0.1397998493531
P2,no_news_policy_oof,policy_price,12,0.5079001810936264,0.2482434719119093,0.1217622346218207
P2,no_news_policy_oof,policy_learned,12,0.4954042008569277,0.2470715544805569,0.1158651174631592
P3,no_news_policy_oof,policy_raw,12,0.498081783147785,0.2490254805414125,0.1296722052130456
P3,no_news_policy_oof,policy_price,12,0.5024837268180903,0.2481896865749565,0.1146449499809811
P3,no_news_policy_oof,policy_learned,12,0.4899877465813916,0.2470177691436041,0.1115858673247348
