symbol,period,challenger,baseline,block_days,BA_difference,lower_2.5,upper_97.5,draws,interpretation
AAPL,test,R1,F0,1,0.019704433497536922,-0.03734102138171907,0.07458390968693838,5000,descriptive after repeated exploration
AAPL,test,R1,F0,5,0.019704433497536922,-0.019262507544928746,0.06255297501986615,5000,descriptive after repeated exploration
AAPL,test,S2,F0,1,-0.02627257799671595,-0.10291920517940802,0.04743063070206531,5000,descriptive after repeated exploration
AAPL,test,S2,F0,5,-0.02627257799671595,-0.09871115138128421,0.04304544156493187,5000,descriptive after repeated exploration
AAPL,test,S3,F0,1,-0.038524693697107426,-0.11572627234737362,0.03036375599465902,5000,descriptive after repeated exploration
AAPL,test,S3,F0,5,-0.038524693697107426,-0.11039360296382766,0.02534603953783482,5000,descriptive after repeated exploration
AAPL,test,llm,F0,1,-0.04275609448023243,-0.13623449614546304,0.05359850982270087,5000,descriptive after repeated exploration
AAPL,test,llm,F0,5,-0.04275609448023243,-0.15123042168674697,0.06346506564431774,5000,descriptive after repeated exploration
AAPL,test,F1,F0,1,-0.0015157256536566521,-0.05804831595829994,0.05035133956880147,5000,descriptive after repeated exploration
AAPL,test,F1,F0,5,-0.0015157256536566521,-0.049502641339777394,0.047462522019627855,5000,descriptive after repeated exploration
AAPL,test,F2,F0,1,0.048187444739168916,-0.023843296183721722,0.12347101634320726,5000,descriptive after repeated exploration
AAPL,test,F2,F0,5,0.048187444739168916,-0.040092479068724776,0.13087986330565535,5000,descriptive after repeated exploration
AAPL,test,F3,F0,1,-0.0015157256536566521,-0.05804831595829994,0.05035133956880147,5000,descriptive after repeated exploration
AAPL,test,F3,F0,5,-0.0015157256536566521,-0.049502641339777394,0.047462522019627855,5000,descriptive after repeated exploration
AAPL,test,F4,F0,1,-0.006252368321333801,-0.06996524064171121,0.0577838231858097,5000,descriptive after repeated exploration
AAPL,test,F4,F0,5,-0.006252368321333801,-0.05729484247967487,0.04982553319337951,5000,descriptive after repeated exploration
AAPL,test,F5,F0,1,-0.006252368321333801,-0.06996524064171121,0.0577838231858097,5000,descriptive after repeated exploration
AAPL,test,F5,F0,5,-0.006252368321333801,-0.05729484247967487,0.04982553319337951,5000,descriptive after repeated exploration
AAPL,test,F6,F0,1,-0.025009473285335315,-0.10160298593639565,0.052642495424500814,5000,descriptive after repeated exploration
AAPL,test,F6,F0,5,-0.025009473285335315,-0.11117596636695895,0.06179846529821239,5000,descriptive after repeated exploration
AAPL,validation,R1,F0,1,0.05755578093306302,-0.010602617276887933,0.12348484848484842,5000,descriptive after repeated exploration
AAPL,validation,R1,F0,5,0.05755578093306302,-0.005073451426720014,0.1194265551048004,5000,descriptive after repeated exploration
AAPL,validation,S2,F0,1,0.07707910750507108,-0.014367638476230933,0.16741798926362453,5000,descriptive after repeated exploration
AAPL,validation,S2,F0,5,0.07707910750507108,-0.017929429964045604,0.1725419258612536,5000,descriptive after repeated exploration
AAPL,validation,S3,F0,1,0.1237322515212983,0.03325957975655551,0.21212427845364842,5000,descriptive after repeated exploration
AAPL,validation,S3,F0,5,0.1237322515212983,0.03889932388167121,0.21323529411764708,5000,descriptive after repeated exploration
AAPL,validation,llm,F0,1,-0.06009127789046648,-0.14200093062037922,0.021431505136393303,5000,descriptive after repeated exploration
AAPL,validation,llm,F0,5,-0.06009127789046648,-0.1604423129687214,0.023268592677345462,5000,descriptive after repeated exploration
AAPL,validation,F1,F0,1,0.07479716024340777,0.007039423347178404,0.13773751023751019,5000,descriptive after repeated exploration
AAPL,validation,F1,F0,5,0.07479716024340777,0.025462962962962965,0.12105516685661505,5000,descriptive after repeated exploration
AAPL,validation,F2,F0,1,0.03676470588235292,-0.03289320236462653,0.10715211774059466,5000,descriptive after repeated exploration
AAPL,validation,F2,F0,5,0.03676470588235292,-0.03181959041464484,0.09600341340641651,5000,descriptive after repeated exploration
AAPL,validation,F3,F0,1,0.07479716024340777,0.007039423347178404,0.13773751023751019,5000,descriptive after repeated exploration
AAPL,validation,F3,F0,5,0.07479716024340777,0.025462962962962965,0.12105516685661505,5000,descriptive after repeated exploration
AAPL,validation,F4,F0,1,0.024594320486815535,-0.039068080357142855,0.08512672044673054,5000,descriptive after repeated exploration
AAPL,validation,F4,F0,5,0.024594320486815535,-0.02777777777777768,0.07124748848315259,5000,descriptive after repeated exploration
AAPL,validation,F5,F0,1,0.024594320486815535,-0.039068080357142855,0.08512672044673054,5000,descriptive after repeated exploration
AAPL,validation,F5,F0,5,0.024594320486815535,-0.02777777777777768,0.07124748848315259,5000,descriptive after repeated exploration
AAPL,validation,F6,F0,1,-0.001014198782961384,-0.06185031185031187,0.06123117593811704,5000,descriptive after repeated exploration
AAPL,validation,F6,F0,5,-0.001014198782961384,-0.0649145140492059,0.057515020278724585,5000,descriptive after repeated exploration
AMZN,test,R1,F0,1,0.010638297872340441,-0.03359961362526094,0.055002505989156375,5000,descriptive after repeated exploration
AMZN,test,R1,F0,5,0.010638297872340441,-0.02325588907887268,0.04403914697007798,5000,descriptive after repeated exploration
AMZN,test,S2,F0,1,0.038360450563203974,-0.03354572713643178,0.10993156836666049,5000,descriptive after repeated exploration
AMZN,test,S2,F0,5,0.038360450563203974,-0.028490115766094646,0.10681929590017829,5000,descriptive after repeated exploration
AMZN,test,S3,F0,1,0.006695869837296697,-0.0606089000954069,0.07102161502675797,5000,descriptive after repeated exploration
AMZN,test,S3,F0,5,0.006695869837296697,-0.05451653988415102,0.06011856376155674,5000,descriptive after repeated exploration
AMZN,test,llm,F0,1,0.018710888610763476,-0.055867319326713946,0.09204951298701293,5000,descriptive after repeated exploration
AMZN,test,llm,F0,5,0.018710888610763476,-0.08054317427628584,0.11447166100482746,5000,descriptive after repeated exploration
AMZN,test,F1,F0,1,0.04568210262828537,-0.014711547668290609,0.11246209633715423,5000,descriptive after repeated exploration
AMZN,test,F1,F0,5,0.04568210262828537,-0.005349197516025197,0.09722673160173158,5000,descriptive after repeated exploration
AMZN,test,F2,F0,1,0.044806007509386736,-0.007098133455566622,0.10354480466326896,5000,descriptive after repeated exploration
AMZN,test,F2,F0,5,0.044806007509386736,-0.011116772533821031,0.1055949577967092,5000,descriptive after repeated exploration
AMZN,test,F3,F0,1,0.04568210262828537,-0.014711547668290609,0.11246209633715423,5000,descriptive after repeated exploration
AMZN,test,F3,F0,5,0.04568210262828537,-0.005349197516025197,0.09722673160173158,5000,descriptive after repeated exploration
AMZN,test,F4,F0,1,0.032790988735919846,-0.028060901328228045,0.09992404873150991,5000,descriptive after repeated exploration
AMZN,test,F4,F0,5,0.032790988735919846,-0.018795762651110964,0.08852455300475101,5000,descriptive after repeated exploration
AMZN,test,F5,F0,1,0.032790988735919846,-0.028060901328228045,0.09992404873150991,5000,descriptive after repeated exploration
AMZN,test,F5,F0,5,0.032790988735919846,-0.018795762651110964,0.08852455300475101,5000,descriptive after repeated exploration
AMZN,test,F6,F0,1,0.013704630788485661,-0.047949599292406164,0.07452832801528711,5000,descriptive after repeated exploration
AMZN,test,F6,F0,5,0.013704630788485661,-0.05360679202511049,0.07248106060606056,5000,descriptive after repeated exploration
AMZN,validation,R1,F0,1,0.027829313543599243,-0.040869248891352516,0.09782957999971968,5000,descriptive after repeated exploration
AMZN,validation,R1,F0,5,0.027829313543599243,-0.02592881944444448,0.08133210539508585,5000,descriptive after repeated exploration
AMZN,validation,S2,F0,1,0.11966604823747679,0.014347036962875408,0.22313964473523293,5000,descriptive after repeated exploration
AMZN,validation,S2,F0,5,0.11966604823747679,0.01281372549019604,0.20769861286254718,5000,descriptive after repeated exploration
AMZN,validation,S3,F0,1,0.12430426716141002,0.022984879280610947,0.22275641025641024,5000,descriptive after repeated exploration
AMZN,validation,S3,F0,5,0.12430426716141002,0.010186211254212357,0.22234968691044255,5000,descriptive after repeated exploration
AMZN,validation,llm,F0,1,-0.009276437847866414,-0.08046216475095787,0.06463866306982516,5000,descriptive after repeated exploration
AMZN,validation,llm,F0,5,-0.009276437847866414,-0.06964420995670993,0.04562037970430103,5000,descriptive after repeated exploration
AMZN,validation,F1,F0,1,0.07328385899814466,-0.0185798710188955,0.16787996329662994,5000,descriptive after repeated exploration
AMZN,validation,F1,F0,5,0.07328385899814466,0.007677481184222916,0.14901035025988682,5000,descriptive after repeated exploration
AMZN,validation,F2,F0,1,-0.02040816326530609,-0.10570859553775742,0.0654792552032254,5000,descriptive after repeated exploration
AMZN,validation,F2,F0,5,-0.02040816326530609,-0.07901234567901233,0.03766214622641504,5000,descriptive after repeated exploration
AMZN,validation,F3,F0,1,0.07328385899814466,-0.0185798710188955,0.16787996329662994,5000,descriptive after repeated exploration
AMZN,validation,F3,F0,5,0.07328385899814466,0.007677481184222916,0.14901035025988682,5000,descriptive after repeated exploration
AMZN,validation,F4,F0,1,0.04174397031539884,-0.044623059866962245,0.13194448931679167,5000,descriptive after repeated exploration
AMZN,validation,F4,F0,5,0.04174397031539884,-0.02381199881199873,0.11796021294480247,5000,descriptive after repeated exploration
AMZN,validation,F5,F0,1,0.04174397031539884,-0.044623059866962245,0.13194448931679167,5000,descriptive after repeated exploration
AMZN,validation,F5,F0,5,0.04174397031539884,-0.02381199881199873,0.11796021294480247,5000,descriptive after repeated exploration
AMZN,validation,F6,F0,1,0.04174397031539884,-0.028823858485240442,0.1168457321187584,5000,descriptive after repeated exploration
AMZN,validation,F6,F0,5,0.04174397031539884,-0.017647058823529353,0.09848666958041957,5000,descriptive after repeated exploration
