symbol,period,variant,n,direction_changed,P0_wrong_new_right,P0_right_new_wrong,both_right,both_wrong,mean_absolute_probability_change,P0_BA,new_BA,BA_difference,P0_Brier,new_Brier,Brier_difference
AAPL,test,P1,178,30,15,15,69,79,0.03541290117168577,0.47619047619047616,0.4792219274977896,0.0030314513073134153,0.2564836089710171,0.25532538710681485,-0.0011582218642022246
AAPL,test,P2,178,71,38,33,51,56,0.06973310946688352,0.47619047619047616,0.4953265125678919,0.019136036377415733,0.2564836089710171,0.25257540596476535,-0.00390820300625172
AAPL,test,P3,178,73,38,35,49,56,0.07000732272526182,0.47619047619047616,0.4838322596943287,0.007641783503852528,0.2564836089710171,0.2538686126001709,-0.0026149963708461677
AAPL,2018-11,P1,60,15,6,9,23,22,0.042126649870209296,0.5339265850945495,0.4755283648498332,-0.0583982202447163,0.24135983449574075,0.2497986452377714,0.00843881074203065
AAPL,2018-11,P2,60,16,8,8,24,20,0.06068817129762195,0.5339265850945495,0.542825361512792,0.008898776418242549,0.24135983449574075,0.24696404982000503,0.005604215324264278
AAPL,2018-11,P3,60,16,7,9,23,21,0.06319435788570035,0.5339265850945495,0.5094549499443827,-0.024471635150166815,0.24135983449574075,0.24809662251054032,0.006736788014799572
AAPL,2018-12,P1,53,6,2,4,16,31,0.03137869255930563,0.445046439628483,0.42724458204334365,-0.017801857585139358,0.27868456679021464,0.2724262530911402,-0.006258313699074425
AAPL,2018-12,P2,53,23,16,7,13,17,0.07478020969353176,0.445046439628483,0.49613003095975233,0.05108359133126933,0.27868456679021464,0.25323826025070484,-0.0254463065395098
AAPL,2018-12,P3,53,24,16,8,12,17,0.07317669104625382,0.445046439628483,0.4698142414860681,0.024767801857585092,0.27868456679021464,0.25513164259231175,-0.02355292419790289
AAPL,2019-01,P1,63,9,7,2,30,24,0.032466632749969644,0.4495841995841996,0.5171517671517671,0.06756756756756754,0.24929771572311954,0.24448059863675134,-0.0048171170863682
AAPL,2019-01,P2,63,31,13,18,14,18,0.07275193049777304,0.4495841995841996,0.4563409563409564,0.006756756756756799,0.24929771572311954,0.2581133924978614,0.008815676774741876
AAPL,2019-01,P3,63,31,13,18,14,18,0.07224286243840343,0.4495841995841996,0.4563409563409564,0.006756756756756799,0.24929771572311954,0.25933977070247693,0.010042054979357395
AAPL,2019-02,P1,2,0,0,0,0,2,0.03371442372811201,,,,0.34822709832934284,0.3095655314004964,-0.038661566928846425
AAPL,2019-02,P2,2,1,1,0,0,1,0.11224023606553196,,,,0.34822709832934284,0.22890387593765874,-0.11932322239168411
AAPL,2019-02,P3,2,2,2,0,0,0,0.11998850644185727,,,,0.34822709832934284,0.22121654027471815,-0.1270105580546247
AAPL,validation,P1,126,10,8,2,50,66,0.03033167284438984,0.44447261663286003,0.49873225152129813,0.0542596348884381,0.27598328130012223,0.2654506779094089,-0.010532603390713324
AAPL,validation,P2,126,17,10,7,45,64,0.05754227325739399,0.44447261663286003,0.457657200811359,0.013184584178498993,0.27598328130012223,0.25942265144646065,-0.01656062985366158
AAPL,validation,P3,126,16,9,7,45,65,0.058316662325701686,0.44447261663286003,0.45030425963488846,0.0058316430020284304,0.27598328130012223,0.2596108890539958,-0.01637239224612641
AAPL,2018-09,P1,57,2,1,1,28,27,0.034581921816216075,0.5166256157635468,0.5172413793103449,0.0006157635467980427,0.26725574862494855,0.26058117722529806,-0.006674571399650497
AAPL,2018-09,P2,57,6,3,3,26,25,0.05840135435096088,0.5166256157635468,0.5147783251231527,-0.001847290640394128,0.26725574862494855,0.2540075583747182,-0.01324819025023033
