phase,symbol,method,baseline_wrong_new_right,baseline_right_new_wrong,both_right,both_wrong
frozen,AAPL,F1,31,21,130,122
frozen,AAPL,F2,38,24,127,115
frozen,AAPL,F3,31,21,130,122
frozen,AAPL,F4,26,24,127,127
frozen,AAPL,F5,26,24,127,127
frozen,AAPL,F6,29,34,117,124
frozen,AMZN,F1,39,19,130,117
frozen,AMZN,F2,25,19,130,131
frozen,AMZN,F3,39,19,130,117
frozen,AMZN,F4,31,19,130,125
frozen,AMZN,F5,31,19,130,125
frozen,AMZN,F6,25,19,130,131
outer,AAPL,F1,62,55,139,127
outer,AAPL,F2,58,58,136,131
outer,AAPL,F3,62,55,139,127
outer,AAPL,F4,75,47,147,114
outer,AAPL,F5,75,47,147,114
outer,AAPL,F6,58,30,164,131
outer,AMZN,F1,43,42,160,137
outer,AMZN,F2,26,41,161,154
outer,AMZN,F3,43,42,160,137
outer,AMZN,F4,43,41,161,137
outer,AMZN,F5,43,41,161,137
outer,AMZN,F6,33,20,182,147
