method,components,weights,cells,mean_BA,mean_Brier,mean_ECE10,eligible
F3,"['body', 'semantic']","[0.0, 1.0]",12,0.4909302170025573,0.2684282601837939,0.1643027001816832,False
F3,"['body', 'semantic']","[0.25, 0.75]",12,0.509659567386361,0.26293812467533434,0.13906546157841834,True
F3,"['body', 'semantic']","[0.5, 0.5]",12,0.5115944282776842,0.25972119650755754,0.14060962267088128,True
F3,"['body', 'semantic']","[0.75, 0.25]",12,0.5196129429210968,0.25877747568046333,0.13775994394677246,True
F3,"['body', 'semantic']","[1.0, 0.0]",12,0.5213989765181091,0.2601069621940519,0.13371879116154708,True
F4,"['body', 'llm']","[0.0, 1.0]",12,0.5353432034388569,0.24610165370898077,0.10340993483528987,True
F4,"['body', 'llm']","[0.25, 0.75]",12,0.5238676931218992,0.24720684696796957,0.11236725783269678,True
F4,"['body', 'llm']","[0.5, 0.5]",12,0.5337790780927795,0.24990946280181095,0.11377843736386047,True
F4,"['body', 'llm']","[0.75, 0.25]",12,0.5445682158034149,0.25420950121050506,0.11814804839156574,True
F4,"['body', 'llm']","[1.0, 0.0]",12,0.5213989765181091,0.2601069621940519,0.13371879116154708,True
F5,"['body', 'semantic', 'llm']","[0.0, 0.0, 1.0]",12,0.5353432034388569,0.24610165370898077,0.10340993483528987,True
F5,"['body', 'semantic', 'llm']","[0.0, 0.25, 0.75]",12,0.5223925435986846,0.24822620974389487,0.10712667114928541,True
F5,"['body', 'semantic', 'llm']","[0.0, 0.5, 0.5]",12,0.5232833033990806,0.2526554961680017,0.12514395286086327,True
F5,"['body', 'semantic', 'llm']","[0.0, 0.75, 0.25]",12,0.5011631137756598,0.2593895129813014,0.13986091016318386,True
F5,"['body', 'semantic', 'llm']","[0.0, 1.0, 0.0]",12,0.4909302170025573,0.2684282601837939,0.1643027001816832,False
F5,"['body', 'semantic', 'llm']","[0.25, 0.0, 0.75]",12,0.5238676931218992,0.24720684696796957,0.11236725783269678,True
F5,"['body', 'semantic', 'llm']","[0.25, 0.25, 0.5]",12,0.5087517809684093,0.250145875814565,0.11232298283970339,True
F5,"['body', 'semantic', 'llm']","[0.25, 0.5, 0.25]",12,0.5129088856885501,0.2553896350503532,0.11987944440340842,True
F5,"['body', 'semantic', 'llm']","[0.25, 0.75, 0.0]",12,0.509659567386361,0.26293812467533434,0.13906546157841834,True
F5,"['body', 'semantic', 'llm']","[0.5, 0.0, 0.5]",12,0.5337790780927795,0.24990946280181095,0.11377843736386047,True
F5,"['body', 'semantic', 'llm']","[0.5, 0.25, 0.25]",12,0.5159327465937112,0.2536629644600878,0.11685462089396759,True
F5,"['body', 'semantic', 'llm']","[0.5, 0.5, 0.0]",12,0.5115944282776842,0.25972119650755754,0.14060962267088128,True
F5,"['body', 'semantic', 'llm']","[0.75, 0.0, 0.25]",12,0.5445682158034149,0.25420950121050506,0.11814804839156574,True
F5,"['body', 'semantic', 'llm']","[0.75, 0.25, 0.0]",12,0.5196129429210968,0.25877747568046333,0.13775994394677246,True
F5,"['body', 'semantic', 'llm']","[1.0, 0.0, 0.0]",12,0.5213989765181091,0.2601069621940519,0.13371879116154708,True
F6,"['body', 'semantic', 'llm', 'R1']","[0.0, 0.0, 0.0, 1.0]",12,0.5244546196900894,0.25738038622729215,0.13970104301122385,True
F6,"['body', 'semantic', 'llm', 'R1']","[0.0, 0.0, 0.25, 0.75]",12,0.5404250529761236,0.252478585104511,0.12246176248485417,True
F6,"['body', 'semantic', 'llm', 'R1']","[0.0, 0.0, 0.5, 0.5]",12,0.5456383127804678,0.2489648626438654,0.11525242317796287,True
F6,"['body', 'semantic', 'llm', 'R1']","[0.0, 0.0, 0.75, 0.25]",12,0.5424904651228757,0.24683921884535534,0.1227028213566208,True
