phase,symbol,method,baseline,block_days,BA_low,BA_high,Brier_low,Brier_high
development,AAPL,J1,J0,1,-0.1260334866705303,0.05558041463216689,-0.01333781238754244,0.03040682705048517
development,AAPL,J3,J2,1,-0.046132306422986345,0.07987248980529917,-0.05329332361018162,-0.006626812566353452
development,AAPL,N1,N0,1,-0.059375168249117795,0.03592599316478428,-0.04646902683136916,-0.0003581945739400859
development,AAPL,N1M,N0M,1,-0.04287086153283335,0.02976412579957355,0.007061532514636947,0.026995308843467597
development,AAPL,F1_calibrated,F1,1,-0.14622365285923758,-0.025462858260819593,0.0009223178358508041,0.02515835787399902
development,AAPL,F2_calibrated,F2,1,-0.10081032878411907,0.006720385583234583,-0.02362529008866328,0.012239460341939973
development,AAPL,F1_temperature,F1,1,0.0,0.0,-0.01149426824069601,0.010970228791777099
development,AAPL,F2_temperature,F2,1,0.0,0.0,-0.06439244214513434,0.002236994044092442
development,AAPL,J1,J0,5,-0.10984598702138552,0.05656650246305416,-0.008499085956911272,0.025155142657692184
development,AAPL,J3,J2,5,-0.030002314814814825,0.07780283777017671,-0.05871615036074364,-0.00499908541947723
development,AAPL,N1,N0,5,-0.05161842785408356,0.034640343187014894,-0.04971352683825612,0.001972731794768272
development,AAPL,N1M,N0M,5,-0.04810727257004496,0.033336831639416746,0.005516236039493589,0.03133048184802089
development,AAPL,F1_calibrated,F1,5,-0.1589857568027211,-0.028327657378741013,0.010040063379410533,0.01655709139173759
development,AAPL,F2_calibrated,F2,5,-0.10706188548293812,0.02451434277414669,-0.031364186186629624,0.01822976213493968
development,AAPL,F1_temperature,F1,5,0.0,0.0,-0.012232043745138957,0.012347711860204455
development,AAPL,F2_temperature,F2,5,0.0,0.0,-0.07279883647302758,0.005168107461719981
development,AMZN,J1,J0,1,-0.08642958892958895,0.007254229488078512,-0.0028720305301453268,0.005537286877116541
development,AMZN,J3,J2,1,0.009306941052253213,0.11986932615423052,-0.008897809098309945,0.02132972613650544
development,AMZN,N1,N0,1,-0.029358178053830224,0.06774118738404453,-0.057969747701039534,-0.017111396144470877
development,AMZN,N1M,N0M,1,-0.013354380314715949,0.07354614549832861,-0.0653583818806653,-0.01831687949444482
development,AMZN,F1_calibrated,F1,1,-0.1263961038961039,-0.013284900656493228,-0.005087601007228471,0.013260222355085817
development,AMZN,F2_calibrated,F2,1,-0.03729575163398696,0.1368393000064046,-0.08174216062451597,-0.012751786364068707
development,AMZN,F1_temperature,F1,1,0.0,0.0,-0.004168135819696184,0.019719034454004827
development,AMZN,F2_temperature,F2,1,0.0,0.0,-0.07817003454045961,-0.010648388001154982
development,AMZN,J1,J0,5,-0.06145225464190984,-0.024542644000580344,-0.0006564562557807223,0.003977658269122643
development,AMZN,J3,J2,5,0.03125000000000003,0.10608101054924002,-0.003865062150127785,0.017264678993139708
development,AMZN,N1,N0,5,-0.02104475652903642,0.06692948870066809,-0.05760135692585858,-0.017123725739963108
development,AMZN,N1M,N0M,5,-0.009390935727594312,0.07222587719298247,-0.06687651636410623,-0.01779572732140903
development,AMZN,F1_calibrated,F1,5,-0.11826155975252356,-0.026808628059533702,-0.0014319650626643118,0.012262888408452294
