phase,symbol,flag,value,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AAPL,has_original_news,0,F0,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,F0,124,0.5110294117647058,0.03191644169383776,0.2607563864954067,0.6066176470588235,0.875,0.14705882352941177,0.8629032258064516,False
development,AAPL,has_usable_text,0,F0,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_usable_text,1,F0,124,0.5110294117647058,0.03191644169383776,0.2607563864954067,0.6066176470588235,0.875,0.14705882352941177,0.8629032258064516,False
development,AAPL,has_qualified_event,0,F0,40,0.5075757575757576,0.019837990021453856,0.2663921343895962,0.5328282828282829,0.8333333333333334,0.18181818181818182,0.825,False
development,AAPL,has_qualified_event,1,F0,86,0.5027173913043478,0.008116412559294567,0.2571776034967766,0.6293478260869565,0.875,0.13043478260869565,0.872093023255814,False
development,AAPL,has_original_news,0,R1,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,R1,124,0.5682773109243697,0.16465962597158695,0.24450656238774832,0.6504726890756302,0.8571428571428571,0.27941176470588236,0.782258064516129,False
development,AAPL,has_usable_text,0,R1,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_usable_text,1,R1,124,0.5682773109243697,0.16465962597158695,0.24450656238774832,0.6504726890756302,0.8571428571428571,0.27941176470588236,0.782258064516129,False
development,AAPL,has_qualified_event,0,R1,40,0.47474747474747475,-0.058025885318565944,0.2525880931242783,0.5404040404040404,0.7222222222222222,0.22727272727272727,0.75,False
development,AAPL,has_qualified_event,1,R1,86,0.6021739130434782,0.2505464332278205,0.24016810886030068,0.6793478260869565,0.9,0.30434782608695654,0.7906976744186046,False
development,AAPL,has_original_news,0,F1,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,F1,124,0.5861344537815126,0.21368191536505515,0.2504649366439482,0.5782563025210085,0.8928571428571429,0.27941176470588236,0.7983870967741935,False
development,AAPL,has_usable_text,0,F1,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_usable_text,1,F1,124,0.5861344537815126,0.21368191536505515,0.2504649366439482,0.5782563025210085,0.8928571428571429,0.27941176470588236,0.7983870967741935,False
development,AAPL,has_qualified_event,0,F1,40,0.5757575757575758,0.17407765595569785,0.24736104540343035,0.6060606060606061,0.8333333333333334,0.3181818181818182,0.75,False
development,AAPL,has_qualified_event,1,F1,86,0.5804347826086956,0.20619293865288055,0.25119043812312286,0.5597826086956521,0.9,0.2608695652173913,0.813953488372093,False
development,AAPL,has_original_news,0,F2,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,F2,124,0.5477941176470589,0.12452068109744242,0.28127469765826635,0.631827731092437,0.875,0.22058823529411764,0.8225806451612904,False
development,AAPL,has_usable_text,0,F2,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_usable_text,1,F2,124,0.5477941176470589,0.12452068109744242,0.28127469765826635,0.631827731092437,0.875,0.22058823529411764,0.8225806451612904,False
development,AAPL,has_qualified_event,0,F2,40,0.6035353535353535,0.24669716448921308,0.2935499750238669,0.5555555555555556,0.8888888888888888,0.3181818181818182,0.775,False
development,AAPL,has_qualified_event,1,F2,86,0.5119565217391304,0.03230825477230273,0.27413059139007606,0.6364130434782609,0.85,0.17391304347826086,0.8372093023255814,False
development,AAPL,has_original_news,0,F6,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,F6,124,0.5115546218487395,0.05359417295590909,0.2579044875127507,0.5871848739495799,0.9642857142857143,0.058823529411764705,0.9516129032258065,False
development,AAPL,has_usable_text,0,F6,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_usable_text,1,F6,124,0.5115546218487395,0.05359417295590909,0.2579044875127507,0.5871848739495799,0.9642857142857143,0.058823529411764705,0.9516129032258065,False
development,AAPL,has_qualified_event,0,F6,40,0.46212121212121215,-0.11396057645963793,0.2626581075705519,0.45707070707070707,0.8333333333333334,0.09090909090909091,0.875,False
development,AAPL,has_qualified_event,1,F6,86,0.5217391304347826,0.14388861576723855,0.25480231976320006,0.616304347826087,1.0,0.043478260869565216,0.9767441860465116,False
development,AAPL,has_original_news,0,F1_temperature,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,F1_temperature,124,0.5861344537815126,0.21368191536505515,0.2494953518873673,0.5782563025210085,0.8928571428571429,0.27941176470588236,0.7983870967741935,False
development,AAPL,has_usable_text,0,F1_temperature,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_usable_text,1,F1_temperature,124,0.5861344537815126,0.21368191536505515,0.2494953518873673,0.5782563025210085,0.8928571428571429,0.27941176470588236,0.7983870967741935,False
development,AAPL,has_qualified_event,0,F1_temperature,40,0.5757575757575758,0.17407765595569785,0.24788720503502146,0.6085858585858586,0.8333333333333334,0.3181818181818182,0.75,False
development,AAPL,has_qualified_event,1,F1_temperature,86,0.5804347826086956,0.20619293865288055,0.24954770678498703,0.5597826086956521,0.9,0.2608695652173913,0.813953488372093,False
development,AAPL,has_original_news,0,F1_platt_shrunk,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,F1_platt_shrunk,124,0.5,0.0,0.2639382443312489,0.5782563025210085,1.0,0.0,1.0,True
development,AAPL,has_usable_text,0,F1_platt_shrunk,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_usable_text,1,F1_platt_shrunk,124,0.5,0.0,0.2639382443312489,0.5782563025210085,1.0,0.0,1.0,True
development,AAPL,has_qualified_event,0,F1_platt_shrunk,40,0.4722222222222222,-0.17702833484793146,0.26574466932895,0.5606060606060607,0.9444444444444444,0.0,0.975,False
development,AAPL,has_qualified_event,1,F1_platt_shrunk,86,0.5,0.0,0.26206654505573324,0.5597826086956521,1.0,0.0,1.0,True
development,AAPL,has_original_news,0,F1_calibrated,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,F1_calibrated,124,0.5,0.0,0.2639382443312489,0.5782563025210085,1.0,0.0,1.0,True
development,AAPL,has_usable_text,0,F1_calibrated,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_usable_text,1,F1_calibrated,124,0.5,0.0,0.2639382443312489,0.5782563025210085,1.0,0.0,1.0,True
development,AAPL,has_qualified_event,0,F1_calibrated,40,0.4722222222222222,-0.17702833484793146,0.26574466932895,0.5606060606060607,0.9444444444444444,0.0,0.975,False
development,AAPL,has_qualified_event,1,F1_calibrated,86,0.5,0.0,0.26206654505573324,0.5597826086956521,1.0,0.0,1.0,True
development,AAPL,has_original_news,0,F2_temperature,2,,0.0,0.219583675438098,,0.5,,0.5,False
development,AAPL,has_original_news,1,F2_temperature,124,0.5477941176470589,0.12452068109744242,0.2477921887474799,0.631827731092437,0.875,0.22058823529411764,0.8225806451612904,False
development,AAPL,has_usable_text,0,F2_temperature,2,,0.0,0.219583675438098,,0.5,,0.5,False
