phase,symbol,month,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AAPL,2018-09,F0,57,0.49753694581280783,-0.007089880956935217,0.24875127751290874,0.6280788177339901,0.8571428571428571,0.13793103448275862,0.8596491228070176,False
development,AAPL,2018-10,F0,69,0.5102564102564102,0.028886325786964755,0.2694802385227657,0.5846153846153846,0.8666666666666667,0.15384615384615385,0.855072463768116,False
development,AAPL,2018-09,R1,57,0.6188423645320198,0.2831921951995806,0.23687878867299847,0.6748768472906405,0.8928571428571429,0.3448275862068966,0.7719298245614035,False
development,AAPL,2018-10,R1,69,0.5153846153846154,0.03698001308168194,0.25008536424052286,0.6205128205128204,0.8,0.23076923076923078,0.782608695652174,False
development,AAPL,2018-09,F1,57,0.6016009852216749,0.24917762935063273,0.2461162990471983,0.583743842364532,0.8928571428571429,0.3103448275862069,0.7894736842105263,False
development,AAPL,2018-10,F1,69,0.5615384615384615,0.15171348989784333,0.253162180420804,0.5632478632478632,0.8666666666666667,0.2564102564102564,0.7971014492753623,False
development,AAPL,2018-09,F2,57,0.5843596059113301,0.21373088995176615,0.24342446352926747,0.6933497536945814,0.8928571428571429,0.27586206896551724,0.8070175438596491,False
development,AAPL,2018-10,F2,69,0.5064102564102564,0.01676757576219862,0.3107541368019272,0.594017094017094,0.8333333333333334,0.1794871794871795,0.8260869565217391,False
development,AAPL,2018-09,F6,57,0.5344827586206896,0.1873758732290221,0.24877587487709044,0.6305418719211823,1.0,0.06896551724137931,0.9649122807017544,False
development,AAPL,2018-10,F6,69,0.47564102564102567,-0.09315516419063742,0.26433476716613225,0.5162393162393162,0.9,0.05128205128205128,0.927536231884058,False
development,AAPL,2018-09,F1_temperature,57,0.6016009852216749,0.24917762935063273,0.24790816016913644,0.5935960591133004,0.8928571428571429,0.3103448275862069,0.7894736842105263,False
development,AAPL,2018-10,F1_temperature,69,0.5615384615384615,0.15171348989784333,0.24993950514882557,0.5581196581196581,0.8666666666666667,0.2564102564102564,0.7971014492753623,False
development,AAPL,2018-09,F1_platt_shrunk,57,0.5,0.0,0.25694677925558934,0.5652709359605912,1.0,0.0,1.0,True
development,AAPL,2018-10,F1_platt_shrunk,69,0.48333333333333334,-0.13826657968874304,0.2684281627591662,0.5547008547008547,0.9666666666666667,0.0,0.9855072463768116,False
development,AAPL,2018-09,F1_calibrated,57,0.5,0.0,0.25694677925558934,0.5652709359605912,1.0,0.0,1.0,True
development,AAPL,2018-10,F1_calibrated,69,0.48333333333333334,-0.13826657968874304,0.2684281627591662,0.5547008547008547,0.9666666666666667,0.0,0.9855072463768116,False
development,AAPL,2018-09,F2_temperature,57,0.5843596059113301,0.21373088995176615,0.24016825942659448,0.7044334975369457,0.8928571428571429,0.27586206896551724,0.8070175438596491,False
development,AAPL,2018-10,F2_temperature,69,0.5064102564102564,0.01676757576219862,0.2532725792499684,0.5931623931623932,0.8333333333333334,0.1794871794871795,0.8260869565217391,False
development,AAPL,2018-09,F2_platt_shrunk,57,0.5,0.0,0.25588224391844605,0.6834975369458127,1.0,0.0,1.0,True
development,AAPL,2018-10,F2_platt_shrunk,69,0.49230769230769234,-0.032635697593225266,0.28894723321907917,0.5897435897435898,0.9333333333333333,0.05128205128205128,0.9420289855072463,False
development,AAPL,2018-09,F2_calibrated,57,0.5,0.0,0.25588224391844605,0.6834975369458127,1.0,0.0,1.0,True
development,AAPL,2018-10,F2_calibrated,69,0.49230769230769234,-0.032635697593225266,0.28894723321907917,0.5897435897435898,0.9333333333333333,0.05128205128205128,0.9420289855072463,False
development,AAPL,2018-09,J0,57,0.6016009852216749,0.24917762935063273,0.2461162990471983,0.583743842364532,0.8928571428571429,0.3103448275862069,0.7894736842105263,False
development,AAPL,2018-10,J0,69,0.5615384615384615,0.15171348989784333,0.253162180420804,0.5632478632478632,0.8666666666666667,0.2564102564102564,0.7971014492753623,False
development,AAPL,2018-09,J1,57,0.5812807881773399,0.16847482690308205,0.25601362047663667,0.6071428571428571,0.7142857142857143,0.4482758620689655,0.631578947368421,False
development,AAPL,2018-10,J1,69,0.5217948717948717,0.04427623847752457,0.26014227619928854,0.5683760683760685,0.6333333333333333,0.41025641025641024,0.6086956521739131,False
development,AAPL,2018-09,J2,57,0.5843596059113301,0.21373088995176615,0.24342446352926747,0.6933497536945814,0.8928571428571429,0.27586206896551724,0.8070175438596491,False
development,AAPL,2018-10,J2,69,0.5064102564102564,0.01676757576219862,0.31075413680192726,0.594017094017094,0.8333333333333334,0.1794871794871795,0.8260869565217391,False
development,AAPL,2018-09,J3,57,0.6545566502463054,0.3915799516634548,0.229382738786505,0.7364532019704434,0.9642857142857143,0.3448275862068966,0.8070175438596491,False
development,AAPL,2018-10,J3,69,0.4807692307692308,-0.054161860850558914,0.26565371800317966,0.6128205128205129,0.8333333333333334,0.1282051282051282,0.855072463768116,False
development,AAPL,2018-09,N0M,57,0.5671182266009852,0.17644101780442445,0.2488920301891067,0.6477832512315271,0.8928571428571429,0.2413793103448276,0.8245614035087719,False
development,AAPL,2018-10,N0M,69,0.4897435897435898,-0.02600474629933897,0.2990354873114589,0.6051282051282052,0.8,0.1794871794871795,0.8115942028985508,False
development,AAPL,2018-09,N1,57,0.5498768472906405,0.13676190161733695,0.23800474325826942,0.7302955665024632,0.8928571428571429,0.20689655172413793,0.8421052631578947,False
development,AAPL,2018-10,N1,69,0.5102564102564102,0.028886325786964755,0.2717816700511108,0.5632478632478632,0.8666666666666667,0.15384615384615385,0.855072463768116,False
development,AAPL,2018-09,N1M,57,0.5671182266009852,0.17644101780442445,0.2559502834485313,0.6428571428571428,0.8928571428571429,0.2413793103448276,0.8245614035087719,False
development,AAPL,2018-10,N1M,69,0.47692307692307695,-0.060363272743915036,0.32486552897669296,0.5837606837606837,0.8,0.15384615384615385,0.8260869565217391,False
development,AAPL,2018-09,N0,57,0.5843596059113301,0.21373088995176615,0.24342446352926747,0.6933497536945814,0.8928571428571429,0.27586206896551724,0.8070175438596491,False
development,AAPL,2018-10,N0,69,0.5064102564102564,0.01676757576219862,0.31075413680192726,0.594017094017094,0.8333333333333334,0.1794871794871795,0.8260869565217391,False
development,AMZN,2018-09,F0,57,0.42179802955665024,-0.15698501016068359,0.2784089890638216,0.4236453201970444,0.4642857142857143,0.3793103448275862,0.543859649122807,False
