phase,symbol,method,baseline,changed_right,changed_wrong
development,AAPL,J1,J0,12,14
development,AAPL,J3,J2,10,8
development,AAPL,N1,N0,5,7
development,AAPL,N1M,N0M,2,3
development,AAPL,F1_calibrated,F1,6,19
development,AAPL,F2_calibrated,F2,6,13
development,AMZN,J1,J0,2,8
development,AMZN,J3,J2,11,4
development,AMZN,N1,N0,7,3
development,AMZN,N1M,N0M,7,2
development,AMZN,F1_calibrated,F1,3,9
development,AMZN,F2_calibrated,F2,29,14
later,AAPL,J1,J0,12,10
later,AAPL,J3,J2,17,17
later,AAPL,N1,N0,9,13
later,AAPL,N1M,N0M,3,4
later,AAPL,F1_calibrated,F1,18,22
later,AAPL,F2_calibrated,F2,12,26
later,AMZN,J1,J0,2,4
later,AMZN,J3,J2,8,9
later,AMZN,N1,N0,8,4
later,AMZN,N1M,N0M,8,4
later,AMZN,F1_calibrated,F1,3,7
later,AMZN,F2_calibrated,F2,18,26
train_forward_oof,AAPL,J1,J0,30,22
train_forward_oof,AAPL,J3,J2,37,25
train_forward_oof,AAPL,N1,N0,11,8
train_forward_oof,AAPL,N1M,N0M,17,17
train_forward_oof,AAPL,F1_calibrated,F1,0,0
train_forward_oof,AAPL,F2_calibrated,F2,0,0
train_forward_oof,AMZN,J1,J0,3,12
train_forward_oof,AMZN,J3,J2,11,9
train_forward_oof,AMZN,N1,N0,8,9
train_forward_oof,AMZN,N1M,N0M,7,9
train_forward_oof,AMZN,F1_calibrated,F1,0,0
train_forward_oof,AMZN,F2_calibrated,F2,0,0
