stock,month,phase,n,accuracy,BA,MCC,precision,recall,F1,up_recall,down_recall,pred_up,true_up,AUC,Brier,constant
AAPL,2018-03,OOF,21,0.38095238095238093,0.3557692307692308,-0.28306925853614895,0.2222222222222222,0.25,0.23529411764705882,0.25,0.46153846153846156,0.42857142857142855,0.38095238095238093,0.28846153846153844,0.2611404996415728,False
AAPL,2018-04,OOF,21,0.5238095238095238,0.5694444444444444,0.17503501050350123,0.75,0.25,0.375,0.25,0.8888888888888888,0.19047619047619047,0.5714285714285714,0.6574074074074074,0.25383179145907103,False
AAPL,2018-05,OOF,22,0.45454545454545453,0.45454545454545453,-0.09759000729485331,0.42857142857142855,0.2727272727272727,0.3333333333333333,0.2727272727272727,0.6363636363636364,0.3181818181818182,0.5,0.38016528925619836,0.28355053950265,False
AAPL,2018-06,OOF,21,0.5714285714285714,0.46153846153846156,-0.17541160386140586,0.0,0.0,0.0,0.0,0.9230769230769231,0.047619047619047616,0.38095238095238093,0.375,0.253864894335394,False
AAPL,2018-07,OOF,21,0.38095238095238093,0.4278846153846154,-0.15504341823651058,0.5,0.23076923076923078,0.3157894736842105,0.23076923076923078,0.625,0.2857142857142857,0.6190476190476191,0.4423076923076923,0.2760744224069938,False
AAPL,2018-08,OOF,23,0.43478260869565216,0.45588235294117646,-0.07815751585783592,0.7,0.4117647058823529,0.5185185185185185,0.4117647058823529,0.5,0.43478260869565216,0.7391304347826086,0.5098039215686275,0.2598411788759299,False
AAPL,2018-09,development,19,0.47368421052631576,0.4722222222222222,-0.05555555555555555,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5,0.47368421052631576,0.47368421052631576,0.4111111111111111,0.2535967980852255,False
AAPL,2018-10,development,23,0.30434782608695654,0.303030303030303,-0.3939393939393939,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.3333333333333333,0.4782608695652174,0.4782608695652174,0.1893939393939394,0.26088867577019054,False
AAPL,2018-11,later,21,0.5238095238095238,0.6428571428571428,0.3429971702850177,0.4117647058823529,1.0,0.5833333333333334,1.0,0.2857142857142857,0.8095238095238095,0.3333333333333333,0.6020408163265306,0.250702966858642,False
AAPL,2018-12,later,19,0.47368421052631576,0.391025641025641,-0.21794871794871795,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6153846153846154,0.3157894736842105,0.3157894736842105,0.3717948717948718,0.24984971769025047,False
AAPL,2019-01,later,21,0.6666666666666666,0.6727272727272727,0.35527985620321373,0.75,0.5454545454545454,0.631578947368421,0.5454545454545454,0.8,0.38095238095238093,0.5238095238095238,0.6818181818181819,0.24529861379288867,False
AAPL,2019-02,later,1,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,0.23452532519442854,True
AMZN,2018-03,OOF,21,0.47619047619047616,0.5138888888888888,0.032274861218395144,0.4375,0.7777777777777778,0.56,0.7777777777777778,0.25,0.7619047619047619,0.42857142857142855,0.5833333333333334,0.25197326641186185,False
AMZN,2018-04,OOF,21,0.42857142857142855,0.42727272727272725,-0.14545454545454545,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.4,0.5238095238095238,0.5238095238095238,0.4636363636363636,0.26824839597242095,False
AMZN,2018-05,OOF,22,0.45454545454545453,0.45,-0.1,0.5,0.5,0.5,0.5,0.4,0.5454545454545454,0.5454545454545454,0.44166666666666665,0.25068474930502804,False
AMZN,2018-06,OOF,21,0.42857142857142855,0.4583333333333333,-0.09128709291752768,0.5,0.25,0.3333333333333333,0.25,0.6666666666666666,0.2857142857142857,0.5714285714285714,0.5370370370370371,0.2507219761687171,False
AMZN,2018-07,OOF,21,0.5714285714285714,0.5727272727272728,0.14545454545454545,0.5454545454545454,0.6,0.5714285714285714,0.6,0.5454545454545454,0.5238095238095238,0.47619047619047616,0.6,0.24161569120194107,False
AMZN,2018-08,OOF,23,0.34782608695652173,0.3055555555555556,-0.3984925297873177,0.4666666666666667,0.5,0.4827586206896552,0.5,0.1111111111111111,0.6521739130434783,0.6086956521739131,0.3888888888888889,0.2591423608655223,False
AMZN,2018-09,development,19,0.47368421052631576,0.4833333333333333,-0.03580574370197164,0.46153846153846156,0.6666666666666666,0.5454545454545454,0.6666666666666666,0.3,0.6842105263157895,0.47368421052631576,0.5222222222222221,0.2517327826101206,False
AMZN,2018-10,development,23,0.4782608695652174,0.5714285714285714,0.24743582965269675,0.42857142857142855,1.0,0.6,1.0,0.14285714285714285,0.9130434782608695,0.391304347826087,0.6587301587301587,0.25069317867046165,False
AMZN,2018-11,later,21,0.42857142857142855,0.42272727272727273,-0.1589409883014377,0.46153846153846156,0.5454545454545454,0.5,0.5454545454545454,0.3,0.6190476190476191,0.5238095238095238,0.5636363636363636,0.2489359230203079,False
AMZN,2018-12,later,19,0.3157894736842105,0.369047619047619,-0.28690229202651557,0.2857142857142857,0.5714285714285714,0.38095238095238093,0.5714285714285714,0.16666666666666666,0.7368421052631579,0.3684210526315789,0.30952380952380953,0.2749683925446876,False
AMZN,2019-01,later,21,0.5238095238095238,0.5363636363636364,0.08528028654224416,0.6,0.2727272727272727,0.375,0.2727272727272727,0.8,0.23809523809523808,0.5238095238095238,0.6181818181818182,0.24823247513047028,False
AMZN,2019-02,later,1,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.22324521625069216,True
