stock,month,C,train_n,train_end,evaluation_cutoff,n,accuracy,BA,MCC,precision,recall,F1,up_recall,down_recall,pred_up,true_up,AUC,Brier,constant
AAPL,2018-03,0.01,35,2018-02-28 21:00:00+00:00,2018-03-01 14:25:00+00:00,21,0.42857142857142855,0.3701923076923077,-0.279078152825719,0.16666666666666666,0.125,0.14285714285714285,0.125,0.6153846153846154,0.2857142857142857,0.38095238095238093,0.2596153846153846,0.251725420121177,False
AAPL,2018-03,0.1,35,2018-02-28 21:00:00+00:00,2018-03-01 14:25:00+00:00,21,0.38095238095238093,0.3557692307692308,-0.28306925853614895,0.2222222222222222,0.25,0.23529411764705882,0.25,0.46153846153846156,0.42857142857142855,0.38095238095238093,0.28846153846153844,0.2611404996415728,False
AAPL,2018-03,1.0,35,2018-02-28 21:00:00+00:00,2018-03-01 14:25:00+00:00,21,0.5238095238095238,0.4951923076923077,-0.009615384615384616,0.375,0.375,0.375,0.375,0.6153846153846154,0.38095238095238093,0.38095238095238093,0.3942307692307692,0.2700596749535663,False
AAPL,2018-04,0.01,56,2018-03-29 20:00:00+00:00,2018-04-02 13:25:00+00:00,21,0.47619047619047616,0.5416666666666666,0.19364916731037085,1.0,0.08333333333333333,0.15384615384615385,0.08333333333333333,1.0,0.047619047619047616,0.5714285714285714,0.6111111111111112,0.24963389593488414,False
AAPL,2018-04,0.1,56,2018-03-29 20:00:00+00:00,2018-04-02 13:25:00+00:00,21,0.47619047619047616,0.5416666666666666,0.19364916731037085,1.0,0.08333333333333333,0.15384615384615385,0.08333333333333333,1.0,0.047619047619047616,0.5714285714285714,0.6666666666666666,0.2503024455185218,False
AAPL,2018-04,1.0,56,2018-03-29 20:00:00+00:00,2018-04-02 13:25:00+00:00,21,0.5238095238095238,0.5694444444444444,0.17503501050350123,0.75,0.25,0.375,0.25,0.8888888888888888,0.19047619047619047,0.5714285714285714,0.6574074074074074,0.25383179145907103,False
AAPL,2018-05,0.01,77,2018-04-30 20:00:00+00:00,2018-05-01 13:25:00+00:00,22,0.5,0.5,0.0,0.5,0.36363636363636365,0.42105263157894735,0.36363636363636365,0.6363636363636364,0.36363636363636365,0.5,0.5206611570247934,0.2514818429360026,False
AAPL,2018-05,0.1,77,2018-04-30 20:00:00+00:00,2018-05-01 13:25:00+00:00,22,0.4090909090909091,0.40909090909090906,-0.2041241452319315,0.3333333333333333,0.18181818181818182,0.23529411764705882,0.18181818181818182,0.6363636363636364,0.2727272727272727,0.5,0.42148760330578516,0.2657028583684513,False
AAPL,2018-05,1.0,77,2018-04-30 20:00:00+00:00,2018-05-01 13:25:00+00:00,22,0.45454545454545453,0.45454545454545453,-0.09759000729485331,0.42857142857142855,0.2727272727272727,0.3333333333333333,0.2727272727272727,0.6363636363636364,0.3181818181818182,0.5,0.38016528925619836,0.28355053950265,False
AAPL,2018-06,0.01,99,2018-05-31 20:00:00+00:00,2018-06-01 13:25:00+00:00,21,0.6190476190476191,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.38095238095238093,0.4326923076923077,0.2470961194904482,True
