method,stock,phase,R1_BA,JOINT_BA,DELTA_BA_VS_R1,R1_Brier,JOINT_Brier,DELTA_BRIER_VS_R1,NEWS_ONLY_BA,DELTA_BA_VS_NEWS_ONLY,comparison_scope
PAPER_2G_L1LR,AAPL,development,0.5621196754563895,0.47996957403651114,-0.08215010141987839,0.24411096100759516,0.26269898034531447,0.018588019337719308,0.4591784989858012,0.02079107505070993,SYSTEM_LEVEL
PAPER_2G_L1LR,AAPL,later,0.5386510041682455,0.5081470253884047,-0.03050397877984079,0.25577476582147957,0.255694712754165,-8.005306731456718e-05,0.5179360869016041,-0.00978906151319936,SYSTEM_LEVEL
PAPER_2G_L1LR,AMZN,development,0.5111317254174397,0.47866419294990725,-0.03246753246753242,0.2718877788099645,0.3018007644182719,0.029912985608307407,0.48144712430426717,-0.002782931354359919,SYSTEM_LEVEL
PAPER_2G_L1LR,AMZN,later,0.5085106382978724,0.5073842302878598,-0.001126408010012514,0.27222912692367146,0.2820397228312342,0.009810595907562725,0.5171464330413016,-0.009762202753441751,SYSTEM_LEVEL
TFIDF_LR,AAPL,development,0.5621196754563895,0.5154665314401623,-0.04665314401622722,0.24411096100759516,0.25578760398501277,0.011676642977417606,0.5,0.015466531440162301,SYSTEM_LEVEL
TFIDF_LR,AAPL,later,0.5386510041682455,0.5013894151825187,-0.037261588985726846,0.25577476582147957,0.25928790870035046,0.0035131428788708896,0.504484021725401,-0.0030946065428822944,SYSTEM_LEVEL
TFIDF_LR,AMZN,development,0.5111317254174397,0.5435992578849722,0.032467532467532534,0.2718877788099645,0.26325005545678554,-0.008637723353178972,0.5482374768089053,-0.004638218923933124,SYSTEM_LEVEL
TFIDF_LR,AMZN,later,0.5085106382978724,0.4340425531914894,-0.07446808510638298,0.27222912692367146,0.27365146944465146,0.0014223425209800022,0.5115769712140176,-0.0775344180225282,SYSTEM_LEVEL
TFIDF_RF,AAPL,development,0.5621196754563895,0.5116632860040567,-0.05045638945233277,0.24411096100759516,0.26236887125220454,0.018257910244609377,0.5469066937119675,-0.03524340770791079,SYSTEM_LEVEL
TFIDF_RF,AAPL,later,0.5386510041682455,0.4926108374384236,-0.04604016672982192,0.25577476582147957,0.2647029962546817,0.008928230433202122,0.4463812050018947,0.04622963243652889,SYSTEM_LEVEL
TFIDF_RF,AMZN,development,0.5111317254174397,0.5213358070500927,0.010204081632653073,0.2718877788099645,0.25993756414440955,-0.011950214665554959,0.5250463821892393,-0.0037105751391465214,SYSTEM_LEVEL
TFIDF_RF,AMZN,later,0.5085106382978724,0.49730913642052565,-0.011201501877346698,0.27222912692367146,0.2629923404986378,-0.009236786425033672,0.5185857321652065,-0.021276595744680882,SYSTEM_LEVEL
