stock,prediction_month,issued_C,selection_months_used,authorized_candidate_rows_used,is_march_default,is_sep_plus_frozen,train_n,train_end,evaluation_cutoff
AAPL,2018-03,0.1,[],0,True,False,35,2018-02-28 21:00:00+00:00,2018-03-01 14:25:00+00:00
AAPL,2018-04,1.0,"[""2018-03""]",3,False,False,56,2018-03-29 20:00:00+00:00,2018-04-02 13:25:00+00:00
AAPL,2018-05,1.0,"[""2018-03"", ""2018-04""]",6,False,False,77,2018-04-30 20:00:00+00:00,2018-05-01 13:25:00+00:00
AAPL,2018-06,1.0,"[""2018-03"", ""2018-04"", ""2018-05""]",9,False,False,99,2018-05-31 20:00:00+00:00,2018-06-01 13:25:00+00:00
AAPL,2018-07,1.0,"[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06""]",12,False,False,120,2018-06-29 20:00:00+00:00,2018-07-02 13:25:00+00:00
AAPL,2018-08,1.0,"[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07""]",15,False,False,141,2018-07-31 20:00:00+00:00,2018-08-01 13:25:00+00:00
AAPL,2018-09,0.01,"[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,164,2018-08-31 20:00:00+00:00,2018-09-04 13:25:00+00:00
AAPL,2018-10,0.01,"[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,183,2018-09-28 20:00:00+00:00,2018-10-01 13:25:00+00:00
AAPL,2018-11,0.01,"[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,206,2018-10-31 20:00:00+00:00,2018-11-01 13:25:00+00:00
AAPL,2018-12,0.01,"[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,227,2018-11-30 21:00:00+00:00,2018-12-03 14:25:00+00:00
AAPL,2019-01,0.01,"[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,246,2018-12-31 21:00:00+00:00,2019-01-02 14:25:00+00:00
AAPL,2019-02,0.01,"[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,267,2019-01-31 21:00:00+00:00,2019-02-01 14:25:00+00:00
AMZN,2018-03,0.1,[],0,True,False,35,2018-02-28 21:00:00+00:00,2018-03-01 14:25:00+00:00
AMZN,2018-04,0.1,"[""2018-03""]",3,False,False,56,2018-03-29 20:00:00+00:00,2018-04-02 13:25:00+00:00
AMZN,2018-05,0.01,"[""2018-03"", ""2018-04""]",6,False,False,77,2018-04-30 20:00:00+00:00,2018-05-01 13:25:00+00:00
AMZN,2018-06,0.01,"[""2018-03"", ""2018-04"", ""2018-05""]",9,False,False,99,2018-05-31 20:00:00+00:00,2018-06-01 13:25:00+00:00
AMZN,2018-07,0.1,"[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06""]",12,False,False,120,2018-06-29 20:00:00+00:00,2018-07-02 13:25:00+00:00
AMZN,2018-08,0.1,"[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07""]",15,False,False,141,2018-07-31 20:00:00+00:00,2018-08-01 13:25:00+00:00
AMZN,2018-09,0.01,"[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,164,2018-08-31 20:00:00+00:00,2018-09-04 13:25:00+00:00
AMZN,2018-10,0.01,"[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,183,2018-09-28 20:00:00+00:00,2018-10-01 13:25:00+00:00
AMZN,2018-11,0.01,"[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,206,2018-10-31 20:00:00+00:00,2018-11-01 13:25:00+00:00
AMZN,2018-12,0.01,"[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,227,2018-11-30 21:00:00+00:00,2018-12-03 14:25:00+00:00
AMZN,2019-01,0.01,"[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,246,2018-12-31 21:00:00+00:00,2019-01-02 14:25:00+00:00
AMZN,2019-02,0.01,"[""2018-03"", ""2018-04"", ""2018-05"", ""2018-06"", ""2018-07"", ""2018-08""]",18,False,True,267,2019-01-31 21:00:00+00:00,2019-02-01 14:25:00+00:00
