stock,horizon_window,method,phase,evaluation_label,n,accuracy,BA,MCC,precision,recall,F1,up_recall,down_recall,pred_up,true_up,AUC,Brier,constant
AAPL,4h,PAPER_2G_L1LR,development,EXPOSED EXPLORATORY HISTORICAL BACKTEST,126,0.4523809523809524,0.47996957403651114,-0.05579816855946523,0.4485981308411215,0.8275862068965517,0.5818181818181818,0.8275862068965517,0.1323529411764706,0.8492063492063492,0.4603174603174603,0.5139452332657202,0.26269898034531447,False
AAPL,4h,PAPER_2G_L1LR,later,EXPOSED EXPLORATORY HISTORICAL BACKTEST,178,0.5056179775280899,0.5081470253884047,0.016717510070606546,0.4954128440366973,0.6206896551724138,0.5510204081632653,0.6206896551724138,0.3956043956043956,0.6123595505617978,0.4887640449438202,0.49096880131362886,0.255694712754165,False
AAPL,4h,TFIDF_LR,development,EXPOSED EXPLORATORY HISTORICAL BACKTEST,126,0.49206349206349204,0.5154665314401623,0.03809822159891252,0.47,0.8103448275862069,0.5949367088607594,0.8103448275862069,0.22058823529411764,0.7936507936507936,0.4603174603174603,0.5945740365111563,0.25578760398501277,False
AAPL,4h,TFIDF_LR,later,EXPOSED EXPLORATORY HISTORICAL BACKTEST,178,0.5,0.5013894151825187,0.0027995940188923676,0.49,0.5632183908045977,0.5240641711229946,0.5632183908045977,0.43956043956043955,0.5617977528089888,0.4887640449438202,0.5255778704054567,0.25928790870035046,False
AAPL,4h,TFIDF_RF,development,EXPOSED EXPLORATORY HISTORICAL BACKTEST,126,0.49206349206349204,0.5116632860040567,0.026710404085643628,0.46808510638297873,0.7586206896551724,0.5789473684210527,0.7586206896551724,0.2647058823529412,0.746031746031746,0.4603174603174603,0.5740365111561866,0.26236887125220454,False
AAPL,4h,TFIDF_RF,later,EXPOSED EXPLORATORY HISTORICAL BACKTEST,178,0.4943820224719101,0.4926108374384236,-0.014960850915561345,0.48,0.41379310344827586,0.4444444444444444,0.41379310344827586,0.5714285714285714,0.42134831460674155,0.4887640449438202,0.46899077933560684,0.2647029962546817,False
AMZN,4h,PAPER_2G_L1LR,development,EXPOSED EXPLORATORY HISTORICAL BACKTEST,126,0.47619047619047616,0.47866419294990725,-0.0416256355623818,0.36923076923076925,0.4897959183673469,0.42105263157894735,0.4897959183673469,0.4675324675324675,0.5158730158730159,0.3888888888888889,0.4908560826928174,0.3018007644182719,False
AMZN,4h,PAPER_2G_L1LR,later,EXPOSED EXPLORATORY HISTORICAL BACKTEST,179,0.5139664804469274,0.5073842302878598,0.01528612575656777,0.5309734513274337,0.6382978723404256,0.5797101449275363,0.6382978723404256,0.3764705882352941,0.6312849162011173,0.5251396648044693,0.5146433041301627,0.2820397228312342,False
AMZN,4h,TFIDF_LR,development,EXPOSED EXPLORATORY HISTORICAL BACKTEST,126,0.5238095238095238,0.5435992578849722,0.08610990904265983,0.4246575342465753,0.6326530612244898,0.5081967213114754,0.6326530612244898,0.45454545454545453,0.5793650793650794,0.3888888888888889,0.562152133580705,0.26325005545678554,False
AMZN,4h,TFIDF_LR,later,EXPOSED EXPLORATORY HISTORICAL BACKTEST,179,0.43575418994413406,0.4340425531914894,-0.13199752118141328,0.4631578947368421,0.46808510638297873,0.4656084656084656,0.46808510638297873,0.4,0.5307262569832403,0.5251396648044693,0.46670838548185234,0.27365146944465146,False
AMZN,4h,TFIDF_RF,development,EXPOSED EXPLORATORY HISTORICAL BACKTEST,126,0.49206349206349204,0.5213358070500927,0.04301500708984443,0.4050632911392405,0.6530612244897959,0.5,0.6530612244897959,0.38961038961038963,0.626984126984127,0.3888888888888889,0.5563212297906176,0.25993756414440955,False
AMZN,4h,TFIDF_RF,later,EXPOSED EXPLORATORY HISTORICAL BACKTEST,179,0.5027932960893855,0.49730913642052565,-0.005507224706022116,0.5229357798165137,0.6063829787234043,0.5615763546798029,0.6063829787234043,0.38823529411764707,0.6089385474860335,0.5251396648044693,0.45732165206508135,0.2629923404986378,False
