method,stock,month,n,BA,Brier,decision_only
PAPER_1G_L1LR,AAPL,2018-03,21,0.5,0.25,False
PAPER_1G_L1LR,AAPL,2018-04,21,0.25,0.3907137485704255,False
PAPER_1G_L1LR,AAPL,2018-05,22,0.5,0.25,False
PAPER_1G_L1LR,AAPL,2018-06,21,0.5,0.25,False
PAPER_1G_L1LR,AAPL,2018-07,21,0.5,0.25,False
PAPER_1G_L1LR,AAPL,2018-08,23,0.5,0.25,False
PAPER_1G_L1LR,AMZN,2018-03,21,0.5,0.24932944606413993,False
PAPER_1G_L1LR,AMZN,2018-04,21,0.38636363636363635,0.3217768843009541,False
PAPER_1G_L1LR,AMZN,2018-05,22,0.4666666666666667,0.3759130268583462,False
PAPER_1G_L1LR,AMZN,2018-06,21,0.5972222222222222,0.2627331700475756,False
PAPER_1G_L1LR,AMZN,2018-07,21,0.4409090909090909,0.37297919024777026,False
PAPER_1G_L1LR,AMZN,2018-08,23,0.3412698412698413,0.3757257669821275,False
PAPER_1G_LINSVM,AAPL,2018-03,21,0.5,,True
PAPER_1G_LINSVM,AAPL,2018-04,21,0.3611111111111111,,True
PAPER_1G_LINSVM,AAPL,2018-05,22,0.5909090909090908,,True
PAPER_1G_LINSVM,AAPL,2018-06,21,0.3173076923076923,,True
PAPER_1G_LINSVM,AAPL,2018-07,21,0.4519230769230769,,True
PAPER_1G_LINSVM,AAPL,2018-08,23,0.48039215686274506,,True
PAPER_1G_LINSVM,AMZN,2018-03,21,0.6805555555555556,,True
PAPER_1G_LINSVM,AMZN,2018-04,21,0.3318181818181818,,True
PAPER_1G_LINSVM,AMZN,2018-05,22,0.3666666666666667,,True
PAPER_1G_LINSVM,AMZN,2018-06,21,0.5972222222222222,,True
PAPER_1G_LINSVM,AMZN,2018-07,21,0.34545454545454546,,True
PAPER_1G_LINSVM,AMZN,2018-08,23,0.41666666666666663,,True
PAPER_2G_L1LR,AAPL,2018-03,21,0.5,0.25,False
PAPER_2G_L1LR,AAPL,2018-04,21,0.5,0.25,False
PAPER_2G_L1LR,AAPL,2018-05,22,0.5,0.25,False
PAPER_2G_L1LR,AAPL,2018-06,21,0.5,0.25,False
PAPER_2G_L1LR,AAPL,2018-07,21,0.5,0.25,False
PAPER_2G_L1LR,AAPL,2018-08,23,0.5,0.25,False
PAPER_2G_L1LR,AMZN,2018-03,21,0.5,0.24932944606413993,False
PAPER_2G_L1LR,AMZN,2018-04,21,0.5045454545454545,0.2500303692905734,False
PAPER_2G_L1LR,AMZN,2018-05,22,0.5083333333333333,0.2500038332387801,False
PAPER_2G_L1LR,AMZN,2018-06,21,0.6527777777777778,0.21556966784934803,False
PAPER_2G_L1LR,AMZN,2018-07,21,0.4318181818181818,0.3041800797970161,False
PAPER_2G_L1LR,AMZN,2018-08,23,0.5238095238095238,0.315316140875993,False
TFIDF_LR,AAPL,2018-03,21,0.5,0.24528562490613384,False
TFIDF_LR,AAPL,2018-04,21,0.5,0.26456729839592585,False
TFIDF_LR,AAPL,2018-05,22,0.5,0.25002990273454456,False
TFIDF_LR,AAPL,2018-06,21,0.5,0.2488425115039384,False
TFIDF_LR,AAPL,2018-07,21,0.5,0.25238709332198805,False
TFIDF_LR,AAPL,2018-08,23,0.5,0.25225815769228455,False
TFIDF_LR,AMZN,2018-03,21,0.5,0.24998189777273286,False
TFIDF_LR,AMZN,2018-04,21,0.4454545454545455,0.25434809940320313,False
TFIDF_LR,AMZN,2018-05,22,0.375,0.2536562592215595,False
TFIDF_LR,AMZN,2018-06,21,0.5,0.24985309080318754,False
TFIDF_LR,AMZN,2018-07,21,0.5,0.25091524085019185,False
TFIDF_LR,AMZN,2018-08,23,0.5,0.2477304497851638,False
TFIDF_LINSVM,AAPL,2018-03,21,0.5,,True
TFIDF_LINSVM,AAPL,2018-04,21,0.5,,True
TFIDF_LINSVM,AAPL,2018-05,22,0.5,,True
TFIDF_LINSVM,AAPL,2018-06,21,0.5,,True
TFIDF_LINSVM,AAPL,2018-07,21,0.5,,True
TFIDF_LINSVM,AAPL,2018-08,23,0.5,,True
TFIDF_LINSVM,AMZN,2018-03,21,0.5555555555555556,,True
TFIDF_LINSVM,AMZN,2018-04,21,0.34090909090909094,,True
TFIDF_LINSVM,AMZN,2018-05,22,0.375,,True
TFIDF_LINSVM,AMZN,2018-06,21,0.5,,True
TFIDF_LINSVM,AMZN,2018-07,21,0.45,,True
TFIDF_LINSVM,AMZN,2018-08,23,0.5555555555555556,,True
TFIDF_RF,AAPL,2018-03,21,0.5,0.2545055261610817,False
TFIDF_RF,AAPL,2018-04,21,0.611111111111111,0.26874652611418964,False
TFIDF_RF,AAPL,2018-05,22,0.5454545454545454,0.25852323232323227,False
TFIDF_RF,AAPL,2018-06,21,0.2644230769230769,0.3039873015873016,False
