method,stock,month,n,BA,Brier,decision_only
PAPER_1G_L1LR,AAPL,2018-03,21,0.5,0.25,False
PAPER_1G_L1LR,AAPL,2018-04,21,0.5,0.25,False
PAPER_1G_L1LR,AAPL,2018-05,22,0.5,0.25,False
PAPER_1G_L1LR,AAPL,2018-06,21,0.5,0.25,False
PAPER_1G_L1LR,AAPL,2018-07,21,0.5,0.25,False
PAPER_1G_L1LR,AAPL,2018-08,23,0.6274509803921569,0.27179485153115035,False
PAPER_1G_L1LR,AMZN,2018-03,21,0.5,0.25,False
PAPER_1G_L1LR,AMZN,2018-04,21,0.6272727272727273,0.2467758427576263,False
PAPER_1G_L1LR,AMZN,2018-05,22,0.725,0.1961197057741436,False
PAPER_1G_L1LR,AMZN,2018-06,21,0.5,0.3050815056297663,False
PAPER_1G_L1LR,AMZN,2018-07,21,0.6227272727272727,0.2571789738368674,False
PAPER_1G_L1LR,AMZN,2018-08,23,0.3968253968253968,0.3539863472826964,False
PAPER_1G_LINSVM,AAPL,2018-03,21,0.5240384615384616,,True
PAPER_1G_LINSVM,AAPL,2018-04,21,0.375,,True
PAPER_1G_LINSVM,AAPL,2018-05,22,0.45454545454545453,,True
PAPER_1G_LINSVM,AAPL,2018-06,21,0.46634615384615385,,True
PAPER_1G_LINSVM,AAPL,2018-07,21,0.6153846153846154,,True
PAPER_1G_LINSVM,AAPL,2018-08,23,0.6568627450980392,,True
PAPER_1G_LINSVM,AMZN,2018-03,21,0.3194444444444445,,True
PAPER_1G_LINSVM,AMZN,2018-04,21,0.5409090909090909,,True
PAPER_1G_LINSVM,AMZN,2018-05,22,0.65,,True
PAPER_1G_LINSVM,AMZN,2018-06,21,0.4722222222222222,,True
PAPER_1G_LINSVM,AMZN,2018-07,21,0.42727272727272725,,True
PAPER_1G_LINSVM,AMZN,2018-08,23,0.5436507936507937,,True
PAPER_2G_L1LR,AAPL,2018-03,21,0.5,0.25,False
PAPER_2G_L1LR,AAPL,2018-04,21,0.5,0.25,False
PAPER_2G_L1LR,AAPL,2018-05,22,0.5,0.25,False
PAPER_2G_L1LR,AAPL,2018-06,21,0.5,0.25,False
PAPER_2G_L1LR,AAPL,2018-07,21,0.5,0.25,False
PAPER_2G_L1LR,AAPL,2018-08,23,0.5,0.25,False
PAPER_2G_L1LR,AMZN,2018-03,21,0.5,0.25,False
PAPER_2G_L1LR,AMZN,2018-04,21,0.6272727272727273,0.26769722585708666,False
PAPER_2G_L1LR,AMZN,2018-05,22,0.425,0.30858800393310926,False
PAPER_2G_L1LR,AMZN,2018-06,21,0.5,0.25000242929535854,False
PAPER_2G_L1LR,AMZN,2018-07,21,0.5,0.25007936507936507,False
PAPER_2G_L1LR,AMZN,2018-08,23,0.5,0.24862715767512353,False
TFIDF_LR,AAPL,2018-03,21,0.5,0.24549592903153275,False
TFIDF_LR,AAPL,2018-04,21,0.5,0.2645833923640575,False
TFIDF_LR,AAPL,2018-05,22,0.5,0.2500372859667879,False
TFIDF_LR,AAPL,2018-06,21,0.5,0.24883906056192423,False
TFIDF_LR,AAPL,2018-07,21,0.5,0.25239765590866736,False
TFIDF_LR,AAPL,2018-08,23,0.5,0.25223188834651455,False
TFIDF_LR,AMZN,2018-03,21,0.5,0.2511799795678288,False
TFIDF_LR,AMZN,2018-04,21,0.5,0.2486864632649634,False
TFIDF_LR,AMZN,2018-05,22,0.4916666666666667,0.2504975951057099,False
TFIDF_LR,AMZN,2018-06,21,0.4722222222222222,0.2489711304228249,False
TFIDF_LR,AMZN,2018-07,21,0.5,0.2502850120172674,False
TFIDF_LR,AMZN,2018-08,23,0.6904761904761905,0.2480680496751728,False
TFIDF_LINSVM,AAPL,2018-03,21,0.5,,True
