method,stock,month,n,BA,Brier,decision_only
PAPER_1G_L1LR,AAPL,2018-03,62,0.5,0.25003835659827045,False
PAPER_1G_L1LR,AAPL,2018-04,63,0.5,0.2519463030762109,False
PAPER_1G_L1LR,AAPL,2018-05,66,0.44734389561975774,0.25334300857835107,False
PAPER_1G_L1LR,AAPL,2018-06,63,0.5,0.25,False
PAPER_1G_L1LR,AAPL,2018-07,60,0.5970695970695971,0.2443310314596484,False
PAPER_1G_L1LR,AAPL,2018-08,69,0.4411764705882353,0.24516536808467418,False
PAPER_1G_L1LR,AMZN,2018-03,62,0.5,0.25549475797608395,False
PAPER_1G_L1LR,AMZN,2018-04,63,0.4357142857142857,0.3572034570023924,False
PAPER_1G_L1LR,AMZN,2018-05,65,0.5,0.2478164585226945,False
PAPER_1G_L1LR,AMZN,2018-06,63,0.5,0.2470328934482401,False
PAPER_1G_L1LR,AMZN,2018-07,60,0.5,0.2457048940832725,False
PAPER_1G_L1LR,AMZN,2018-08,69,0.5,0.2424716062736615,False
PAPER_1G_LINSVM,AAPL,2018-03,62,0.46354166666666663,,True
PAPER_1G_LINSVM,AAPL,2018-04,63,0.44405241935483875,,True
PAPER_1G_LINSVM,AAPL,2018-05,66,0.5349487418452936,,True
PAPER_1G_LINSVM,AAPL,2018-06,63,0.4212962962962963,,True
PAPER_1G_LINSVM,AAPL,2018-07,60,0.40293040293040294,,True
PAPER_1G_LINSVM,AAPL,2018-08,69,0.39052287581699346,,True
PAPER_1G_LINSVM,AMZN,2018-03,62,0.5386243386243386,,True
PAPER_1G_LINSVM,AMZN,2018-04,63,0.4357142857142857,,True
PAPER_1G_LINSVM,AMZN,2018-05,65,0.5531189083820662,,True
PAPER_1G_LINSVM,AMZN,2018-06,63,0.48641304347826086,,True
PAPER_1G_LINSVM,AMZN,2018-07,60,0.6,,True
PAPER_1G_LINSVM,AMZN,2018-08,69,0.5754310344827587,,True
PAPER_2G_L1LR,AAPL,2018-03,62,0.5,0.25,False
PAPER_2G_L1LR,AAPL,2018-04,63,0.5,0.2519463030762109,False
PAPER_2G_L1LR,AAPL,2018-05,66,0.5,0.25,False
PAPER_2G_L1LR,AAPL,2018-06,63,0.5277777777777778,0.2487255721693388,False
PAPER_2G_L1LR,AAPL,2018-07,60,0.5054945054945055,0.2512483555745676,False
PAPER_2G_L1LR,AAPL,2018-08,69,0.45588235294117646,0.24294291695768355,False
PAPER_2G_L1LR,AMZN,2018-03,62,0.5,0.25549475797608395,False
PAPER_2G_L1LR,AMZN,2018-04,63,0.5,0.25460347679535594,False
PAPER_2G_L1LR,AMZN,2018-05,65,0.4878167641325536,0.29326144306866475,False
PAPER_2G_L1LR,AMZN,2018-06,63,0.5271739130434783,0.25844556037845456,False
PAPER_2G_L1LR,AMZN,2018-07,60,0.55,0.2517916284617995,False
PAPER_2G_L1LR,AMZN,2018-08,69,0.5379310344827586,0.29862193403884907,False
TFIDF_LR,AAPL,2018-03,62,0.5,0.24996810416029439,False
TFIDF_LR,AAPL,2018-04,63,0.5,0.252065783273633,False
TFIDF_LR,AAPL,2018-05,66,0.5,0.24695820878628516,False
TFIDF_LR,AAPL,2018-06,63,0.5,0.24738233534273732,False
TFIDF_LR,AAPL,2018-07,60,0.5,0.23922306917240965,False
TFIDF_LR,AAPL,2018-08,69,0.5,0.22822119173240785,False
TFIDF_LR,AMZN,2018-03,62,0.5,0.2666536283540176,False
TFIDF_LR,AMZN,2018-04,63,0.5,0.2550613662551674,False
TFIDF_LR,AMZN,2018-05,65,0.5,0.24765257700998955,False
TFIDF_LR,AMZN,2018-06,63,0.5,0.24505879661979704,False
TFIDF_LR,AMZN,2018-07,60,0.5,0.24859549369364956,False
TFIDF_LR,AMZN,2018-08,69,0.5,0.24358156487938162,False
TFIDF_LINSVM,AAPL,2018-03,62,0.5,,True
TFIDF_LINSVM,AAPL,2018-04,63,0.5307459677419355,,True
TFIDF_LINSVM,AAPL,2018-05,66,0.48555452003727867,,True
TFIDF_LINSVM,AAPL,2018-06,63,0.42592592592592593,,True
TFIDF_LINSVM,AAPL,2018-07,60,0.532967032967033,,True
TFIDF_LINSVM,AAPL,2018-08,69,0.43137254901960786,,True
TFIDF_LINSVM,AMZN,2018-03,62,0.5,,True
TFIDF_LINSVM,AMZN,2018-04,63,0.5,,True
TFIDF_LINSVM,AMZN,2018-05,65,0.5,,True
TFIDF_LINSVM,AMZN,2018-06,63,0.5,,True
TFIDF_LINSVM,AMZN,2018-07,60,0.5,,True
TFIDF_LINSVM,AMZN,2018-08,69,0.5,,True
TFIDF_RF,AAPL,2018-03,62,0.55625,0.24043715467271898,False
TFIDF_RF,AAPL,2018-04,63,0.47731854838709675,0.2930708270986947,False
TFIDF_RF,AAPL,2018-05,66,0.5717614165890028,0.25114121018199337,False
TFIDF_RF,AAPL,2018-06,63,0.4305555555555556,0.29061335425240054,False
TFIDF_RF,AAPL,2018-07,60,0.5201465201465202,0.3531004558934191,False
TFIDF_RF,AAPL,2018-08,69,0.511437908496732,0.24261689268363906,False
TFIDF_RF,AMZN,2018-03,62,0.45026455026455026,0.2782213573417877,False
TFIDF_RF,AMZN,2018-04,63,0.45,0.30883508844066165,False
TFIDF_RF,AMZN,2018-05,65,0.5136452241715399,0.2504337999734204,False
TFIDF_RF,AMZN,2018-06,63,0.4679347826086957,0.2574845594562427,False
TFIDF_RF,AMZN,2018-07,60,0.55,0.2507560215871887,False
TFIDF_RF,AMZN,2018-08,69,0.5491379310344828,0.250903402637137,False
TFIDF_ADABOOST,AAPL,2018-03,62,0.5916666666666667,0.24866676628871676,False
TFIDF_ADABOOST,AAPL,2018-04,63,0.39919354838709675,0.312664625009251,False
TFIDF_ADABOOST,AAPL,2018-05,66,0.4277726001863933,0.26302207064665667,False
