stock,horizon,method,month,params,n,accuracy,ba,mcc,precision,recall,f1,up_recall,down_recall,pred_up,true_up,constant,auc,brier,error_n,error_accuracy,error_ba,error_mcc,error_precision,error_recall,error_f1,error_up_recall,error_down_recall,error_pred_up,error_true_up,error_constant,error_auc,error_brier
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-03,"{""C"":0.01}",21,0.38095238095238093,0.5,0.0,0.38095238095238093,1.0,0.5517241379310345,1.0,0.0,1.0,0.38095238095238093,True,0.5,0.25,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-03,"{""C"":0.1}",21,0.38095238095238093,0.5,0.0,0.38095238095238093,1.0,0.5517241379310345,1.0,0.0,1.0,0.38095238095238093,True,0.5,0.25,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-03,"{""C"":1.0}",21,0.6190476190476191,0.5480769230769231,0.11891287353862351,0.5,0.25,0.3333333333333333,0.25,0.8461538461538461,0.19047619047619047,0.38095238095238093,False,0.5,0.2717115969894042,0.0,0.0,0.0,1.3877787807814457e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0.0,0.0,0.0
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-04,"{""C"":0.01}",21,0.5714285714285714,0.5,0.0,0.5714285714285714,1.0,0.7272727272727273,1.0,0.0,1.0,0.5714285714285714,True,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-04,"{""C"":0.1}",21,0.5714285714285714,0.5,0.0,0.5714285714285714,1.0,0.7272727272727273,1.0,0.0,1.0,0.5714285714285714,True,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-04,"{""C"":1.0}",21,0.23809523809523808,0.25,-0.5095246653650681,0.25,0.16666666666666666,0.2,0.16666666666666666,0.3333333333333333,0.38095238095238093,0.5714285714285714,False,0.19444444444444445,0.3907137485704255,0.0,8.326672684688674e-17,0.0,0.0,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-05,"{""C"":0.01}",22,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,1.0,0.0,1.0,0.5,True,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-05,"{""C"":0.1}",22,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,1.0,0.0,1.0,0.5,True,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-05,"{""C"":1.0}",22,0.5454545454545454,0.5454545454545454,0.13245323570650439,0.6666666666666666,0.18181818181818182,0.2857142857142857,0.18181818181818182,0.9090909090909091,0.13636363636363635,0.5,False,0.487603305785124,0.3482336919343114,0.0,0.0,0.0,8.326672684688674e-17,0.0,2.7755575615628914e-17,0.0,2.7755575615628914e-17,1.1102230246251565e-16,5.551115123125783e-17,0.0,0.0,0.0,0.0
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-06,"{""C"":0.01}",21,0.38095238095238093,0.5,0.0,0.38095238095238093,1.0,0.5517241379310345,1.0,0.0,1.0,0.38095238095238093,True,0.5,0.25,0.0,5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-17,0.0,0.0,0.0
