stock,news_window,method,month,phase,C,n,accuracy,ba,mcc,precision,recall,f1,up_recall,down_recall,pred_up,true_up,constant,auc,brier
AAPL,DPRICE,DPRICE_LR,2018-03,oof,0.1,21,0.42857142857142855,0.4182692307692308,-0.1589409883014377,0.3,0.375,0.3333333333333333,0.375,0.46153846153846156,0.47619047619047616,0.38095238095238093,False,0.41346153846153855,0.2590502858011634
AAPL,DPRICE,DPRICE_LR,2018-04,oof,0.1,21,0.5238095238095238,0.5555555555555556,0.12171612389003691,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.7777777777777778,0.2857142857142857,0.5714285714285714,False,0.5740740740740742,0.25772640729847357
AAPL,DPRICE,DPRICE_LR,2018-05,oof,0.1,22,0.45454545454545453,0.4545454545454546,-0.10846522890932808,0.4,0.18181818181818182,0.25,0.18181818181818182,0.7272727272727273,0.22727272727272727,0.5,False,0.3471074380165289,0.2742087870563725
AAPL,DPRICE,DPRICE_LR,2018-06,oof,0.1,21,0.6190476190476191,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.38095238095238093,True,0.41346153846153844,0.24189397434178744
AAPL,DPRICE,DPRICE_LR,2018-07,oof,0.1,21,0.42857142857142855,0.5144230769230769,0.04003203845127179,0.6666666666666666,0.15384615384615385,0.25,0.15384615384615385,0.875,0.14285714285714285,0.6190476190476191,False,0.6538461538461539,0.2552448389924641
AAPL,DPRICE,DPRICE_LR,2018-08,oof,0.1,23,0.43478260869565216,0.5098039215686274,0.018077538151554683,0.75,0.35294117647058826,0.48,0.35294117647058826,0.6666666666666666,0.34782608695652173,0.7391304347826086,False,0.43137254901960786,0.265745698802498
AAPL,DPRICE,DPRICE_LR,2018-09,development,0.1,19,0.3157894736842105,0.3277777777777778,-0.3905632887762015,0.35714285714285715,0.5555555555555556,0.43478260869565216,0.5555555555555556,0.1,0.7368421052631579,0.47368421052631576,False,0.39999999999999997,0.25828874477163916
AAPL,DPRICE,DPRICE_LR,2018-10,development,0.1,23,0.4782608695652174,0.48484848484848486,-0.03178208630818641,0.4666666666666667,0.6363636363636364,0.5384615384615384,0.6363636363636364,0.3333333333333333,0.6521739130434783,0.4782608695652174,False,0.5075757575757576,0.26080386146337126
AAPL,DPRICE,DPRICE_LR,2018-11,later,0.1,21,0.6666666666666666,0.75,0.5,0.5,1.0,0.6666666666666666,1.0,0.5,0.6666666666666666,0.3333333333333333,False,0.7142857142857142,0.2515140629954117
AAPL,DPRICE,DPRICE_LR,2018-12,later,0.1,19,0.47368421052631576,0.5256410256410257,0.049416621110740085,0.3333333333333333,0.6666666666666666,0.4444444444444444,0.6666666666666666,0.38461538461538464,0.631578947368421,0.3157894736842105,False,0.4358974358974359,0.2676358201408467
AAPL,DPRICE,DPRICE_LR,2019-01,later,0.1,21,0.38095238095238093,0.38181818181818183,-0.23636363636363636,0.4,0.36363636363636365,0.38095238095238093,0.36363636363636365,0.4,0.47619047619047616,0.5238095238095238,False,0.4636363636363637,0.2566183413124104
AAPL,DPRICE,DPRICE_LR,2019-02,later,0.1,1,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,True,,0.21883385336694028
AMZN,DPRICE,DPRICE_LR,2018-03,oof,0.1,21,0.47619047619047616,0.5,0.0,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.42857142857142855,False,0.5740740740740741,0.2531610656126165
AMZN,DPRICE,DPRICE_LR,2018-04,oof,0.1,21,0.42857142857142855,0.42272727272727273,-0.1589409883014377,0.46153846153846156,0.5454545454545454,0.5,0.5454545454545454,0.3,0.6190476190476191,0.5238095238095238,False,0.5,0.26661874003881786
AMZN,DPRICE,DPRICE_LR,2018-05,oof,0.1,22,0.45454545454545453,0.44166666666666665,-0.12076147288491199,0.5,0.5833333333333334,0.5384615384615384,0.5833333333333334,0.3,0.6363636363636364,0.5454545454545454,False,0.35,0.25903756272661715
AMZN,DPRICE,DPRICE_LR,2018-06,oof,0.1,21,0.42857142857142855,0.4583333333333333,-0.09128709291752768,0.5,0.25,0.3333333333333333,0.25,0.6666666666666666,0.2857142857142857,0.5714285714285714,False,0.5740740740740741,0.25487656559407534
AMZN,DPRICE,DPRICE_LR,2018-07,oof,0.1,21,0.5714285714285714,0.5772727272727273,0.1589409883014377,0.5384615384615384,0.7,0.6086956521739131,0.7,0.45454545454545453,0.6190476190476191,0.47619047619047616,False,0.6363636363636364,0.23620816437618622
AMZN,DPRICE,DPRICE_LR,2018-08,oof,0.1,23,0.43478260869565216,0.3968253968253968,-0.21144501580551553,0.5333333333333333,0.5714285714285714,0.5517241379310345,0.5714285714285714,0.2222222222222222,0.6521739130434783,0.6086956521739131,False,0.373015873015873,0.2638298283925915
AMZN,DPRICE,DPRICE_LR,2018-09,development,0.1,19,0.5789473684210527,0.5944444444444444,0.23134069792952236,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.8888888888888888,0.3,0.7894736842105263,0.47368421052631576,False,0.5222222222222221,0.254247807430632
AMZN,DPRICE,DPRICE_LR,2018-10,development,0.1,23,0.4782608695652174,0.5515873015873015,0.13284685688840928,0.42105263157894735,0.8888888888888888,0.5714285714285714,0.8888888888888888,0.21428571428571427,0.8260869565217391,0.391304347826087,False,0.6428571428571428,0.2505116727614995
AMZN,DPRICE,DPRICE_LR,2018-11,later,0.1,21,0.42857142857142855,0.42272727272727273,-0.1589409883014377,0.46153846153846156,0.5454545454545454,0.5,0.5454545454545454,0.3,0.6190476190476191,0.5238095238095238,False,0.5636363636363637,0.24822077751513913
AMZN,DPRICE,DPRICE_LR,2018-12,later,0.1,19,0.2631578947368421,0.2976190476190476,-0.4200412794412907,0.23076923076923078,0.42857142857142855,0.3,0.42857142857142855,0.16666666666666666,0.6842105263157895,0.3684210526315789,False,0.2976190476190476,0.3061067206457717
AMZN,DPRICE,DPRICE_LR,2019-01,later,0.1,21,0.23809523809523808,0.24545454545454548,-0.5393598899705937,0.14285714285714285,0.09090909090909091,0.1111111111111111,0.09090909090909091,0.4,0.3333333333333333,0.5238095238095238,False,0.3,0.2696908613213801
AMZN,DPRICE,DPRICE_LR,2019-02,later,0.1,1,1.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True,,0.19577341633079098
