news_window,stock,method,phase,n,accuracy,ba,mcc,precision,recall,f1,up_recall,down_recall,pred_up,true_up,constant,auc,brier
DNEWS_OVERNIGHT,AAPL,NEWS_PLUS_PRICE_PAPER_2G_L1LR,development,42,0.47619047619047616,0.5,0.0,0.47619047619047616,1.0,0.6451612903225806,1.0,0.0,1.0,0.47619047619047616,True,0.3909090909090909,0.2511787783896605
DNEWS_OVERNIGHT,AAPL,NEWS_PLUS_PRICE_PAPER_2G_L1LR,later,62,0.4032258064516129,0.5,0.0,0.4032258064516129,1.0,0.5747126436781609,1.0,0.0,1.0,0.4032258064516129,True,0.49459459459459454,0.2513308788270361
DNEWS_OVERNIGHT,AMZN,NEWS_PLUS_PRICE_PAPER_2G_L1LR,development,42,0.42857142857142855,0.5,0.0,0.42857142857142855,1.0,0.6,1.0,0.0,1.0,0.42857142857142855,True,0.4930555555555556,0.25065153961644143
DNEWS_OVERNIGHT,AMZN,NEWS_PLUS_PRICE_PAPER_2G_L1LR,later,62,0.46774193548387094,0.5,0.0,0.46774193548387094,1.0,0.6373626373626373,1.0,0.0,1.0,0.46774193548387094,True,0.46081504702194354,0.25126652722074033
DNEWS_OVERNIGHT,AAPL,NEWS_PLUS_PRICE_PAPER_1G_LINSVM,development,42,0.42857142857142855,0.43863636363636366,-0.13568010505999362,0.43333333333333335,0.65,0.52,0.65,0.22727272727272727,0.7142857142857143,0.47619047619047616,False,0.42727272727272725,
DNEWS_OVERNIGHT,AAPL,NEWS_PLUS_PRICE_PAPER_1G_LINSVM,later,62,0.45161290322580644,0.5081081081081081,0.019541175110895138,0.40816326530612246,0.8,0.5405405405405406,0.8,0.21621621621621623,0.7903225806451613,0.4032258064516129,False,0.507027027027027,
DNEWS_OVERNIGHT,AMZN,NEWS_PLUS_PRICE_PAPER_1G_LINSVM,development,42,0.5714285714285714,0.5972222222222222,0.2041241452319315,0.5,0.7777777777777778,0.6086956521739131,0.7777777777777778,0.4166666666666667,0.6666666666666666,0.42857142857142855,False,0.638888888888889,
DNEWS_OVERNIGHT,AMZN,NEWS_PLUS_PRICE_PAPER_1G_LINSVM,later,62,0.43548387096774194,0.4446185997910136,-0.11550706808511527,0.425,0.5862068965517241,0.4927536231884058,0.5862068965517241,0.30303030303030304,0.6451612903225806,0.46774193548387094,False,0.5005224660397074,
DNEWS_OVERNIGHT,AAPL,NEWS_PLUS_PRICE_PAPER_1G_L1LR,development,42,0.47619047619047616,0.5,0.0,0.47619047619047616,1.0,0.6451612903225806,1.0,0.0,1.0,0.47619047619047616,True,0.609090909090909,0.2461636053208173
DNEWS_OVERNIGHT,AAPL,NEWS_PLUS_PRICE_PAPER_1G_L1LR,later,62,0.4032258064516129,0.5,0.0,0.4032258064516129,1.0,0.5747126436781609,1.0,0.0,1.0,0.4032258064516129,True,0.4632432432432433,0.2571113231930026
DNEWS_OVERNIGHT,AMZN,NEWS_PLUS_PRICE_PAPER_1G_L1LR,development,42,0.42857142857142855,0.5,0.0,0.42857142857142855,1.0,0.6,1.0,0.0,1.0,0.42857142857142855,True,0.4930555555555556,0.25065153961644143
DNEWS_OVERNIGHT,AMZN,NEWS_PLUS_PRICE_PAPER_1G_L1LR,later,62,0.46774193548387094,0.5,0.0,0.46774193548387094,1.0,0.6373626373626373,1.0,0.0,1.0,0.46774193548387094,True,0.46081504702194354,0.25126652722074033
DNEWS_24H,AAPL,NEWS_PLUS_PRICE_TFIDF_KNN,development,42,0.5476190476190477,0.5431818181818182,0.08787448511194726,0.5294117647058824,0.45,0.4864864864864865,0.45,0.6363636363636364,0.40476190476190477,0.47619047619047616,False,0.5556818181818182,0.2857142857142857
DNEWS_24H,AAPL,NEWS_PLUS_PRICE_TFIDF_KNN,later,62,0.5645161290322581,0.5767567567567567,0.15132093072174338,0.47058823529411764,0.64,0.5423728813559322,0.64,0.5135135135135135,0.5483870967741935,0.4032258064516129,False,0.594054054054054,0.2735483870967742
DNEWS_24H,AMZN,NEWS_PLUS_PRICE_TFIDF_KNN,development,42,0.5238095238095238,0.5416666666666666,0.08492077756084468,0.46153846153846156,0.6666666666666666,0.5454545454545454,0.6666666666666666,0.4166666666666667,0.6190476190476191,0.42857142857142855,False,0.619212962962963,0.2567846519928614
DNEWS_24H,AMZN,NEWS_PLUS_PRICE_TFIDF_KNN,later,62,0.5,0.5156739811912225,0.035745911735556385,0.4782608695652174,0.7586206896551724,0.5866666666666667,0.7586206896551724,0.2727272727272727,0.7419354838709677,0.46774193548387094,False,0.5517241379310345,0.2843118535433978
DNEWS_24H,AAPL,NEWS_PLUS_PRICE_TFIDF_ADABOOST,development,42,0.4523809523809524,0.475,-0.16379642332078845,0.4634146341463415,0.95,0.6229508196721312,0.95,0.0,0.9761904761904762,0.47619047619047616,False,0.5636363636363636,0.2732140705989424
DNEWS_24H,AAPL,NEWS_PLUS_PRICE_TFIDF_ADABOOST,later,62,0.43548387096774194,0.527027027027027,0.15007505629691603,0.4166666666666667,1.0,0.5882352941176471,1.0,0.05405405405405406,0.967741935483871,0.4032258064516129,False,0.41189189189189196,0.3179169382682017
DNEWS_24H,AMZN,NEWS_PLUS_PRICE_TFIDF_ADABOOST,development,42,0.38095238095238093,0.4027777777777778,-0.2041241452319315,0.35714285714285715,0.5555555555555556,0.43478260869565216,0.5555555555555556,0.25,0.6666666666666666,0.42857142857142855,False,0.5011574074074074,0.29709982258264034
DNEWS_24H,AMZN,NEWS_PLUS_PRICE_TFIDF_ADABOOST,later,62,0.5967741935483871,0.6107628004179728,0.24351028066473868,0.5454545454545454,0.8275862068965517,0.6575342465753424,0.8275862068965517,0.3939393939393939,0.7096774193548387,0.46774193548387094,False,0.6478578892371996,0.2499576533484582
DNEWS_24H,AAPL,NEWS_PLUS_PRICE_TFIDF_LINSVM,development,42,0.47619047619047616,0.4840909090909091,-0.033709993123162106,0.4642857142857143,0.65,0.5416666666666666,0.65,0.3181818181818182,0.6666666666666666,0.47619047619047616,False,0.44545454545454544,
DNEWS_24H,AAPL,NEWS_PLUS_PRICE_TFIDF_LINSVM,later,62,0.5161290322580645,0.5751351351351351,0.18108155602762827,0.4489795918367347,0.88,0.5945945945945946,0.88,0.2702702702702703,0.7903225806451613,0.4032258064516129,False,0.5643243243243243,
DNEWS_24H,AMZN,NEWS_PLUS_PRICE_TFIDF_LINSVM,development,42,0.5238095238095238,0.5763888888888888,0.21606040536255616,0.4722222222222222,0.9444444444444444,0.6296296296296297,0.9444444444444444,0.20833333333333334,0.8571428571428571,0.42857142857142855,False,0.6643518518518519,
DNEWS_24H,AMZN,NEWS_PLUS_PRICE_TFIDF_LINSVM,later,62,0.3870967741935484,0.3991640543364681,-0.21826812205219084,0.3953488372093023,0.5862068965517241,0.4722222222222222,0.5862068965517241,0.21212121212121213,0.6935483870967742,0.46774193548387094,False,0.3824451410658307,
