stock,horizon,method,params,month,phase,decision_only,n,accuracy,ba,mcc,precision,recall,f1,up_recall,down_recall,pred_up,true_up,constant,auc,brier
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,"{""C"": 0.1}",2018-03,oof,False,21,0.38095238095238093,0.5,0.0,0.38095238095238093,1.0,0.5517241379310345,1.0,0.0,1.0,0.38095238095238093,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,"{""C"": 0.1}",2018-04,oof,False,21,0.5714285714285714,0.5,0.0,0.5714285714285714,1.0,0.7272727272727273,1.0,0.0,1.0,0.5714285714285714,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,"{""C"": 0.1}",2018-05,oof,False,22,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,1.0,0.0,1.0,0.5,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,"{""C"": 0.1}",2018-06,oof,False,21,0.38095238095238093,0.5,0.0,0.38095238095238093,1.0,0.5517241379310345,1.0,0.0,1.0,0.38095238095238093,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,"{""C"": 0.1}",2018-07,oof,False,21,0.38095238095238093,0.3557692307692308,-0.28306925853614895,0.5,0.46153846153846156,0.48,0.46153846153846156,0.25,0.5714285714285714,0.6190476190476191,False,0.3557692307692308,0.25438836248680896
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,"{""C"": 0.1}",2018-08,oof,False,23,0.7391304347826086,0.5,0.0,0.7391304347826086,1.0,0.85,1.0,0.0,1.0,0.7391304347826086,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,"{""C"": 0.1}",2018-09,development,False,19,0.47368421052631576,0.5,0.0,0.47368421052631576,1.0,0.6428571428571429,1.0,0.0,1.0,0.47368421052631576,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,"{""C"": 0.1}",2018-10,development,False,23,0.4782608695652174,0.5,0.0,0.4782608695652174,1.0,0.6470588235294118,1.0,0.0,1.0,0.4782608695652174,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,"{""C"": 0.1}",2018-11,later,False,21,0.3333333333333333,0.5,0.0,0.3333333333333333,1.0,0.5,1.0,0.0,1.0,0.3333333333333333,True,0.4642857142857143,0.2620357801178001
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,"{""C"": 0.1}",2018-12,later,False,19,0.42105263157894735,0.532051282051282,0.07308816827558576,0.3333333333333333,0.8333333333333334,0.47619047619047616,0.8333333333333334,0.23076923076923078,0.7894736842105263,0.3157894736842105,False,0.4230769230769231,0.2530451381486476
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,"{""C"": 0.1}",2019-01,later,False,21,0.3333333333333333,0.34090909090909094,-0.337099931231621,0.2857142857142857,0.18181818181818182,0.2222222222222222,0.18181818181818182,0.5,0.3333333333333333,0.5238095238095238,False,0.3363636363636363,0.2545594065233632
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,"{""C"": 0.1}",2019-02,later,False,1,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,True,,0.2462392756462185
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,"{""C"": 0.1}",2018-03,oof,False,21,0.38095238095238093,0.5,0.0,0.38095238095238093,1.0,0.5517241379310345,1.0,0.0,1.0,0.38095238095238093,True,0.5,0.25
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,"{""C"": 0.1}",2018-04,oof,False,21,0.5714285714285714,0.5,0.0,0.5714285714285714,1.0,0.7272727272727273,1.0,0.0,1.0,0.5714285714285714,True,0.5,0.25
