stock,horizon,method,month,params,train_n,train_end,evaluation_cutoff,n,accuracy,ba,mcc,precision,recall,f1,up_recall,down_recall,pred_up,true_up,constant,auc,brier
AAPL,4h,PAPER_1G_L1LR,2018-03,"{""C"": 0.01}",116,2018-02-28 20:30:00+00:00,2018-03-01 14:25:00+00:00,62,0.5161290322580645,0.5,0.0,0.5161290322580645,1.0,0.6808510638297872,1.0,0.0,1.0,0.5161290322580645,True,0.5,0.25
AAPL,4h,PAPER_1G_L1LR,2018-03,"{""C"": 0.1}",116,2018-02-28 20:30:00+00:00,2018-03-01 14:25:00+00:00,62,0.5161290322580645,0.5,0.0,0.5161290322580645,1.0,0.6808510638297872,1.0,0.0,1.0,0.5161290322580645,True,0.5,0.25003835659827045
AAPL,4h,PAPER_1G_L1LR,2018-03,"{""C"": 1.0}",116,2018-02-28 20:30:00+00:00,2018-03-01 14:25:00+00:00,62,0.3870967741935484,0.3833333333333333,-0.2393949488198693,0.42105263157894735,0.5,0.45714285714285713,0.5,0.26666666666666666,0.6129032258064516,0.5161290322580645,False,0.4234375,0.34906598535469086
AAPL,4h,PAPER_1G_L1LR,2018-04,"{""C"": 0.01}",178,2018-03-29 19:30:00+00:00,2018-04-02 13:25:00+00:00,63,0.49206349206349204,0.5,0.0,0.49206349206349204,1.0,0.6595744680851063,1.0,0.0,1.0,0.49206349206349204,True,0.453125,0.2519463030762109
AAPL,4h,PAPER_1G_L1LR,2018-04,"{""C"": 0.1}",178,2018-03-29 19:30:00+00:00,2018-04-02 13:25:00+00:00,63,0.5079365079365079,0.5126008064516129,0.031133467586669867,0.5,0.8064516129032258,0.6172839506172839,0.8064516129032258,0.21875,0.7936507936507936,0.49206349206349204,False,0.4415322580645161,0.2587962167539307
AAPL,4h,PAPER_1G_L1LR,2018-04,"{""C"": 1.0}",178,2018-03-29 19:30:00+00:00,2018-04-02 13:25:00+00:00,63,0.47619047619047616,0.4778225806451613,-0.04532471038866811,0.47368421052631576,0.5806451612903226,0.5217391304347826,0.5806451612903226,0.375,0.6031746031746031,0.49206349206349204,False,0.4904233870967742,0.32802675316787916
AAPL,4h,PAPER_1G_L1LR,2018-05,"{""C"": 0.01}",241,2018-04-30 19:30:00+00:00,2018-05-01 13:25:00+00:00,66,0.5606060606060606,0.5,0.0,0.5606060606060606,1.0,0.7184466019417476,1.0,0.0,1.0,0.5606060606060606,True,0.5,0.25
AAPL,4h,PAPER_1G_L1LR,2018-05,"{""C"": 0.1}",241,2018-04-30 19:30:00+00:00,2018-05-01 13:25:00+00:00,66,0.48484848484848486,0.44734389561975774,-0.1314222721929291,0.5283018867924528,0.7567567567567568,0.6222222222222222,0.7567567567567568,0.13793103448275862,0.803030303030303,0.5606060606060606,False,0.47250698974836913,0.25334300857835107
AAPL,4h,PAPER_1G_L1LR,2018-05,"{""C"": 1.0}",241,2018-04-30 19:30:00+00:00,2018-05-01 13:25:00+00:00,66,0.5303030303030303,0.5027958993476235,0.006231527532127217,0.5625,0.7297297297297297,0.6352941176470588,0.7297297297297297,0.27586206896551724,0.7272727272727273,0.5606060606060606,False,0.5135135135135136,0.31507143783286545
AAPL,4h,PAPER_1G_L1LR,2018-06,"{""C"": 0.01}",307,2018-05-31 19:30:00+00:00,2018-06-01 13:25:00+00:00,63,0.5714285714285714,0.5,0.0,0.5714285714285714,1.0,0.7272727272727273,1.0,0.0,1.0,0.5714285714285714,True,0.5,0.25
