stock,horizon,method,month,phase,params,issued,n,accuracy,ba,mcc,precision,recall,f1,up_recall,down_recall,pred_up,true_up,constant,auc,brier
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-03,oof,"{""C"": 0.1}",True,21,0.38095238095238093,0.5,0.0,0.38095238095238093,1.0,0.5517241379310345,1.0,0.0,1.0,0.38095238095238093,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-04,oof,"{""C"": 1.0}",True,21,0.23809523809523808,0.25,-0.5095246653650681,0.25,0.16666666666666666,0.2,0.16666666666666666,0.3333333333333333,0.38095238095238093,0.5714285714285714,False,0.19444444444444445,0.3907137485704255
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-05,oof,"{""C"": 0.01}",True,22,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,1.0,0.0,1.0,0.5,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-06,oof,"{""C"": 0.01}",True,21,0.38095238095238093,0.5,0.0,0.38095238095238093,1.0,0.5517241379310345,1.0,0.0,1.0,0.38095238095238093,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-07,oof,"{""C"": 0.01}",True,21,0.6190476190476191,0.5,0.0,0.6190476190476191,1.0,0.7647058823529411,1.0,0.0,1.0,0.6190476190476191,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-08,oof,"{""C"": 0.01}",True,23,0.7391304347826086,0.5,0.0,0.7391304347826086,1.0,0.85,1.0,0.0,1.0,0.7391304347826086,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-09,development,"{""C"": 0.01}",True,19,0.47368421052631576,0.5,0.0,0.47368421052631576,1.0,0.6428571428571429,1.0,0.0,1.0,0.47368421052631576,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-10,development,"{""C"": 0.01}",True,23,0.4782608695652174,0.5,0.0,0.4782608695652174,1.0,0.6470588235294118,1.0,0.0,1.0,0.4782608695652174,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-11,later,"{""C"": 0.01}",True,21,0.3333333333333333,0.5,0.0,0.3333333333333333,1.0,0.5,1.0,0.0,1.0,0.3333333333333333,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2018-12,later,"{""C"": 0.01}",True,19,0.3157894736842105,0.5,0.0,0.3157894736842105,1.0,0.48,1.0,0.0,1.0,0.3157894736842105,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2019-01,later,"{""C"": 0.01}",True,21,0.5238095238095238,0.5,0.0,0.5238095238095238,1.0,0.6875,1.0,0.0,1.0,0.5238095238095238,True,0.5,0.25
AAPL,1d:DNEWS_24H,PAPER_1G_L1LR,2019-02,later,"{""C"": 0.01}",True,1,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,True,,0.25
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-03,oof,"{""C"": 0.1}",True,21,0.38095238095238093,0.5,0.0,0.38095238095238093,1.0,0.5517241379310345,1.0,0.0,1.0,0.38095238095238093,True,0.5,0.25
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-04,oof,"{""C"": 0.01}",True,21,0.5714285714285714,0.5,0.0,0.5714285714285714,1.0,0.7272727272727273,1.0,0.0,1.0,0.5714285714285714,True,0.5,0.25
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-05,oof,"{""C"": 0.01}",True,22,0.5,0.5,0.0,0.5,1.0,0.6666666666666666,1.0,0.0,1.0,0.5,True,0.5,0.25
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-06,oof,"{""C"": 0.01}",True,21,0.38095238095238093,0.5,0.0,0.38095238095238093,1.0,0.5517241379310345,1.0,0.0,1.0,0.38095238095238093,True,0.5,0.25
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-07,oof,"{""C"": 0.01}",True,21,0.6190476190476191,0.5,0.0,0.6190476190476191,1.0,0.7647058823529411,1.0,0.0,1.0,0.6190476190476191,True,0.5,0.25
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-08,oof,"{""C"": 1.0}",True,23,0.6086956521739131,0.6274509803921569,0.22407133233117496,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.5882352941176471,0.6666666666666666,0.5217391304347826,0.7391304347826086,False,0.6470588235294119,0.27179485153115035
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-09,development,"{""C"": 1.0}",True,19,0.42105263157894735,0.4222222222222222,-0.15555555555555556,0.4,0.4444444444444444,0.42105263157894735,0.4444444444444444,0.4,0.5263157894736842,0.47368421052631576,False,0.36666666666666664,0.43403112877500033
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-10,development,"{""C"": 1.0}",True,23,0.5217391304347826,0.5265151515151515,0.054278245606577465,0.5,0.6363636363636364,0.56,0.6363636363636364,0.4166666666666667,0.6086956521739131,0.4782608695652174,False,0.5075757575757576,0.3427690416409488
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-11,later,"{""C"": 1.0}",True,21,0.42857142857142855,0.42857142857142855,-0.13483997249264842,0.2727272727272727,0.42857142857142855,0.3333333333333333,0.42857142857142855,0.42857142857142855,0.5238095238095238,0.3333333333333333,False,0.3469387755102041,0.43232352788889666
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2018-12,later,"{""C"": 1.0}",True,19,0.631578947368421,0.641025641025641,0.26257545381445874,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.6666666666666666,0.6153846153846154,0.47368421052631576,0.3157894736842105,False,0.6025641025641025,0.2689460396477768
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2019-01,later,"{""C"": 1.0}",True,21,0.47619047619047616,0.4772727272727273,-0.045454545454545456,0.5,0.45454545454545453,0.47619047619047616,0.45454545454545453,0.5,0.47619047619047616,0.5238095238095238,False,0.4636363636363636,0.3685199707167789
AAPL,1d:DNEWS_OVERNIGHT,PAPER_1G_L1LR,2019-02,later,"{""C"": 1.0}",True,1,1.0,,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,True,,0.07985316041025661
AMZN,1d:DNEWS_24H,PAPER_1G_L1LR,2018-03,oof,"{""C"": 0.1}",True,21,0.42857142857142855,0.5,0.0,0.42857142857142855,1.0,0.6,1.0,0.0,1.0,0.42857142857142855,True,0.5555555555555556,0.24932944606413993
