symbol,method,n,BA,MCC,Brier,pred_up
AAPL,W0,192,0.487012987012987,-0.02522671612121095,0.2532622416122265,0.6041666666666666
AAPL,W1_120m,192,0.5165945165945166,0.049489838961893046,0.242191580122903,0.8854166666666666
AAPL,W1_240m,192,0.5165945165945166,0.049489838961893046,0.24215418992961088,0.8854166666666666
AAPL,W2_multi,192,0.5126262626262625,0.03693641865641415,0.24165118843145894,0.8802083333333334
AAPL,W3_gated,192,0.496031746031746,-0.009991510822169678,0.2431472469399911,0.828125
AMZN,W0,192,0.6063192904656319,0.21092677786576006,0.24411943948860357,0.5364583333333334
AMZN,W1_120m,192,0.45509977827051,-0.10057432018903789,0.25908490810195267,0.265625
AMZN,W1_240m,192,0.45964523281596453,-0.08983848527667358,0.25902751059873136,0.2708333333333333
AMZN,W2_multi,192,0.45964523281596453,-0.08983848527667358,0.259012220066459,0.2708333333333333
AMZN,W3_gated,192,0.5549889135254988,0.11034544198271386,0.2509139891623234,0.4166666666666667
