phase,horizon_minutes,symbol,method,n,BA,MCC,Brier,pred_up
inner,30,AAPL,AR0,5739,0.4981839267405994,-0.009438024929446174,0.25037566470183903,0.038508450949642795
inner,30,AAPL,AR1,5739,0.49375987827991685,-0.01311899035459757,0.25126118596797953,0.34587907300923504
inner,30,AAPL,AR2,767,0.48729546135206514,-0.025443390717709864,0.2512800638749402,0.46936114732724904
inner,30,AMZN,AR0,1264,0.5,0.0,0.25064689368969434,1.0
inner,30,AMZN,AR1,1264,0.5077489073338947,0.016816246378828063,0.25238263115615767,0.694620253164557
inner,60,AAPL,AR0,5296,0.511265808297568,0.02538056782105552,0.2495327640368922,0.2685045317220544
inner,60,AAPL,AR1,5296,0.5059962804005722,0.012216322346103037,0.25019553062165756,0.400868580060423
inner,60,AAPL,AR2,705,0.5006438320885913,0.0012931709628653783,0.25811506434021203,0.5460992907801419
inner,60,AMZN,AR0,1170,0.5057429158887339,0.012139700999961806,0.2513752574719741,0.6692307692307692
inner,60,AMZN,AR1,1170,0.5007503604093304,0.0015326760472218325,0.2570022053958602,0.6136752136752137
inner,120,AAPL,AR0,4402,0.5099630516317056,0.02109075376679612,0.24991252607739517,0.3359836437982735
inner,120,AAPL,AR1,4402,0.5057167250469469,0.012516118356435535,0.24998260024833635,0.29645615629259425
inner,120,AAPL,AR2,581,0.5159786476868327,0.03220969568324295,0.2626324195132186,0.4354561101549053
inner,120,AMZN,AR0,976,0.5,0.0,0.2557641252307868,1.0
inner,120,AMZN,AR1,976,0.5014979382310865,0.013579156927383047,0.2560764158649393,0.9877049180327869
inner,240,AAPL,AR0,2582,0.5248577793224911,0.05259298580086302,0.2506094366504788,0.336560805577072
inner,240,AAPL,AR1,2582,0.5072189337035843,0.01933597245634399,0.25070110982479543,0.16731216111541442
inner,240,AAPL,AR2,333,0.5041799363057324,0.008404089722271883,0.2578440614989321,0.44144144144144143
inner,240,AMZN,AR0,543,0.5126709355328848,0.039033468820375006,0.24869779938749284,0.8802946593001841
inner,240,AMZN,AR1,543,0.5054333080095507,0.024995204006377454,0.2501479728407395,0.9502762430939227
outer,30,AAPL,AR0,3837,0.5074085303675101,0.02956955216885684,0.25025485521873053,0.06724003127443315
outer,30,AAPL,AR1,3837,0.5211841085534814,0.04433383907461876,0.25065475317978336,0.3520979932238728
outer,30,AAPL,AR2,482,0.5043880107108923,0.009120753343663652,0.25010454933831194,0.6390041493775933
outer,30,AMZN,AR0,1291,0.49720435547204356,-0.00957431973314937,0.24993573375555153,0.9062742060418281
outer,30,AMZN,AR1,1291,0.4934499289344993,-0.013346945999472783,0.25258067391444317,0.6003098373353989
outer,60,AAPL,AR0,3568,0.4934688800893492,-0.01454269537604464,0.2510278612407164,0.2757847533632287
outer,60,AAPL,AR1,3568,0.5221380343182049,0.04496967922484986,0.251395623274366,0.3999439461883408
outer,60,AAPL,AR2,443,0.4622568410749969,-0.07555567812974147,0.25711421071184193,0.5237020316027088
outer,60,AMZN,AR0,1217,0.5208614484930274,0.04398467480780037,0.2510865412838974,0.3311421528348398
outer,60,AMZN,AR1,1217,0.5107509627727856,0.021438510369484288,0.25202096602409624,0.45110928512736237
outer,120,AAPL,AR0,2946,0.5107093851352884,0.021491189031429152,0.2502142677464974,0.411744738628649
outer,120,AAPL,AR1,2946,0.527161155337824,0.05443353583443375,0.25002575817021777,0.4154786150712831
outer,120,AAPL,AR2,363,0.49419002050580996,-0.011501571713588185,0.2535879406851503,0.4738292011019284
outer,120,AMZN,AR0,1023,0.5000808500808501,0.0003809403230571874,0.24910665491918502,0.9530791788856305
outer,120,AMZN,AR1,1023,0.5160833910833911,0.05444940419552146,0.24893068834029097,0.9042033235581622
outer,240,AAPL,AR0,1735,0.5083666683834933,0.018690018059224156,0.24803469152893773,0.7527377521613833
outer,240,AAPL,AR1,1735,0.5352671954492649,0.07464903503572975,0.2481262692186156,0.7066282420749279
outer,240,AAPL,AR2,214,0.5429487179487179,0.08715147939775587,0.24328520540124546,0.6355140186915887
outer,240,AMZN,AR0,535,0.4306687727413759,-0.19769115456434058,0.25405852654835653,0.8579439252336448
outer,240,AMZN,AR1,535,0.48464868981468423,-0.05203663048084247,0.2504564399197862,0.9046728971962616
