key,symbol,cutoff_utc,horizon_minutes,n_articles,coverage,horizon_complete,used_group_count
AAPL|2018-01-03 14:30:00+00:00,AAPL,2018-01-03T14:25:00+00:00,240,0,0.0,False,0
AMZN|2018-01-03 14:30:00+00:00,AMZN,2018-01-03T14:25:00+00:00,240,0,0.0,False,0
AAPL|2018-01-03 15:30:00+00:00,AAPL,2018-01-03T15:25:00+00:00,240,0,0.0,False,0
AMZN|2018-01-03 15:30:00+00:00,AMZN,2018-01-03T15:25:00+00:00,240,0,0.0,False,0
AAPL|2018-01-03 16:30:00+00:00,AAPL,2018-01-03T16:25:00+00:00,240,0,0.0,False,0
AMZN|2018-01-03 16:30:00+00:00,AMZN,2018-01-03T16:25:00+00:00,240,0,0.0,False,0
AAPL|2018-01-04 14:30:00+00:00,AAPL,2018-01-04T14:25:00+00:00,240,0,0.0,False,0
AMZN|2018-01-04 14:30:00+00:00,AMZN,2018-01-04T14:25:00+00:00,240,0,0.0,False,0
AAPL|2018-01-04 15:30:00+00:00,AAPL,2018-01-04T15:25:00+00:00,240,0,0.0,False,0
AMZN|2018-01-04 15:30:00+00:00,AMZN,2018-01-04T15:25:00+00:00,240,0,0.0,False,0
AAPL|2018-01-04 16:30:00+00:00,AAPL,2018-01-04T16:25:00+00:00,240,0,0.0,False,0
AMZN|2018-01-04 16:30:00+00:00,AMZN,2018-01-04T16:25:00+00:00,240,0,0.0,False,0
AAPL|2018-01-05 14:30:00+00:00,AAPL,2018-01-05T14:25:00+00:00,240,0,0.0,False,0
AMZN|2018-01-05 14:30:00+00:00,AMZN,2018-01-05T14:25:00+00:00,240,0,0.0,False,0
AAPL|2018-01-05 15:30:00+00:00,AAPL,2018-01-05T15:25:00+00:00,240,0,0.0,False,0
AMZN|2018-01-05 15:30:00+00:00,AMZN,2018-01-05T15:25:00+00:00,240,0,0.0,False,0
AAPL|2018-01-05 16:30:00+00:00,AAPL,2018-01-05T16:25:00+00:00,240,0,0.0,False,0
AMZN|2018-01-05 16:30:00+00:00,AMZN,2018-01-05T16:25:00+00:00,240,0,0.0,False,0
AAPL|2018-01-08 14:30:00+00:00,AAPL,2018-01-08T14:25:00+00:00,240,0,0.0,False,0
AMZN|2018-01-08 14:30:00+00:00,AMZN,2018-01-08T14:25:00+00:00,240,0,0.0,False,0
AAPL|2018-01-08 15:30:00+00:00,AAPL,2018-01-08T15:25:00+00:00,240,0,0.0,False,0
AMZN|2018-01-08 15:30:00+00:00,AMZN,2018-01-08T15:25:00+00:00,240,0,0.0,False,0
AAPL|2018-01-08 16:30:00+00:00,AAPL,2018-01-08T16:25:00+00:00,240,0,0.0,False,0
AMZN|2018-01-08 16:30:00+00:00,AMZN,2018-01-08T16:25:00+00:00,240,0,0.0,False,0
AAPL|2018-01-09 14:30:00+00:00,AAPL,2018-01-09T14:25:00+00:00,240,0,0.0,False,0
AMZN|2018-01-09 14:30:00+00:00,AMZN,2018-01-09T14:25:00+00:00,240,0,0.0,False,0
AAPL|2018-01-09 15:30:00+00:00,AAPL,2018-01-09T15:25:00+00:00,240,0,0.0,False,0
