phase,horizon_minutes,symbol,method,month,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant,valid_rows,context_complete_rate
inner,30,AAPL,AR0,2018-03,1611,0.5192363461354542,0.039193572239650615,0.24940588013205453,0.5159113836965006,0.42327365728900257,0.6151990349819059,0.40347610180012417,False,1611,0.8218497827436375
inner,30,AAPL,AR0,2018-04,1705,0.4629330572808834,-0.07589733960460186,0.25387428066537493,0.4288391994478951,0.35031055900621116,0.5755555555555556,0.3894428152492669,False,1705,0.7964809384164223
inner,30,AAPL,AR0,2018-05,2423,0.5159817585570814,0.03300027015546313,0.2503699567140716,0.5129555236728838,0.38823529411764707,0.6437282229965157,0.37309120924473793,False,2423,0.8122162608336773
inner,30,AAPL,AR1,2018-03,1611,0.5215170035077543,0.04360973793145801,0.2496919751847109,0.5194083402490908,0.4398976982097187,0.6031363088057901,0.41775294847920547,False,1611,0.8218497827436375
inner,30,AAPL,AR1,2018-04,1705,0.4704140786749482,-0.06134464179916424,0.25081533574593223,0.4230779848171152,0.3341614906832298,0.6066666666666667,0.3653958944281525,False,1705,0.7964809384164223
inner,30,AAPL,AR1,2018-05,2423,0.503212406913985,0.00673324311562868,0.2501415761243499,0.4983282093325135,0.35137254901960785,0.6550522648083623,0.3483285183656624,False,2423,0.8122162608336773
inner,30,AMZN,AR0,2018-03,388,0.504095744680851,0.00894217875910678,0.25146276269521517,0.5350531914893617,0.705,0.30319148936170215,0.7010309278350515,False,388,0.8273195876288659
inner,30,AMZN,AR0,2018-04,388,0.5690149141832008,0.14909091774290703,0.2458065092426958,0.5741826652743192,0.768361581920904,0.3696682464454976,0.6932989690721649,False,388,0.7912371134020618
inner,30,AMZN,AR0,2018-05,488,0.5188714153561518,0.05200837167487681,0.2514321134022739,0.5128584643848288,0.8638297872340426,0.17391304347826086,0.8442622950819673,False,488,0.8483606557377049
inner,30,AMZN,AR1,2018-03,388,0.5204787234042554,0.047602656066261996,0.24984154268723194,0.5375,0.775,0.26595744680851063,0.7551546391752577,False,388,0.8273195876288659
inner,30,AMZN,AR1,2018-04,388,0.560995528422631,0.13146127333329813,0.24813579365553726,0.5513695879187083,0.7570621468926554,0.36492890995260663,0.6907216494845361,False,388,0.7912371134020618
inner,30,AMZN,AR1,2018-05,488,0.5205449499621563,0.055180999316497045,0.2498272380869621,0.5387435875872508,0.8553191489361702,0.1857707509881423,0.8340163934426229,False,488,0.8483606557377049
inner,60,AAPL,AR0,2018-03,1483,0.4687745740498034,-0.06246449788589428,0.25393628407342156,0.4907437745740498,0.45,0.4875491480996068,0.48213081591368845,False,1483,0.8064733648010789
inner,60,AAPL,AR0,2018-04,1556,0.4616360967463909,-0.07611808558721642,0.2533409553583887,0.47733853156647277,0.43005952380952384,0.49321266968325794,0.4736503856041131,False,1556,0.7769922879177378
inner,60,AAPL,AR0,2018-05,2257,0.5120333015995702,0.02492638029942821,0.24938995844880382,0.5237398396973667,0.38176895306859204,0.6422976501305483,0.3695170580416482,False,2257,0.7984049623393886
inner,60,AAPL,AR1,2018-03,1483,0.4976272389689821,-0.004828503180745513,0.2499197734704637,0.506726008446192,0.4041666666666667,0.5910878112712975,0.406608226567768,False,1483,0.8064733648010789
inner,60,AAPL,AR1,2018-04,1556,0.5029627235509588,0.006094206764703506,0.2500027429269819,0.4749144850247792,0.36904761904761907,0.6368778280542986,0.36568123393316193,False,1556,0.7769922879177378
inner,60,AAPL,AR1,2018-05,2257,0.504846861028111,0.010957796053586539,0.24967750271717834,0.5141875056947967,0.27166064981949456,0.7380330722367275,0.2667257421355782,False,2257,0.7984049623393886
inner,60,AMZN,AR0,2018-03,362,0.533382177855115,0.07940641238502598,0.24841118068590315,0.5640931709252984,0.8044692737430168,0.26229508196721313,0.7707182320441989,False,362,0.8149171270718232
inner,60,AMZN,AR0,2018-04,362,0.5705185659411012,0.14283854528961895,0.25359146389504633,0.5940460947503201,0.7183098591549296,0.42272727272727273,0.6325966850828729,False,362,0.7762430939226519
inner,60,AMZN,AR0,2018-05,446,0.4739200064870563,-0.05196860059692683,0.2591640557522011,0.4437146506112023,0.458128078817734,0.4897119341563786,0.48654708520179374,False,446,0.8340807174887892
inner,60,AMZN,AR1,2018-03,362,0.5070977195713893,0.02289113506513602,0.24965001985743043,0.5388466587294318,0.8994413407821229,0.11475409836065574,0.8922651933701657,False,362,0.8149171270718232
inner,60,AMZN,AR1,2018-04,362,0.5391485275288093,0.083334998231629,0.2504449828872441,0.5553777208706786,0.7464788732394366,0.33181818181818185,0.6988950276243094,False,362,0.7762430939226519
inner,60,AMZN,AR1,2018-05,446,0.4505361957469237,-0.09896874619485407,0.2518199148516977,0.4251657240162987,0.39901477832512317,0.5020576131687243,0.452914798206278,False,446,0.8340807174887892
inner,120,AAPL,AR0,2018-03,1218,0.5188561346761743,0.0376020656828289,0.2512843212124512,0.5261747817066497,0.5519125683060109,0.4857997010463378,0.5311986863711001,False,1218,0.764367816091954
inner,120,AAPL,AR0,2018-04,1280,0.47557064704772684,-0.050087173640414304,0.25369734895951446,0.48735094669327533,0.34587813620071683,0.6052631578947368,0.3734375,False,1280,0.72890625
inner,120,AAPL,AR0,2018-05,1904,0.5476862201555933,0.10505107250087464,0.2501294676423629,0.5523037199320396,0.3264150943396226,0.768957345971564,0.28413865546218486,False,1904,0.7610294117647058
inner,120,AAPL,AR1,2018-03,1218,0.5481429749973454,0.09587452229052544,0.24824336061603727,0.5571919048358069,0.5701275045537341,0.5261584454409567,0.5172413793103449,False,1218,0.764367816091954
inner,120,AAPL,AR1,2018-04,1280,0.47471678630645664,-0.05241191393045022,0.25261372334137305,0.4687769934173294,0.32616487455197135,0.6232686980609419,0.3546875,False,1280,0.72890625
inner,120,AAPL,AR1,2018-05,1904,0.5319771081105249,0.07096875044417077,0.25088307672679255,0.530194268085487,0.30566037735849055,0.7582938388625592,0.2773109243697479,False,1904,0.7610294117647058
inner,120,AMZN,AR0,2018-03,298,0.4858757062146893,-0.10800832820950242,0.24352651577047651,0.4943736284260167,0.9717514124293786,0.0,0.9832214765100671,False,298,0.7751677852348994
inner,120,AMZN,AR0,2018-04,304,0.5320855614973262,0.1603508715967266,0.2709766984475012,0.5396955985191279,1.0,0.06417112299465241,0.9605263157894737,False,304,0.7335526315789473
inner,120,AMZN,AR0,2018-05,374,0.49084734054800827,-0.07943630272924242,0.2581430298835711,0.5124338015196868,0.9767441860465116,0.0049504950495049506,0.9866310160427807,False,374,0.8021390374331551
inner,120,AMZN,AR1,2018-03,298,0.4915254237288136,-0.08337880594067013,0.23849967740319356,0.5696876313209134,0.9830508474576272,0.0,0.9899328859060402,False,298,0.7751677852348994
inner,120,AMZN,AR1,2018-04,304,0.4877279583161936,-0.06394850542489314,0.2758373561872877,0.4572421043009279,0.9487179487179487,0.026737967914438502,0.9638157894736842,False,304,0.7335526315789473
inner,120,AMZN,AR1,2018-05,374,0.5057851715404098,0.01724077269896146,0.2584866171977134,0.4544957402717016,0.877906976744186,0.13366336633663367,0.8716577540106952,False,374,0.8021390374331551
