phase,horizon_minutes,symbol,method,month,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant,valid_rows,context_complete_rate
inner,30,AAPL,AR0,2018-03,1611,0.5266883960276301,0.05633374632659927,0.2491428312832769,0.5205467407501103,0.3670076726342711,0.6863691194209891,0.33954065797641214,False,1611,0.8218497827436375
inner,30,AAPL,AR0,2018-04,1705,0.47008626639061424,-0.062241242815921624,0.25353491119200827,0.4306059351276743,0.3279503105590062,0.6122222222222222,0.35953079178885633,False,1705,0.7964809384164223
inner,30,AAPL,AR0,2018-05,2423,0.5038665710186514,0.008086752167350516,0.2505877573745966,0.5096071599371457,0.3552941176470588,0.6524390243902439,0.35163021048287246,False,2423,0.8122162608336773
inner,30,AAPL,AR1,2018-03,1611,0.5166163281801943,0.03468169975861396,0.2502695525433472,0.534889353024474,0.3734015345268542,0.6598311218335344,0.35630043451272503,False,1611,0.8218497827436375
inner,30,AAPL,AR1,2018-04,1705,0.4804520358868185,-0.04007011701054779,0.25755765935040553,0.461296066252588,0.36645962732919257,0.5944444444444444,0.3870967741935484,False,1705,0.7964809384164223
inner,30,AAPL,AR1,2018-05,2423,0.5069061283049805,0.013794399628184581,0.25424762816955904,0.49607979777276756,0.5129411764705882,0.5008710801393729,0.5063970284770946,False,2423,0.8122162608336773
inner,30,AMZN,AR0,2018-03,388,0.5157978723404255,0.03598494828799178,0.25141291040308594,0.5421010638297872,0.755,0.2765957446808511,0.7396907216494846,False,388,0.8273195876288659
inner,30,AMZN,AR0,2018-04,388,0.5494149463142957,0.11617622581029335,0.24705811798124386,0.5673815835274586,0.8192090395480226,0.2796208530805687,0.7654639175257731,False,388,0.7912371134020618
inner,30,AMZN,AR0,2018-05,488,0.5076192078042217,0.022863007649502807,0.2521827246758906,0.5088554368850391,0.8808510638297873,0.13438735177865613,0.8729508196721312,False,488,0.8483606557377049
inner,30,AMZN,AR1,2018-03,388,0.48127659574468085,-0.04039805131443823,0.26863614066996816,0.4851329787234043,0.67,0.2925531914893617,0.6881443298969072,False,388,0.8273195876288659
inner,30,AMZN,AR1,2018-04,388,0.5362144215064129,0.0741732526150115,0.25662679494285706,0.5225854821003026,0.655367231638418,0.41706161137440756,0.615979381443299,False,388,0.7912371134020618
inner,30,AMZN,AR1,2018-05,488,0.5441342191573459,0.09184721745423081,0.2521877621299032,0.5513581700445715,0.6851063829787234,0.4031620553359684,0.639344262295082,False,488,0.8483606557377049
inner,60,AAPL,AR0,2018-03,1483,0.49999453910004366,-1.099225804083112e-05,0.2539480958261982,0.491730377166157,0.44166666666666665,0.5583224115334207,0.4416722859069454,False,1483,0.8064733648010789
inner,60,AAPL,AR0,2018-04,1556,0.4775035014005602,-0.04478764242000084,0.25312110813719674,0.4769210568842921,0.4255952380952381,0.5294117647058824,0.45115681233933164,False,1556,0.7769922879177378
inner,60,AAPL,AR0,2018-05,2257,0.5033795672268775,0.00731961204365177,0.2489475088728014,0.5294432766838532,0.31137184115523464,0.6953872932985204,0.3079308817013735,False,2257,0.7984049623393886
