symbol,month,unique_groups,dates,valid_30m,valid_60m,valid_120m,valid_240m
AAPL,2018-01,4927,21,1381,1286,1102,612
AAPL,2018-02,4111,19,1220,1138,939,561
AAPL,2018-03,5223,21,1611,1483,1218,688
AAPL,2018-04,5539,20,1705,1556,1280,782
AAPL,2018-05,8258,22,2423,2257,1904,1112
AAPL,2018-06,4996,21,1498,1404,1190,731
AAPL,2018-07,3428,21,969,905,764,438
AAPL,2018-08,4279,23,1370,1259,992,566
AMZN,2018-01,1520,21,445,417,363,165
AMZN,2018-02,1134,19,343,333,273,167
AMZN,2018-03,1316,21,388,362,298,160
AMZN,2018-04,1205,20,388,362,304,186
AMZN,2018-05,1697,22,488,446,374,197
AMZN,2018-06,1364,21,461,440,377,201
AMZN,2018-07,1185,21,381,360,313,164
AMZN,2018-08,1300,23,449,417,333,170
