symbol,definition,horizon_min,period,raw_article_count,unique_group_count,valid_timestamp_count,complete_reaction_count,crossing_session_count,positive_count,negative_count,zero_count,sign_balance,median_abs_return,duplicate_concentration,unique_publication_dates,source_count,month_count
AAPL,SAME_SESSION,30,jan_aug,2994,2994,2994,2994,0,1685,1303,6,0.5627922511690047,0.0025670373702266457,1.0,178,219,8
AAPL,SAME_SESSION,30,sep_onward,1717,1717,1717,1717,0,966,747,4,0.5626092020966803,0.003938919631184709,1.0,116,195,6
AAPL,SAME_SESSION,60,jan_aug,2994,2994,2994,2994,0,1711,1257,26,0.5714762859051437,0.003498211452742438,1.0,178,219,8
AAPL,SAME_SESSION,60,sep_onward,1717,1717,1717,1717,0,865,848,4,0.5037856726849156,0.005794153906141019,1.0,116,195,6
AAPL,SAME_SESSION,120,jan_aug,2994,2994,2994,2994,0,1686,1294,14,0.56312625250501,0.003802195251841359,1.0,178,219,8
AAPL,SAME_SESSION,120,sep_onward,1717,1717,1717,1717,0,895,822,0,0.5212580081537566,0.006749679843676977,1.0,116,195,6
AAPL,SAME_SESSION,240,jan_aug,2994,2994,2994,2994,0,1820,1169,5,0.6078824315297261,0.005003415684005983,1.0,178,219,8
AAPL,SAME_SESSION,240,sep_onward,1717,1717,1717,1717,0,879,826,12,0.5119394292370414,0.008482743436456093,1.0,116,195,6
AAPL,TRADING_TIME,30,jan_aug,2994,2994,2994,2994,0,1685,1303,6,0.5627922511690047,0.0025670373702266457,1.0,178,219,8
AAPL,TRADING_TIME,30,sep_onward,1717,1717,1717,1717,0,966,747,4,0.5626092020966803,0.003938919631184709,1.0,116,195,6
AAPL,TRADING_TIME,60,jan_aug,2994,2994,2994,2994,0,1711,1257,26,0.5714762859051437,0.003498211452742438,1.0,178,219,8
AAPL,TRADING_TIME,60,sep_onward,1717,1717,1717,1717,0,865,848,4,0.5037856726849156,0.005794153906141019,1.0,116,195,6
AAPL,TRADING_TIME,120,jan_aug,2994,2994,2994,2994,0,1686,1294,14,0.56312625250501,0.003802195251841359,1.0,178,219,8
AAPL,TRADING_TIME,120,sep_onward,1717,1717,1717,1717,0,895,822,0,0.5212580081537566,0.006749679843676977,1.0,116,195,6
AAPL,TRADING_TIME,240,jan_aug,2994,2994,2994,2994,0,1820,1169,5,0.6078824315297261,0.005003415684005983,1.0,178,219,8
AAPL,TRADING_TIME,240,sep_onward,1717,1717,1717,1717,0,879,826,12,0.5119394292370414,0.008482743436456093,1.0,116,195,6
AMZN,SAME_SESSION,30,jan_aug,145,145,145,145,0,71,74,0,0.4896551724137931,0.0031542410020759127,1.0,87,37,8
AMZN,SAME_SESSION,30,sep_onward,74,74,74,74,0,29,45,0,0.3918918918918919,0.005930510345334786,1.0,43,22,5
AMZN,SAME_SESSION,60,jan_aug,145,145,145,145,0,73,72,0,0.503448275862069,0.003336598585836895,1.0,87,37,8
AMZN,SAME_SESSION,60,sep_onward,74,74,74,74,0,37,37,0,0.5,0.007797404572567176,1.0,43,22,5
AMZN,SAME_SESSION,120,jan_aug,145,145,145,145,0,79,66,0,0.5448275862068965,0.003934810273195352,1.0,87,37,8
AMZN,SAME_SESSION,120,sep_onward,74,74,74,74,0,41,33,0,0.5540540540540541,0.008708041603528723,1.0,43,22,5
AMZN,SAME_SESSION,240,jan_aug,145,145,145,145,0,84,61,0,0.5793103448275863,0.006043380331765194,1.0,87,37,8
AMZN,SAME_SESSION,240,sep_onward,74,74,74,74,0,32,42,0,0.43243243243243246,0.009123239565848405,1.0,43,22,5
AMZN,TRADING_TIME,30,jan_aug,145,145,145,145,0,71,74,0,0.4896551724137931,0.0031542410020759127,1.0,87,37,8
AMZN,TRADING_TIME,30,sep_onward,74,74,74,74,0,29,45,0,0.3918918918918919,0.005930510345334786,1.0,43,22,5
AMZN,TRADING_TIME,60,jan_aug,145,145,145,145,0,73,72,0,0.503448275862069,0.003336598585836895,1.0,87,37,8
AMZN,TRADING_TIME,60,sep_onward,74,74,74,74,0,37,37,0,0.5,0.007797404572567176,1.0,43,22,5
AMZN,TRADING_TIME,120,jan_aug,145,145,145,145,0,79,66,0,0.5448275862068965,0.003934810273195352,1.0,87,37,8
AMZN,TRADING_TIME,120,sep_onward,74,74,74,74,0,41,33,0,0.5540540540540541,0.008708041603528723,1.0,43,22,5
AMZN,TRADING_TIME,240,jan_aug,145,145,145,145,0,84,61,0,0.5793103448275863,0.006043380331765194,1.0,87,37,8
AMZN,TRADING_TIME,240,sep_onward,74,74,74,74,0,32,42,0,0.43243243243243246,0.009123239565848405,1.0,43,22,5
