symbol,month,official,windows,days,mean_day_weight,min_cutoff,max_end
AAPL,2018-01,0,67,21,0.16666666666666666,2018-01-02 14:25:00+00:00,2018-01-31 21:00:00+00:00
AAPL,2018-01,1,59,20,0.16666666666666666,2018-01-03 14:25:00+00:00,2018-01-31 20:30:00+00:00
AAPL,2018-02,0,57,19,0.16666666666666666,2018-02-01 14:55:00+00:00,2018-02-28 21:00:00+00:00
AAPL,2018-02,1,57,19,0.16666666666666666,2018-02-01 14:25:00+00:00,2018-02-28 20:30:00+00:00
AAPL,2018-03,0,62,21,0.1693548387096774,2018-03-01 14:55:00+00:00,2018-03-29 20:00:00+00:00
AAPL,2018-03,1,62,21,0.1693548387096774,2018-03-01 14:25:00+00:00,2018-03-29 19:30:00+00:00
AAPL,2018-04,0,63,21,0.16666666666666666,2018-04-02 13:55:00+00:00,2018-04-30 20:00:00+00:00
AAPL,2018-04,1,63,21,0.16666666666666666,2018-04-02 13:25:00+00:00,2018-04-30 19:30:00+00:00
AAPL,2018-05,0,66,22,0.16666666666666666,2018-05-01 13:55:00+00:00,2018-05-31 20:00:00+00:00
AAPL,2018-05,1,66,22,0.16666666666666666,2018-05-01 13:25:00+00:00,2018-05-31 19:30:00+00:00
AAPL,2018-06,0,63,21,0.16666666666666666,2018-06-01 13:55:00+00:00,2018-06-29 20:00:00+00:00
AAPL,2018-06,1,63,21,0.16666666666666666,2018-06-01 13:25:00+00:00,2018-06-29 19:30:00+00:00
AAPL,2018-07,0,60,20,0.16666666666666666,2018-07-02 13:55:00+00:00,2018-07-31 20:00:00+00:00
AAPL,2018-07,1,60,20,0.16666666666666666,2018-07-02 13:25:00+00:00,2018-07-31 19:30:00+00:00
AAPL,2018-08,0,69,23,0.16666666666666666,2018-08-01 13:55:00+00:00,2018-08-31 20:00:00+00:00
AAPL,2018-08,1,69,23,0.16666666666666666,2018-08-01 13:25:00+00:00,2018-08-31 19:30:00+00:00
AMZN,2018-01,0,66,21,0.16666666666666666,2018-01-02 14:25:00+00:00,2018-01-31 21:00:00+00:00
AMZN,2018-01,1,60,20,0.16666666666666666,2018-01-03 14:25:00+00:00,2018-01-31 20:30:00+00:00
AMZN,2018-02,0,57,19,0.16666666666666666,2018-02-01 14:55:00+00:00,2018-02-28 21:00:00+00:00
AMZN,2018-02,1,57,19,0.16666666666666666,2018-02-01 14:25:00+00:00,2018-02-28 20:30:00+00:00
AMZN,2018-03,0,62,21,0.1693548387096774,2018-03-01 14:55:00+00:00,2018-03-29 20:00:00+00:00
AMZN,2018-03,1,62,21,0.1693548387096774,2018-03-01 14:25:00+00:00,2018-03-29 19:30:00+00:00
AMZN,2018-04,0,63,21,0.16666666666666666,2018-04-02 13:55:00+00:00,2018-04-30 20:00:00+00:00
AMZN,2018-04,1,63,21,0.16666666666666666,2018-04-02 13:25:00+00:00,2018-04-30 19:30:00+00:00
AMZN,2018-05,0,67,22,0.16666666666666666,2018-05-01 13:55:00+00:00,2018-05-31 20:00:00+00:00
AMZN,2018-05,1,65,22,0.16666666666666666,2018-05-01 13:25:00+00:00,2018-05-31 19:30:00+00:00
AMZN,2018-06,0,63,21,0.16666666666666666,2018-06-01 13:55:00+00:00,2018-06-29 20:00:00+00:00
AMZN,2018-06,1,63,21,0.16666666666666666,2018-06-01 13:25:00+00:00,2018-06-29 19:30:00+00:00
AMZN,2018-07,0,60,20,0.16666666666666666,2018-07-02 13:55:00+00:00,2018-07-31 20:00:00+00:00
AMZN,2018-07,1,60,20,0.16666666666666666,2018-07-02 13:25:00+00:00,2018-07-31 19:30:00+00:00
AMZN,2018-08,0,69,23,0.16666666666666666,2018-08-01 13:55:00+00:00,2018-08-31 20:00:00+00:00
AMZN,2018-08,1,69,23,0.16666666666666666,2018-08-01 13:25:00+00:00,2018-08-31 19:30:00+00:00
