method,variant,half_life,symbol,month,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
R1,equal,infinity,AAPL,2018-06,63,0.4907407407407407,-0.018731716231633878,0.2663216143320161,0.4403292181069959,0.3888888888888889,0.5925925925925926,0.3968253968253968,False
R1,recency,20,AAPL,2018-06,63,0.4212962962962963,-0.16734358657860854,0.27181046616165433,0.46193415637860086,0.25,0.5925925925925926,0.31746031746031744,False
F1,equal,infinity,AAPL,2018-06,63,0.41666666666666663,-0.16666666666666666,0.25851391983542843,0.4578189300411522,0.5,0.3333333333333333,0.5714285714285714,False
F1,recency,80,AAPL,2018-06,63,0.45833333333333337,-0.08492077756084468,0.2543988882033093,0.478395061728395,0.5833333333333334,0.3333333333333333,0.6190476190476191,False
F2,equal,infinity,AAPL,2018-06,63,0.3935185185185185,-0.21080522784319533,0.2706153606868883,0.3425925925925926,0.4166666666666667,0.37037037037037035,0.5079365079365079,False
F2,recency,20,AAPL,2018-06,63,0.5324074074074074,0.07715167498104596,0.2581832574047733,0.3816872427983539,0.25,0.8148148148148148,0.2222222222222222,False
R1,equal,infinity,AMZN,2018-06,63,0.6048913043478261,0.22006970263318495,0.23611675461342904,0.6065217391304348,0.775,0.43478260869565216,0.6984126984126984,False
R1,recency,20,AMZN,2018-06,63,0.4548913043478261,-0.08688170650756233,0.2472027223617842,0.5097826086956523,0.475,0.43478260869565216,0.5079365079365079,False
F1,equal,infinity,AMZN,2018-06,63,0.5793478260869566,0.152828062049447,0.26511491380913593,0.5630434782608695,0.55,0.6086956521739131,0.49206349206349204,False
F1,recency,80,AMZN,2018-06,63,0.5293478260869565,0.05710402407201607,0.26369322166058806,0.5554347826086956,0.45,0.6086956521739131,0.42857142857142855,False
F2,equal,infinity,AMZN,2018-06,63,0.4989130434782609,-0.002195496824144787,0.24424332010338076,0.5760869565217391,0.65,0.34782608695652173,0.6507936507936508,False
F2,recency,20,AMZN,2018-06,63,0.42391304347826086,-0.14744195615489714,0.2527018781506165,0.4391304347826087,0.5,0.34782608695652173,0.5555555555555556,False
R1,equal,infinity,AAPL,2018-07,60,0.586080586080586,0.17216117216117216,0.2444661398323707,0.645909645909646,0.41025641025641024,0.7619047619047619,0.35,False
R1,recency,20,AAPL,2018-07,60,0.6172161172161172,0.22413272587221034,0.24429256562848872,0.6190476190476191,0.6153846153846154,0.6190476190476191,0.5333333333333333,False
F1,equal,infinity,AAPL,2018-07,60,0.554945054945055,0.10482848367219183,0.24052626453701736,0.6581196581196581,0.5384615384615384,0.5714285714285714,0.5,False
F1,recency,80,AAPL,2018-07,60,0.6172161172161172,0.22413272587221034,0.2415896138962592,0.6654456654456655,0.6153846153846154,0.6190476190476191,0.5333333333333333,False
F2,equal,infinity,AAPL,2018-07,60,0.47985347985347987,-0.03863074974250641,0.27387296217055795,0.46153846153846156,0.4358974358974359,0.5238095238095238,0.45,False
F2,recency,20,AAPL,2018-07,60,0.6245421245421245,0.24251094575618398,0.24600910361866038,0.6434676434676434,0.48717948717948717,0.7619047619047619,0.4,False
R1,equal,infinity,AMZN,2018-07,60,0.5833333333333334,0.19245008972987526,0.24284511675294512,0.6111111111111112,0.8333333333333334,0.3333333333333333,0.75,False
