phase,symbol,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AAPL,R1_equal,126,0.5621196754563895,0.14894830773554277,0.24411096100759516,0.6435091277890466,0.8448275862068966,0.27941176470588236,0.7777777777777778,False
development,AAPL,R1_recency,126,0.5025354969574036,0.0050652179279637366,0.26353820819585383,0.5418356997971603,0.5344827586206896,0.47058823529411764,0.5317460317460317,False
development,AAPL,F1_equal,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.5755578093306288,0.8793103448275862,0.27941176470588236,0.7936507936507936,False
development,AAPL,F1_recency,126,0.532707910750507,0.08303200901423632,0.24987312757883437,0.565922920892495,0.8448275862068966,0.22058823529411764,0.8095238095238095,False
development,AAPL,F2_equal,126,0.5413286004056794,0.10665141370746663,0.28029547508334307,0.6196754563894524,0.8620689655172413,0.22058823529411764,0.8174603174603174,False
development,AAPL,F2_recency,126,0.5116632860040567,0.026710404085643628,0.3187363653000244,0.5593306288032454,0.7586206896551724,0.2647058823529412,0.746031746031746,False
development,AMZN,R1_equal,126,0.5111317254174397,0.02234950781338371,0.2718877788099645,0.5552610654651471,0.6326530612244898,0.38961038961038963,0.6190476190476191,False
development,AMZN,R1_recency,126,0.5630797773654916,0.12492403934397736,0.24818864038473995,0.5555261065465147,0.4897959183673469,0.6363636363636364,0.4126984126984127,False
development,AMZN,F1_equal,126,0.5565862708719851,0.11175966918302659,0.24813226696952742,0.5804399681950703,0.4897959183673469,0.6233766233766234,0.42063492063492064,False
development,AMZN,F1_recency,126,0.5148423005565863,0.03035577713198844,0.2420132577971516,0.578584680625497,0.3673469387755102,0.6623376623376623,0.3492063492063492,False
development,AMZN,F2_equal,126,0.46289424860853434,-0.0728067416339465,0.297652395394459,0.5030479724357275,0.5102040816326531,0.4155844155844156,0.5555555555555556,False
development,AMZN,F2_recency,126,0.45269016697588127,-0.09397429877987296,0.3092462404343516,0.45958123509143917,0.3469387755102041,0.5584415584415584,0.40476190476190477,False
later,AAPL,R1_equal,178,0.5386510041682455,0.08597676748504192,0.25577476582147957,0.5301250473664266,0.7586206896551724,0.31868131868131866,0.7191011235955056,False
later,AAPL,R1_recency,178,0.5048629531388151,0.00974562180533126,0.2812546160840404,0.5301250473664266,0.47126436781609193,0.5384615384615384,0.46629213483146065,False
later,AAPL,F1_equal,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.5385878489326765,0.7931034482758621,0.24175824175824176,0.7752808988764045,False
later,AAPL,F1_recency,178,0.5289250978906151,0.0705714985225796,0.2543798720007941,0.5294934950107364,0.8160919540229885,0.24175824175824176,0.7865168539325843,False
later,AAPL,F2_equal,178,0.5671340154098775,0.15225387872362858,0.28557810785631715,0.5495768599216875,0.8045977011494253,0.32967032967032966,0.7359550561797753,False
later,AAPL,F2_recency,178,0.5461664772009599,0.11612748314339492,0.3240463407690313,0.5454086143741317,0.8505747126436781,0.24175824175824176,0.8033707865168539,False
later,AMZN,R1_equal,179,0.5085106382978724,0.017418199070209483,0.27222912692367146,0.5200250312891115,0.6170212765957447,0.4,0.6089385474860335,False
later,AMZN,R1_recency,179,0.4618272841051314,-0.0822261348477157,0.2805966557221337,0.4939924906132666,0.2765957446808511,0.6470588235294118,0.3128491620111732,False
later,AMZN,F1_equal,179,0.5435544430538173,0.08716344852207177,0.2583062367774877,0.5408010012515645,0.5106382978723404,0.5764705882352941,0.4692737430167598,False
later,AMZN,F1_recency,179,0.5239674593241552,0.04860879721119981,0.2545308946419921,0.5486858573216521,0.43617021276595747,0.611764705882353,0.4134078212290503,False
later,AMZN,F2_equal,179,0.5426783479349186,0.08692663097278021,0.26169057480580954,0.5685857321652065,0.6382978723404256,0.4470588235294118,0.5977653631284916,False
later,AMZN,F2_recency,179,0.4766583229036295,-0.048813075644176085,0.30319787905648343,0.4924906132665832,0.32978723404255317,0.6235294117647059,0.35195530726256985,False
train_forward_oof,AAPL,R1_equal,383,0.5268023223042669,0.052859072097666916,0.25766056155301725,0.5412039907558762,0.48672566371681414,0.5668789808917197,0.46475195822454307,False
train_forward_oof,AAPL,R1_recency,383,0.5263654810890028,0.05186976575819904,0.25843524595323775,0.5418522067527198,0.5176991150442478,0.535031847133758,0.4960835509138381,False
train_forward_oof,AAPL,F1_equal,383,0.503029705202638,0.006144151764253761,0.2592606648817109,0.5141198354095035,0.6238938053097345,0.3821656050955414,0.6214099216710183,False
train_forward_oof,AAPL,F1_recency,383,0.5140916521052928,0.028782518970936775,0.2565832171054667,0.5178682148695113,0.6460176991150443,0.3821656050955414,0.6344647519582245,False
train_forward_oof,AAPL,F2_equal,383,0.5001831914773689,0.0003612870332648107,0.26018906778411555,0.5182064145200383,0.5353982300884956,0.46496815286624205,0.5352480417754569,False
train_forward_oof,AAPL,F2_recency,383,0.5222789019784679,0.044694051240591226,0.2688892258383821,0.5024519474663209,0.42035398230088494,0.6242038216560509,0.402088772845953,False
train_forward_oof,AMZN,R1_equal,382,0.5217959655447615,0.04574289772518907,0.25617620131172997,0.5157828109089909,0.6748768472906403,0.3687150837988827,0.6544502617801047,False
train_forward_oof,AMZN,R1_recency,382,0.4985139114401299,-0.0029696039295047903,0.2636486379172595,0.49960095770151636,0.5221674876847291,0.4748603351955307,0.5235602094240838,False
train_forward_oof,AMZN,F1_equal,382,0.5326939483171423,0.06530258832057416,0.26055740634768043,0.5216996449899551,0.5123152709359606,0.553072625698324,0.4816753926701571,False
train_forward_oof,AMZN,F1_recency,382,0.5244929410793406,0.0491873105196989,0.26231225361903426,0.5076918843052536,0.46798029556650245,0.5810055865921788,0.44502617801047123,False
train_forward_oof,AMZN,F2_equal,382,0.4813963728431076,-0.038419557993187976,0.27485353855450334,0.4638522717890855,0.6108374384236454,0.35195530726256985,0.6282722513089005,False
train_forward_oof,AMZN,F2_recency,382,0.47157167625285523,-0.05687621639187474,0.27741801222035073,0.45870600214657237,0.5073891625615764,0.43575418994413406,0.5340314136125655,False
