phase,symbol,month,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AAPL,2018-09,R1_equal,57,0.6188423645320198,0.2831921951995806,0.23687878867299847,0.6748768472906405,0.8928571428571429,0.3448275862068966,0.7719298245614035,False
development,AAPL,2018-10,R1_equal,69,0.5153846153846154,0.03698001308168194,0.25008536424052286,0.6205128205128204,0.8,0.23076923076923078,0.782608695652174,False
development,AAPL,2018-09,R1_recency,57,0.4944581280788177,-0.011920540257484747,0.26238287214278955,0.5640394088669951,0.6785714285714286,0.3103448275862069,0.6842105263157895,False
development,AAPL,2018-10,R1_recency,69,0.4948717948717949,-0.010354219589492212,0.26449261623968967,0.5324786324786325,0.4,0.5897435897435898,0.4057971014492754,False
development,AAPL,2018-09,F1_equal,57,0.6016009852216749,0.24917762935063273,0.2461162990471983,0.583743842364532,0.8928571428571429,0.3103448275862069,0.7894736842105263,False
development,AAPL,2018-10,F1_equal,69,0.5615384615384615,0.15171348989784333,0.253162180420804,0.5632478632478632,0.8666666666666667,0.2564102564102564,0.7971014492753623,False
development,AAPL,2018-09,F1_recency,57,0.5160098522167488,0.056585956237831254,0.24605583835181832,0.5985221674876847,0.9285714285714286,0.10344827586206896,0.9122807017543859,False
development,AAPL,2018-10,F1_recency,69,0.5371794871794873,0.08252100701754847,0.2530265404185433,0.5376068376068376,0.7666666666666667,0.3076923076923077,0.7246376811594203,False
development,AAPL,2018-09,F2_equal,57,0.5843596059113301,0.21373088995176615,0.24342446352926747,0.6933497536945814,0.8928571428571429,0.27586206896551724,0.8070175438596491,False
development,AAPL,2018-10,F2_equal,69,0.5064102564102564,0.01676757576219862,0.3107541368019272,0.594017094017094,0.8333333333333334,0.1794871794871795,0.8260869565217391,False
development,AAPL,2018-09,F2_recency,57,0.49692118226600984,-0.008093624669927727,0.2898575414272336,0.6293103448275862,0.8214285714285714,0.1724137931034483,0.8245614035087719,False
development,AAPL,2018-10,F2_recency,69,0.5166666666666666,0.03545776903462708,0.3425927850210254,0.505982905982906,0.7,0.3333333333333333,0.6811594202898551,False
development,AMZN,2018-09,R1_equal,57,0.47598522167487683,-0.04977665340318334,0.26348832319443444,0.5197044334975369,0.6071428571428571,0.3448275862068966,0.631578947368421,False
development,AMZN,2018-10,R1_equal,69,0.5416666666666666,0.07856742013183861,0.2788264595358372,0.6041666666666666,0.6666666666666666,0.4166666666666667,0.6086956521739131,False
development,AMZN,2018-09,R1_recency,57,0.5794334975369457,0.15906300624662031,0.24964139275859284,0.5652709359605911,0.6071428571428571,0.5517241379310345,0.5263157894736842,False
development,AMZN,2018-10,R1_recency,69,0.5104166666666666,0.0205697379643648,0.24698854059764414,0.4900793650793651,0.3333333333333333,0.6875,0.3188405797101449,False
development,AMZN,2018-09,F1_equal,57,0.4716748768472906,-0.05817474046899912,0.2553051922206057,0.5012315270935961,0.35714285714285715,0.5862068965517241,0.38596491228070173,False
development,AMZN,2018-10,F1_equal,69,0.65625,0.2890730751633232,0.24220680697950617,0.6815476190476191,0.6666666666666666,0.6458333333333334,0.4492753623188406,False
development,AMZN,2018-09,F1_recency,57,0.47044334975369456,-0.06357621470658532,0.25289909536525373,0.5283251231527093,0.2857142857142857,0.6551724137931034,0.3157894736842105,False
development,AMZN,2018-10,F1_recency,69,0.5714285714285714,0.13564735326100572,0.23302060937132815,0.6458333333333333,0.47619047619047616,0.6666666666666666,0.37681159420289856,False
development,AMZN,2018-09,F2_equal,57,0.41995073891625617,-0.16129479177027617,0.2759682940694396,0.5073891625615763,0.35714285714285715,0.4827586206896552,0.43859649122807015,False
development,AMZN,2018-10,F2_equal,69,0.5446428571428572,0.08625819491779428,0.31556534866295327,0.5962301587301587,0.7142857142857143,0.375,0.6521739130434783,False
development,AMZN,2018-09,F2_recency,57,0.43657635467980294,-0.1302608319197154,0.3103856788224547,0.45689655172413796,0.32142857142857145,0.5517241379310345,0.38596491228070173,False
development,AMZN,2018-10,F2_recency,69,0.47172619047619047,-0.052712740442193935,0.3083049652441795,0.46924603174603174,0.38095238095238093,0.5625,0.42028985507246375,False
later,AAPL,2018-11,R1_equal,60,0.5261401557285873,0.05797747850973157,0.25403661854843856,0.5305895439377085,0.7419354838709677,0.3103448275862069,0.7166666666666667,False
later,AAPL,2018-12,R1_equal,53,0.6385448916408669,0.2949846002743204,0.25395936945559855,0.6114551083591332,0.8947368421052632,0.38235294117647056,0.7169811320754716,False
later,AAPL,2019-01,R1_equal,63,0.485966735966736,-0.030586777135731963,0.25486671639997927,0.46569646569646567,0.7027027027027027,0.2692307692307692,0.7142857142857143,False
later,AAPL,2019-02,R1_equal,2,,0.0,0.3846307444858184,,,0.0,1.0,True
later,AAPL,2018-11,R1_recency,60,0.5845383759733036,0.1693595680103625,0.267349016080009,0.5817575083426029,0.5483870967741935,0.6206896551724138,0.4666666666666667,False
later,AAPL,2018-12,R1_recency,53,0.4256965944272446,-0.14860681114551083,0.2898946000314178,0.46749226006191946,0.2631578947368421,0.5882352941176471,0.3584905660377358,False
later,AAPL,2019-01,R1_recency,63,0.46829521829521825,-0.06263309048996307,0.28634862629205865,0.46361746361746364,0.5135135135135135,0.4230769230769231,0.5396825396825397,False
later,AAPL,2019-02,R1_recency,2,,0.0,0.30900172004690485,,,0.0,1.0,True
later,AAPL,2018-11,F1_equal,60,0.5066740823136818,0.01667593364912675,0.2555355122588828,0.5350389321468298,0.8064516129032258,0.20689655172413793,0.8,False
later,AAPL,2018-12,F1_equal,53,0.5565015479876161,0.12030098223477871,0.2596946425076442,0.6130030959752322,0.7894736842105263,0.3235294117647059,0.7169811320754716,False
later,AAPL,2019-01,F1_equal,63,0.48804573804573803,-0.029085974677101674,0.25620523177629684,0.4906444906444906,0.7837837837837838,0.19230769230769232,0.7936507936507936,False
later,AAPL,2019-02,F1_equal,2,,0.0,0.4083408880370367,,,0.0,1.0,True
