column,rows_compared,finite_pairs,max_abs_diff,unequal_at_1e-12,dense_missing_only,official_missing_only
return_1,1607,1068,0.05045758474762886,1068,539,0
range_1,1607,1068,0.03535264591295105,1068,539,0
return_2,1607,532,0.045563515433449164,532,1075,0
range_2,1607,532,0.03535264591295105,532,1075,0
return_3,1607,0,,0,1607,0
range_3,1607,0,,0,1607,0
return_4,1607,0,,0,1607,0
range_4,1607,0,,0,1607,0
return_5,1607,0,,0,1607,0
range_5,1607,0,,0,1607,0
return_6,1607,0,,0,1607,0
range_6,1607,0,,0,1607,0
history_age_hours,1607,1607,90.0,1607,0,0
return_mean,1607,1068,0.04000797726133169,1068,539,0
return_std,1607,1068,0.018854681069734845,1068,539,0
ny_hour,1607,1607,0.5,1607,0,0
recent_return_5,1607,1072,0.0,0,0,533
recent_range_5,1607,1072,0.0,0,0,533
recent_rv_5,1607,1072,0.0,0,0,533
recent_missing_5,1607,1607,1.0,533,0,0
recent_return_15,1607,1070,0.0,0,0,531
recent_range_15,1607,1070,0.0,0,0,531
recent_rv_15,1607,1070,0.0,0,0,531
recent_missing_15,1607,1607,1.0,531,0,0
recent_return_30,1607,1070,0.0,0,0,527
recent_range_30,1607,1070,0.0,0,0,527
recent_rv_30,1607,1070,0.0,0,0,527
recent_missing_30,1607,1607,1.0,527,0,0
recent_return_60,1607,536,0.0,0,0,532
recent_range_60,1607,536,0.0,0,0,532
recent_rv_60,1607,536,0.0,0,0,532
recent_missing_60,1607,1607,1.0,532,0,0
overnight_gap,1607,1072,0.0,0,0,0
overnight_gap_missing,1607,1607,0.0,0,0,0
minutes_from_open,1607,1607,0.0,0,0,0
minutes_to_close,1607,1607,0.0,0,0,0
