phase,symbol,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AAPL,D0_equal,126,0.5806288032454361,0.20468355710486164,0.25298781659451103,0.6288032454361054,0.896551724137931,0.2647058823529412,0.8095238095238095,False
development,AAPL,D0_day,126,0.5720081135902637,0.17999033751682783,0.2520030800330384,0.6211967545638946,0.8793103448275862,0.2647058823529412,0.8015873015873016,False
development,AAPL,D1,126,0.5682048681541583,0.15785966359431436,0.25391248260820776,0.5851926977687627,0.8275862068965517,0.3088235294117647,0.753968253968254,False
development,AMZN,D0_equal,126,0.5269016697588126,0.058559575112761046,0.26759379111465764,0.5208057248873575,0.7551020408163265,0.2987012987012987,0.7222222222222222,False
development,AMZN,D0_day,126,0.5166975881261595,0.03603749850782236,0.26121011822875556,0.5284919162470183,0.7346938775510204,0.2987012987012987,0.7142857142857143,False
development,AMZN,D1,126,0.5398886827458256,0.08539397453940474,0.25977658639091133,0.5557911476278824,0.7551020408163265,0.3246753246753247,0.7063492063492064,False
later,AAPL,D0_equal,178,0.47145383352279907,-0.06430812059344578,0.2793423699593442,0.4998105342932929,0.7011494252873564,0.24175824175824176,0.7303370786516854,False
later,AAPL,D0_day,178,0.4597069597069597,-0.08858361754639933,0.2731959029713574,0.4950107363900468,0.6666666666666666,0.25274725274725274,0.7078651685393258,False
later,AAPL,D1,178,0.5203991410887963,0.0429699008402495,0.2682879138395355,0.49160035366931915,0.6781609195402298,0.3626373626373626,0.6573033707865169,False
later,AMZN,D0_equal,179,0.5429286608260325,0.09391339023656724,0.24656559369468892,0.5839799749687108,0.7446808510638298,0.3411764705882353,0.7039106145251397,False
later,AMZN,D0_day,179,0.5465581977471841,0.10641303002809235,0.24715740887522566,0.5678347934918648,0.7872340425531915,0.3058823529411765,0.7430167597765364,False
later,AMZN,D1,179,0.5376095118898623,0.08183690491560096,0.2528733631986158,0.5384230287859825,0.7340425531914894,0.3411764705882353,0.6983240223463687,False
train_forward_oof,AAPL,D0_equal,383,0.533538132010597,0.0660980488568545,0.24967553699948095,0.55774759032749,0.5575221238938053,0.5095541401273885,0.5300261096605744,False
train_forward_oof,AAPL,D0_day,383,0.526900963869004,0.05297382590416763,0.24669665561153745,0.55678935798433,0.5442477876106194,0.5095541401273885,0.5221932114882507,False
train_forward_oof,AAPL,D1,383,0.5343413561805986,0.06821521691977286,0.2456559519985355,0.5540273941716927,0.5973451327433629,0.4713375796178344,0.5691906005221932,False
train_forward_oof,AMZN,D0_equal,382,0.4941382062360679,-0.016077980722830617,0.2576556600815465,0.46875086000495364,0.8374384236453202,0.15083798882681565,0.8429319371727748,False
train_forward_oof,AMZN,D0_day,382,0.4910146682444891,-0.025168627808973342,0.2543264275371612,0.47026446872333977,0.8423645320197044,0.13966480446927373,0.8507853403141361,False
train_forward_oof,AMZN,D1,382,0.4959407766188733,-0.011539640000727287,0.25491436782858423,0.4865013622478466,0.8522167487684729,0.13966480446927373,0.856020942408377,False
