phase,symbol,method,n,BA,MCC,Brier,pred_up,constant
development,AAPL,R1_infinity_refit,126,0.5621196754563895,0.14894830773554277,0.24411096100759513,0.7777777777777778,False
development,AAPL,R1_recency,126,0.48504056795131845,-0.030289773269736243,0.25151226422513323,0.4126984126984127,False
development,AAPL,F1_infinity_refit,126,0.5793610547667343,0.19548759607310848,0.249974757894649,0.7936507936507936,False
development,AAPL,F1_branch_recency,126,0.48301217038539557,-0.03439686117071743,0.2528426920593568,0.5873015873015873,False
development,AAPL,F1_system_recency,126,0.4743914807302231,-0.0517110732399679,0.25450439050829726,0.5793650793650794,False
development,AAPL,F2_infinity_refit,126,0.5413286004056794,0.10665141370746663,0.2802954750833431,0.8174603174603174,False
development,AAPL,F2_branch_recency,126,0.5400608519269777,0.10013546946358733,0.3161413550666709,0.8015873015873016,False
development,AAPL,F2_system_recency,126,0.5314401622718052,0.0774455652174615,0.3178030535156114,0.7936507936507936,False
development,AMZN,R1_infinity_refit,126,0.5111317254174397,0.02234950781338371,0.2718877788099645,0.6190476190476191,False
development,AMZN,R1_recency,126,0.5630797773654916,0.12492403934397736,0.24818864038473995,0.4126984126984127,False
development,AMZN,F1_infinity_refit,126,0.5565862708719851,0.11175966918302659,0.24813226696952745,0.42063492063492064,False
development,AMZN,F1_branch_recency,126,0.5083487940630798,0.019837990021453852,0.24405285836555315,0.21428571428571427,False
development,AMZN,F1_system_recency,126,0.5027829313543599,0.00837854821553652,0.23989573195902997,0.11904761904761904,False
development,AMZN,F2_infinity_refit,126,0.46289424860853434,-0.0728067416339465,0.29765239539445904,0.5555555555555556,False
development,AMZN,F2_branch_recency,126,0.47773654916512054,-0.04346285852125068,0.3119139783479137,0.47619047619047616,False
development,AMZN,F2_system_recency,126,0.4721706864564007,-0.055873769533459273,0.3077568519413905,0.38095238095238093,False
later,AAPL,R1_infinity_refit,178,0.5386510041682455,0.08597676748504192,0.25577476582147957,0.7191011235955056,False
later,AAPL,R1_recency,178,0.5070733863837312,0.015228732963162706,0.2543303475034454,0.3146067415730337,False
later,AAPL,F1_infinity_refit,178,0.5174308450170519,0.041750263492643866,0.2587278548675218,0.7752808988764045,False
later,AAPL,F1_branch_recency,178,0.5008841732979664,0.001773393737571476,0.25004092705313036,0.5393258426966292,False
later,AAPL,F1_system_recency,178,0.5008841732979664,0.001773393737571476,0.25004092705313036,0.5393258426966292,False
later,AAPL,F2_infinity_refit,178,0.5671340154098775,0.15225387872362858,0.2855781078563171,0.7359550561797753,False
later,AAPL,F2_branch_recency,178,0.5454086143741317,0.10781926227950941,0.32952698469995856,0.7696629213483146,False
later,AAPL,F2_system_recency,178,0.5454086143741317,0.10781926227950941,0.32952698469995856,0.7696629213483146,False
later,AMZN,R1_infinity_refit,179,0.5085106382978724,0.017418199070209483,0.27222912692367146,0.6089385474860335,False
later,AMZN,R1_recency,179,0.4618272841051314,-0.0822261348477157,0.2805966557221337,0.3128491620111732,False
later,AMZN,F1_infinity_refit,179,0.5435544430538173,0.08716344852207177,0.25830623677748765,0.4692737430167598,False
later,AMZN,F1_branch_recency,179,0.5150187734668336,0.031090425267595465,0.25890544435678525,0.3687150837988827,False
later,AMZN,F1_system_recency,179,0.5133917396745933,0.034906533913412176,0.2627572450141767,0.1787709497206704,False
later,AMZN,F2_infinity_refit,179,0.5426783479349186,0.08692663097278021,0.26169057480580943,0.5977653631284916,False
later,AMZN,F2_branch_recency,179,0.526720901126408,0.05408877977627347,0.2814278359429562,0.5810055865921788,False
later,AMZN,F2_system_recency,179,0.5250938673341676,0.05135807225848531,0.28527963660034755,0.39106145251396646,False
train_forward_oof,AAPL,R1_infinity_refit,192,0.5414862914862915,0.07902749841502031,0.24782150742175757,0.4635416666666667,False
train_forward_oof,AAPL,R1_recency,192,0.5681818181818181,0.13010726223589664,0.24742157869471218,0.453125,False
train_forward_oof,AAPL,F1_infinity_refit,192,0.487012987012987,-0.02522671612121095,0.2532622416122265,0.6041666666666666,False
train_forward_oof,AAPL,F1_branch_recency,192,0.5411255411255411,0.0802679179144973,0.2418589824931329,0.6145833333333334,False
train_forward_oof,AAPL,F1_system_recency,192,0.5411255411255411,0.0802679179144973,0.24192567014324626,0.6145833333333334,False
train_forward_oof,AAPL,F2_infinity_refit,192,0.5043290043290043,0.008231544729143725,0.24967622968119718,0.5208333333333334,False
train_forward_oof,AAPL,F2_branch_recency,192,0.47005772005772006,-0.05891830481375665,0.2744460262657089,0.3697916666666667,False
train_forward_oof,AAPL,F2_system_recency,192,0.47005772005772006,-0.05891830481375665,0.2745127139158222,0.3697916666666667,False
train_forward_oof,AMZN,R1_infinity_refit,192,0.6043237250554324,0.22369924793065715,0.23623754361492103,0.6927083333333334,False
train_forward_oof,AMZN,R1_recency,192,0.5238359201773836,0.04983180839694886,0.24604714436165095,0.6614583333333334,False
train_forward_oof,AMZN,F1_infinity_refit,192,0.6063192904656319,0.21092677786576006,0.24411943948860357,0.5364583333333334,False
train_forward_oof,AMZN,F1_branch_recency,192,0.6002217294900222,0.19899270317623804,0.23886478508694764,0.5416666666666666,False
train_forward_oof,AMZN,F1_system_recency,192,0.5424611973392461,0.08423874444482388,0.24783043632046395,0.5364583333333334,False
train_forward_oof,AMZN,F2_infinity_refit,192,0.560310421286031,0.1265699634751547,0.24342485685342843,0.6666666666666666,False
train_forward_oof,AMZN,F2_branch_recency,192,0.5710643015521064,0.14563403984983944,0.24943560671820983,0.6302083333333334,False
train_forward_oof,AMZN,F2_system_recency,192,0.5133037694013304,0.027186362391351842,0.2584012579517261,0.625,False
