method,variant,symbol,month,half_life,n,BA,MCC,Brier,pred_up,constant
R1,infinity_refit,AAPL,2018-06,infinity,63,0.4907407407407407,-0.018731716231633878,0.2663216143320161,0.3968253968253968,False
R1,branch_recency,AAPL,2018-06,20,63,0.44907407407407407,-0.10573013661495896,0.25775272854682135,0.3492063492063492,False
F1,infinity_refit,AAPL,2018-06,infinity,63,0.41666666666666663,-0.16666666666666666,0.25851391983542843,0.5714285714285714,False
F1,branch_recency,AAPL,2018-06,20,63,0.5185185185185185,0.036773156567646105,0.25008928335995906,0.5396825396825397,False
F1,system_recency,AAPL,2018-06,20,63,0.5185185185185185,0.036773156567646105,0.25008928335995906,0.5396825396825397,False
F2,infinity_refit,AAPL,2018-06,infinity,63,0.3935185185185185,-0.21080522784319533,0.27061536068688824,0.5079365079365079,False
F2,branch_recency,AAPL,2018-06,20,63,0.375,-0.2695690340429192,0.2582707918937994,0.30158730158730157,False
F2,system_recency,AAPL,2018-06,20,63,0.375,-0.2695690340429192,0.2582707918937994,0.30158730158730157,False
R1,infinity_refit,AMZN,2018-06,infinity,63,0.6048913043478261,0.22006970263318495,0.23611675461342904,0.6984126984126984,False
R1,branch_recency,AMZN,2018-06,20,63,0.4548913043478261,-0.08688170650756233,0.2472027223617842,0.5079365079365079,False
F1,infinity_refit,AMZN,2018-06,infinity,63,0.5793478260869566,0.152828062049447,0.26511491380913593,0.49206349206349204,False
F1,branch_recency,AMZN,2018-06,20,63,0.6043478260869566,0.20118227630781807,0.2462409461947,0.5238095238095238,False
F1,system_recency,AMZN,2018-06,20,63,0.47336956521739126,-0.051604684654214,0.2577501336759848,0.4444444444444444,False
F2,infinity_refit,AMZN,2018-06,infinity,63,0.4989130434782609,-0.002195496824144787,0.24424332010338076,0.6507936507936508,False
F2,branch_recency,AMZN,2018-06,20,63,0.5081521739130435,0.01616439375349599,0.24444707198126664,0.6190476190476191,False
F2,system_recency,AMZN,2018-06,20,63,0.37717391304347825,-0.23728815961624536,0.2559562594625514,0.5396825396825397,False
R1,infinity_refit,AAPL,2018-07,infinity,60,0.586080586080586,0.17216117216117216,0.24446613983237067,0.35,False
R1,branch_recency,AAPL,2018-07,20,60,0.5989010989010989,0.1957807216292501,0.249035259671516,0.36666666666666664,False
F1,infinity_refit,AAPL,2018-07,infinity,60,0.554945054945055,0.10482848367219183,0.24052626453701736,0.5,False
F1,branch_recency,AAPL,2018-07,20,60,0.5787545787545787,0.15033770409001926,0.24410516705323457,0.48333333333333334,False
F1,system_recency,AAPL,2018-07,20,60,0.5787545787545787,0.15033770409001926,0.24410516705323457,0.48333333333333334,False
F2,infinity_refit,AAPL,2018-07,infinity,60,0.47985347985347987,-0.03863074974250641,0.27387296217055795,0.45,False
F2,branch_recency,AAPL,2018-07,20,60,0.47435897435897434,-0.053376051268362375,0.2604139057044636,0.3,False
F2,system_recency,AAPL,2018-07,20,60,0.47435897435897434,-0.053376051268362375,0.2604139057044636,0.3,False
R1,infinity_refit,AMZN,2018-07,infinity,60,0.5833333333333334,0.19245008972987526,0.24284511675294512,0.75,False
R1,branch_recency,AMZN,2018-07,20,60,0.5333333333333333,0.08333333333333333,0.25600340468538174,0.8,False
F1,infinity_refit,AMZN,2018-07,infinity,60,0.6166666666666667,0.23995690956687135,0.23771951943560649,0.6166666666666667,False
F1,branch_recency,AMZN,2018-07,20,60,0.5833333333333334,0.17914359097500465,0.2408713472655239,0.6833333333333333,False
F1,system_recency,AMZN,2018-07,20,60,0.5666666666666667,0.15075567228888181,0.24998759650307636,0.7333333333333333,False
F2,infinity_refit,AMZN,2018-07,infinity,60,0.55,0.11095900821829636,0.2574755727535602,0.7166666666666667,False
F2,branch_recency,AMZN,2018-07,20,60,0.5833333333333334,0.17914359097500465,0.2531499587947802,0.6833333333333333,False
