phase,symbol,month,method,n,BA,MCC,Brier,AUC,up_recall,down_recall,pred_up,constant
development,AAPL,2018-09,D0_equal,57,0.6016009852216749,0.24917762935063273,0.24392380747401587,0.6243842364532021,0.8928571428571429,0.3103448275862069,0.7894736842105263,False
development,AAPL,2018-10,D0_equal,69,0.5653846153846154,0.17102927277442592,0.26047547630274615,0.6512820512820513,0.9,0.23076923076923078,0.8260869565217391,False
development,AAPL,2018-09,D0_day,57,0.6188423645320198,0.2831921951995806,0.24357896491292172,0.6182266009852216,0.8928571428571429,0.3448275862068966,0.7719298245614035,False
development,AAPL,2018-10,D0_day,69,0.5358974358974359,0.09389842426831227,0.25896213165400433,0.6384615384615384,0.8666666666666667,0.20512820512820512,0.8260869565217391,False
development,AAPL,2018-09,D1,57,0.5652709359605912,0.14523655233310132,0.24956775377768825,0.5775862068965517,0.7857142857142857,0.3448275862068966,0.7192982456140351,False
development,AAPL,2018-10,D1,69,0.5743589743589743,0.17873672989479605,0.2575016064247239,0.5982905982905983,0.8666666666666667,0.28205128205128205,0.782608695652174,False
development,AMZN,2018-09,D0_equal,57,0.5480295566502463,0.10905518362415922,0.2570370850512819,0.5295566502463055,0.7857142857142857,0.3103448275862069,0.7368421052631579,False
development,AMZN,2018-10,D0_equal,69,0.5029761904761905,0.00603681610520369,0.2763145482974462,0.5148809523809523,0.7142857142857143,0.2916666666666667,0.7101449275362319,False
development,AMZN,2018-09,D0_day,57,0.5474137931034483,0.10362349933583821,0.2515884365392025,0.5467980295566504,0.75,0.3448275862068966,0.7017543859649122,False
development,AMZN,2018-10,D0_day,69,0.49255952380952384,-0.015328483487124145,0.2691584639722995,0.5099206349206349,0.7142857142857143,0.2708333333333333,0.7246376811594203,False
development,AMZN,2018-09,D1,57,0.5658866995073891,0.1530409022617326,0.25122733091445115,0.5640394088669951,0.8214285714285714,0.3103448275862069,0.7543859649122807,False
development,AMZN,2018-10,D1,69,0.5,0.0,0.2668390148279871,0.5327380952380952,0.6666666666666666,0.3333333333333333,0.6666666666666666,False
later,AAPL,2018-11,D0_equal,60,0.47664071190211343,-0.05094581882078967,0.27145667779306026,0.5038932146829811,0.6774193548387096,0.27586206896551724,0.7,False
later,AAPL,2018-12,D0_equal,53,0.5301857585139319,0.06306486852470497,0.3026719640964683,0.5123839009287926,0.7368421052631579,0.3235294117647059,0.6981132075471698,False
later,AAPL,2019-01,D0_equal,63,0.4090436590436591,-0.21542120695580647,0.25956618770313,0.4812889812889813,0.7027027027027027,0.11538461538461539,0.7777777777777778,False
later,AAPL,2019-02,D0_equal,2,,0.0,0.5206286313848169,,,0.0,1.0,True
later,AAPL,2018-11,D0_day,60,0.4616240266963293,-0.08041319055977775,0.26839091808211835,0.4883203559510567,0.6129032258064516,0.3103448275862069,0.65,False
later,AAPL,2018-12,D0_day,53,0.5038699690402477,0.007952030447586399,0.29270002937175277,0.5123839009287925,0.6842105263157895,0.3235294117647059,0.6792452830188679,False
later,AAPL,2019-01,D0_day,63,0.4090436590436591,-0.21542120695580647,0.25472188077567914,0.4760914760914761,0.7027027027027027,0.11538461538461539,0.7777777777777778,False
later,AAPL,2019-02,D0_day,2,,0.0,0.48241779920191685,,,0.0,1.0,True
later,AAPL,2018-11,D1,60,0.5305895439377086,0.06201243961057162,0.26550064907340154,0.47497219132369295,0.6129032258064516,0.4482758620689655,0.5833333333333334,False
later,AAPL,2018-12,D1,53,0.5069659442724458,0.013783334079221598,0.2892883865401287,0.4721362229102167,0.631578947368421,0.38235294117647056,0.6226415094339622,False
later,AAPL,2019-01,D1,63,0.512993762993763,0.02939297547993447,0.24861650425915882,0.5062370062370063,0.7567567567567568,0.2692307692307692,0.746031746031746,False
later,AAPL,2019-02,D1,2,,0.0,0.4150427320396963,,,0.0,1.0,True
later,AMZN,2018-11,D0_equal,60,0.4375,-0.12707606131310362,0.25827939293301644,0.4976851851851851,0.5833333333333334,0.2916666666666667,0.6333333333333333,False
later,AMZN,2018-12,D0_equal,54,0.5541353383458647,0.10968169942141635,0.252942769433288,0.5759398496240602,0.7368421052631579,0.37142857142857144,0.6666666666666666,False
later,AMZN,2019-01,D0_equal,63,0.6273684210526316,0.30796182528027644,0.22852880788052343,0.6684210526315789,0.8947368421052632,0.36,0.7936507936507936,False
later,AMZN,2019-02,D0_equal,2,0.5,0.0,0.29112662474890316,0.0,1.0,0.0,1.0,True
later,AMZN,2018-11,D0_day,60,0.4583333333333333,-0.0890870806374748,0.2579658496855645,0.4664351851851852,0.6666666666666666,0.25,0.7,False
later,AMZN,2018-12,D0_day,54,0.525563909774436,0.05347075357548603,0.25150402797547045,0.556390977443609,0.7368421052631579,0.3142857142857143,0.7037037037037037,False
later,AMZN,2019-01,D0_day,63,0.6405263157894736,0.350165816537262,0.2317587058257634,0.6557894736842105,0.9210526315789473,0.36,0.8095238095238095,False
later,AMZN,2019-02,D0_day,2,0.5,0.0,0.29060461491650985,0.0,1.0,0.0,1.0,True
later,AMZN,2018-11,D1,60,0.5,0.0,0.25836778016393397,0.5011574074074074,0.6666666666666666,0.3333333333333333,0.6666666666666666,False
later,AMZN,2018-12,D1,54,0.4631578947368421,-0.07116074602827605,0.2653902956214999,0.4526315789473684,0.5263157894736842,0.4,0.5740740740740741,False
later,AMZN,2019-01,D1,63,0.5873684210526315,0.2251895696725087,0.23421513587180992,0.6294736842105264,0.8947368421052632,0.28,0.8253968253968254,False
later,AMZN,2019-02,D1,2,0.5,0.0,0.33781783961558354,0.0,1.0,0.0,1.0,True
train_forward_oof,AAPL,2018-03,D0_equal,62,0.4822916666666667,-0.03556516487211823,0.27071294582165345,0.484375,0.53125,0.43333333333333335,0.5483870967741935,False
train_forward_oof,AAPL,2018-04,D0_equal,63,0.5408266129032258,0.08248900219951122,0.26120746334252687,0.5483870967741936,0.6129032258064516,0.46875,0.5714285714285714,False
train_forward_oof,AAPL,2018-05,D0_equal,66,0.5461323392357875,0.09158437663089954,0.24898002284362836,0.5778191985088537,0.5405405405405406,0.5517241379310345,0.5,False
train_forward_oof,AAPL,2018-06,D0_equal,63,0.4907407407407407,-0.018731716231633878,0.25620834787179714,0.5133744855967078,0.3888888888888889,0.5925925925925926,0.3968253968253968,False
train_forward_oof,AAPL,2018-07,D0_equal,60,0.5659340659340659,0.12607465830311831,0.24003231071742462,0.6239316239316239,0.5128205128205128,0.6190476190476191,0.4666666666666667,False
train_forward_oof,AAPL,2018-08,D0_equal,69,0.5473856209150327,0.08929715913623683,0.22332915612509172,0.6111111111111112,0.7058823529411765,0.3888888888888889,0.6811594202898551,False
train_forward_oof,AAPL,2018-03,D0_day,62,0.5322916666666666,0.06454972243679027,0.261944141438584,0.49583333333333335,0.53125,0.5333333333333333,0.5,False
train_forward_oof,AAPL,2018-04,D0_day,63,0.5246975806451613,0.049696660496618174,0.2544775729094419,0.5473790322580645,0.5806451612903226,0.46875,0.5555555555555556,False
train_forward_oof,AAPL,2018-05,D0_day,66,0.5461323392357875,0.09158437663089954,0.24729091604761566,0.5675675675675677,0.5405405405405406,0.5517241379310345,0.5,False
train_forward_oof,AAPL,2018-06,D0_day,63,0.4537037037037037,-0.09259259259259259,0.2538007444420128,0.5133744855967078,0.3888888888888889,0.5185185185185185,0.42857142857142855,False
train_forward_oof,AAPL,2018-07,D0_day,60,0.5531135531135531,0.10184470386660781,0.23889568751962284,0.6043956043956044,0.48717948717948717,0.6190476190476191,0.45,False
train_forward_oof,AAPL,2018-08,D0_day,69,0.5098039215686274,0.018475274304048998,0.22562038589224614,0.5849673202614379,0.6862745098039216,0.3333333333333333,0.6811594202898551,False
train_forward_oof,AAPL,2018-03,D1,62,0.48541666666666666,-0.029288959306450306,0.2622441433396727,0.5041666666666667,0.4375,0.5333333333333333,0.45161290322580644,False
train_forward_oof,AAPL,2018-04,D1,63,0.5090725806451613,0.01833088937766916,0.2561866606346601,0.532258064516129,0.5806451612903226,0.4375,0.5714285714285714,False
train_forward_oof,AAPL,2018-05,D1,66,0.52143522833178,0.04305138788253592,0.24809838759117886,0.5666356011183599,0.5945945945945946,0.4482758620689655,0.5757575757575758,False
