fold,symbol,method,n,max_probability_abs_diff,parity_pass
2018-03,AAPL,R1,62,8.326672684688674e-17,True
2018-03,AAPL,F1,62,5.551115123125783e-17,True
2018-03,AAPL,F2,62,1.1657341758564144e-15,True
2018-03,AMZN,R1,62,5.551115123125783e-17,True
2018-03,AMZN,F1,62,5.551115123125783e-17,True
2018-03,AMZN,F2,62,7.771561172376096e-16,True
2018-04,AAPL,R1,63,5.551115123125783e-17,True
2018-04,AAPL,F1,63,5.551115123125783e-17,True
2018-04,AAPL,F2,63,3.3306690738754696e-16,True
2018-04,AMZN,R1,63,5.551115123125783e-17,True
2018-04,AMZN,F1,63,5.551115123125783e-17,True
2018-04,AMZN,F2,63,3.3306690738754696e-16,True
2018-05,AAPL,R1,66,5.551115123125783e-17,True
2018-05,AAPL,F1,66,5.551115123125783e-17,True
2018-05,AAPL,F2,66,3.885780586188048e-16,True
2018-05,AMZN,R1,65,5.551115123125783e-17,True
2018-05,AMZN,F1,65,5.551115123125783e-17,True
2018-05,AMZN,F2,65,5.551115123125783e-16,True
2018-06,AAPL,R1,63,5.551115123125783e-17,True
2018-06,AAPL,F1,63,5.551115123125783e-17,True
2018-06,AAPL,F2,63,4.440892098500626e-16,True
2018-06,AMZN,R1,63,5.551115123125783e-17,True
2018-06,AMZN,F1,63,8.326672684688674e-17,True
2018-06,AMZN,F2,63,2.220446049250313e-16,True
2018-07,AAPL,R1,60,5.551115123125783e-17,True
2018-07,AAPL,F1,60,5.551115123125783e-17,True
2018-07,AAPL,F2,60,5.551115123125783e-16,True
2018-07,AMZN,R1,60,5.551115123125783e-17,True
2018-07,AMZN,F1,60,5.551115123125783e-17,True
2018-07,AMZN,F2,60,4.440892098500626e-16,True
2018-08,AAPL,R1,69,5.551115123125783e-17,True
2018-08,AAPL,F1,69,8.326672684688674e-17,True
2018-08,AAPL,F2,69,1.6653345369377348e-15,True
2018-08,AMZN,R1,69,5.551115123125783e-17,True
2018-08,AMZN,F1,69,5.551115123125783e-17,True
2018-08,AMZN,F2,69,1.6653345369377348e-15,True
final,AAPL,R1,304,5.551115123125783e-17,True
final,AAPL,F1,304,5.551115123125783e-17,True
final,AAPL,F2,304,1.6653345369377348e-15,True
final,AMZN,R1,305,1.1102230246251565e-16,True
final,AMZN,F1,305,1.1102230246251565e-16,True
final,AMZN,F2,305,7.771561172376096e-16,True
