stage,block,stock,seed,method,C
aggregation,573_AAPL_0,AAPL,573,SET_BASE,1.0
aggregation,573_AAPL_0,AAPL,573,MEAN_LINEAR,1.0
aggregation,573_AAPL_0,AAPL,573,MEAN_THEN_MAP,1.0
aggregation,573_AAPL_0,AAPL,573,MAP_THEN_MEAN,1.0
aggregation,573_AAPL_1,AAPL,573,SET_BASE,1.0
aggregation,573_AAPL_1,AAPL,573,MEAN_LINEAR,1.0
aggregation,573_AAPL_1,AAPL,573,MEAN_THEN_MAP,1.0
aggregation,573_AAPL_1,AAPL,573,MAP_THEN_MEAN,1.0
aggregation,573_AAPL_2,AAPL,573,SET_BASE,1.0
aggregation,573_AAPL_2,AAPL,573,MEAN_LINEAR,1.0
aggregation,573_AAPL_2,AAPL,573,MEAN_THEN_MAP,1.0
aggregation,573_AAPL_2,AAPL,573,MAP_THEN_MEAN,1.0
aggregation,573_AAPL_3,AAPL,573,SET_BASE,1.0
aggregation,573_AAPL_3,AAPL,573,MEAN_LINEAR,1.0
aggregation,573_AAPL_3,AAPL,573,MEAN_THEN_MAP,1.0
aggregation,573_AAPL_3,AAPL,573,MAP_THEN_MEAN,1.0
aggregation,573_AAPL_4,AAPL,573,SET_BASE,1.0
aggregation,573_AAPL_4,AAPL,573,MEAN_LINEAR,1.0
aggregation,573_AAPL_4,AAPL,573,MEAN_THEN_MAP,1.0
aggregation,573_AAPL_4,AAPL,573,MAP_THEN_MEAN,1.0
aggregation,573_AAPL_5,AAPL,573,SET_BASE,1.0
aggregation,573_AAPL_5,AAPL,573,MEAN_LINEAR,1.0
aggregation,573_AAPL_5,AAPL,573,MEAN_THEN_MAP,1.0
aggregation,573_AAPL_5,AAPL,573,MAP_THEN_MEAN,1.0
aggregation,573_AAPL_6,AAPL,573,SET_BASE,1.0
aggregation,573_AAPL_6,AAPL,573,MEAN_LINEAR,1.0
aggregation,573_AAPL_6,AAPL,573,MEAN_THEN_MAP,1.0
aggregation,573_AAPL_6,AAPL,573,MAP_THEN_MEAN,1.0
aggregation,573_AAPL_7,AAPL,573,SET_BASE,1.0
aggregation,573_AAPL_7,AAPL,573,MEAN_LINEAR,1.0
aggregation,573_AAPL_7,AAPL,573,MEAN_THEN_MAP,1.0
aggregation,573_AAPL_7,AAPL,573,MAP_THEN_MEAN,1.0
aggregation,573_AAPL_8,AAPL,573,SET_BASE,1.0
aggregation,573_AAPL_8,AAPL,573,MEAN_LINEAR,1.0
aggregation,573_AAPL_8,AAPL,573,MEAN_THEN_MAP,1.0
aggregation,573_AAPL_8,AAPL,573,MAP_THEN_MEAN,1.0
aggregation,573_AAPL_9,AAPL,573,SET_BASE,1.0
aggregation,573_AAPL_9,AAPL,573,MEAN_LINEAR,1.0
aggregation,573_AAPL_9,AAPL,573,MEAN_THEN_MAP,1.0
aggregation,573_AAPL_9,AAPL,573,MAP_THEN_MEAN,1.0
aggregation,573_AMZN_0,AMZN,573,SET_BASE,1.0
aggregation,573_AMZN_0,AMZN,573,MEAN_LINEAR,1.0
aggregation,573_AMZN_0,AMZN,573,MEAN_THEN_MAP,1.0
aggregation,573_AMZN_0,AMZN,573,MAP_THEN_MEAN,1.0
aggregation,573_AMZN_1,AMZN,573,SET_BASE,1.0
aggregation,573_AMZN_1,AMZN,573,MEAN_LINEAR,1.0
aggregation,573_AMZN_1,AMZN,573,MEAN_THEN_MAP,1.0
aggregation,573_AMZN_1,AMZN,573,MAP_THEN_MEAN,1.0
aggregation,573_AMZN_2,AMZN,573,SET_BASE,1.0
aggregation,573_AMZN_2,AMZN,573,MEAN_LINEAR,1.0
aggregation,573_AMZN_2,AMZN,573,MEAN_THEN_MAP,1.0
aggregation,573_AMZN_2,AMZN,573,MAP_THEN_MEAN,1.0
aggregation,573_AMZN_3,AMZN,573,SET_BASE,1.0
aggregation,573_AMZN_3,AMZN,573,MEAN_LINEAR,1.0
aggregation,573_AMZN_3,AMZN,573,MEAN_THEN_MAP,1.0
aggregation,573_AMZN_3,AMZN,573,MAP_THEN_MEAN,1.0
aggregation,573_AMZN_4,AMZN,573,SET_BASE,1.0
aggregation,573_AMZN_4,AMZN,573,MEAN_LINEAR,1.0
aggregation,573_AMZN_4,AMZN,573,MEAN_THEN_MAP,1.0
aggregation,573_AMZN_4,AMZN,573,MAP_THEN_MEAN,1.0
aggregation,573_AMZN_5,AMZN,573,SET_BASE,1.0
aggregation,573_AMZN_5,AMZN,573,MEAN_LINEAR,1.0
aggregation,573_AMZN_5,AMZN,573,MEAN_THEN_MAP,1.0
aggregation,573_AMZN_5,AMZN,573,MAP_THEN_MEAN,1.0
aggregation,573_AMZN_6,AMZN,573,SET_BASE,1.0
aggregation,573_AMZN_6,AMZN,573,MEAN_LINEAR,1.0
aggregation,573_AMZN_6,AMZN,573,MEAN_THEN_MAP,1.0
aggregation,573_AMZN_6,AMZN,573,MAP_THEN_MEAN,1.0
aggregation,573_AMZN_7,AMZN,573,SET_BASE,1.0
aggregation,573_AMZN_7,AMZN,573,MEAN_LINEAR,1.0
aggregation,573_AMZN_7,AMZN,573,MEAN_THEN_MAP,1.0
aggregation,573_AMZN_7,AMZN,573,MAP_THEN_MEAN,1.0
aggregation,573_AMZN_8,AMZN,573,SET_BASE,1.0
aggregation,573_AMZN_8,AMZN,573,MEAN_LINEAR,1.0
aggregation,573_AMZN_8,AMZN,573,MEAN_THEN_MAP,1.0
aggregation,573_AMZN_8,AMZN,573,MAP_THEN_MEAN,1.0
aggregation,573_AMZN_9,AMZN,573,SET_BASE,1.0
aggregation,573_AMZN_9,AMZN,573,MEAN_LINEAR,1.0
aggregation,573_AMZN_9,AMZN,573,MEAN_THEN_MAP,1.0
aggregation,573_AMZN_9,AMZN,573,MAP_THEN_MEAN,1.0
aggregation,574_AAPL_0,AAPL,574,SET_BASE,1.0
aggregation,574_AAPL_0,AAPL,574,MEAN_LINEAR,1.0
aggregation,574_AAPL_0,AAPL,574,MEAN_THEN_MAP,1.0
aggregation,574_AAPL_0,AAPL,574,MAP_THEN_MEAN,1.0
aggregation,574_AAPL_1,AAPL,574,SET_BASE,1.0
aggregation,574_AAPL_1,AAPL,574,MEAN_LINEAR,1.0
aggregation,574_AAPL_1,AAPL,574,MEAN_THEN_MAP,1.0
aggregation,574_AAPL_1,AAPL,574,MAP_THEN_MEAN,1.0
aggregation,574_AAPL_2,AAPL,574,SET_BASE,1.0
aggregation,574_AAPL_2,AAPL,574,MEAN_LINEAR,1.0
aggregation,574_AAPL_2,AAPL,574,MEAN_THEN_MAP,1.0
aggregation,574_AAPL_2,AAPL,574,MAP_THEN_MEAN,1.0
aggregation,574_AAPL_3,AAPL,574,SET_BASE,1.0
