stage,symbol,seed,method,has_news,n,BA,Brier,MCC,accuracy,predicted_up,constant
preprocess,AAPL,573,PRICE,False,6,0.5,0.2645469479475177,0.0,0.5,0.6666666666666666,False
preprocess,AAPL,573,PRICE,True,797,0.5508117706747844,0.2477562439315101,0.10539681706966593,0.562107904642409,0.6386449184441656,False
preprocess,AAPL,573,FULL,False,6,0.5,0.2645469479475177,0.0,0.5,0.6666666666666666,False
preprocess,AAPL,573,FULL,True,797,0.685958904109589,0.21829072503723085,0.3753979426338887,0.6913425345043914,0.5796737766624843,False
preprocess,AAPL,573,CONTROL,False,6,0.5,0.2645469479475177,0.0,0.5,0.6666666666666666,False
preprocess,AAPL,573,CONTROL,True,797,0.7119641045154743,0.20357081505858374,0.42881030318642727,0.7176913425345044,0.5859473023839398,False
preprocess,AAPL,573,FREQUENCY,False,6,0.5,0.2645469479475177,0.0,0.5,0.6666666666666666,False
preprocess,AAPL,573,FREQUENCY,True,797,0.7066971080669711,0.20550375844673668,0.4185326646768394,0.71267252195734,0.588456712672522,False
preprocess,AAPL,573,NEGATION,False,6,0.5,0.2645469479475177,0.0,0.5,0.6666666666666666,False
preprocess,AAPL,573,NEGATION,True,797,0.7105942415017757,0.20362347658849964,0.42622990515768494,0.7164366373902133,0.5872020075282308,False
preprocess,AAPL,573,NUMERIC,False,6,0.5,0.2645469479475177,0.0,0.5,0.6666666666666666,False
preprocess,AAPL,573,NUMERIC,True,797,0.6947932521562659,0.20421585409880336,0.3953682384107626,0.7013801756587202,0.5947302383939774,False
preprocess,AAPL,573,NO_STEM,False,6,0.5,0.2645469479475177,0.0,0.5,0.6666666666666666,False
preprocess,AAPL,573,NO_STEM,True,797,0.7055397006595636,0.20652073963382933,0.4159998226614666,0.7114178168130489,0.5872020075282308,False
preprocess,AAPL,574,PRICE,False,6,0.3333333333333333,0.27658683272557744,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False
preprocess,AAPL,574,PRICE,True,797,0.5659531963470319,0.24601758662858267,0.13963316475948437,0.5796737766624843,0.6687578419071518,False
preprocess,AAPL,574,FULL,False,6,0.3333333333333333,0.27658683272557744,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False
preprocess,AAPL,574,FULL,True,797,0.6645833333333333,0.2247920116448633,0.33211160681814206,0.6700125470514429,0.5784190715181933,False
preprocess,AAPL,574,CONTROL,False,6,0.3333333333333333,0.27658683272557744,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False
preprocess,AAPL,574,CONTROL,True,797,0.6765823186199899,0.2061881969483895,0.35723179525084264,0.6825595984943539,0.5859473023839398,False
preprocess,AAPL,574,FREQUENCY,False,6,0.3333333333333333,0.27658683272557744,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False
preprocess,AAPL,574,FREQUENCY,True,797,0.7044996194824962,0.20679917963370584,0.4115625212744224,0.7089084065244667,0.5696361355081556,False
preprocess,AAPL,574,NEGATION,False,6,0.3333333333333333,0.27658683272557744,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False
preprocess,AAPL,574,NEGATION,True,797,0.6752124556062913,0.20623176815353522,0.35461932768415644,0.6813048933500627,0.5872020075282308,False
preprocess,AAPL,574,NUMERIC,False,6,0.3333333333333333,0.27658683272557744,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False
preprocess,AAPL,574,NUMERIC,True,797,0.688486174530695,0.2062600920649044,0.3804997801667857,0.6938519447929736,0.5796737766624843,False
preprocess,AAPL,574,NO_STEM,False,6,0.3333333333333333,0.27658683272557744,-0.4472135954999579,0.3333333333333333,0.8333333333333334,False
preprocess,AAPL,574,NO_STEM,True,797,0.682699137493658,0.20880011531385242,0.3680927298466021,0.6875784190715182,0.5734002509410289,False
preprocess,AAPL,575,PRICE,False,6,0.5,0.2752862819480327,0.0,0.5,0.6666666666666666,False
preprocess,AAPL,575,PRICE,True,797,0.5610381785895484,0.2460119167078265,0.12545725496246732,0.5708908406524467,0.6223337515683814,False
preprocess,AAPL,575,FULL,False,6,0.5,0.2752862819480327,0.0,0.5,0.6666666666666666,False
preprocess,AAPL,575,FULL,True,797,0.6820617706747845,0.22423792606110082,0.3676828172070394,0.6875784190715182,0.5809284818067754,False
preprocess,AAPL,575,CONTROL,False,6,0.5,0.2752862819480327,0.0,0.5,0.6666666666666666,False
preprocess,AAPL,575,CONTROL,True,797,0.7038622526636225,0.20487802727943208,0.4112077146555461,0.7089084065244667,0.5771643663739021,False
preprocess,AAPL,575,FREQUENCY,False,6,0.5,0.2752862819480327,0.0,0.5,0.6666666666666666,False
preprocess,AAPL,575,FREQUENCY,True,797,0.6987125824454592,0.20723141406778864,0.39923708527182716,0.7026348808030113,0.5633626097867002,False
preprocess,AAPL,575,NEGATION,False,6,0.5,0.2752862819480327,0.0,0.5,0.6666666666666666,False
preprocess,AAPL,575,NEGATION,True,797,0.7079718417047184,0.2047499237953758,0.4190108612142329,0.71267252195734,0.5734002509410289,False
preprocess,AAPL,575,NUMERIC,False,6,0.5,0.2752862819480327,0.0,0.5,0.6666666666666666,False
preprocess,AAPL,575,NUMERIC,True,797,0.6832191780821918,0.20620933054282206,0.37017588627068854,0.6888331242158093,0.5821831869510665,False
preprocess,AAPL,575,NO_STEM,False,6,0.5,0.2752862819480327,0.0,0.5,0.6666666666666666,False
preprocess,AAPL,575,NO_STEM,True,797,0.6902809487569761,0.20771735109053588,0.3833681692568913,0.6951066499372648,0.5734002509410289,False
preprocess,AMZN,573,PRICE,False,389,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False
preprocess,AMZN,573,PRICE,True,415,0.5074123989218329,0.2629897168174853,0.01494367841861915,0.5060240963855421,0.563855421686747,False
preprocess,AMZN,573,FULL,False,389,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False
preprocess,AMZN,573,FULL,True,415,0.6594014313597918,0.25791168449592744,0.31986748998060993,0.6602409638554216,0.4578313253012048,False
preprocess,AMZN,573,CONTROL,False,389,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False
preprocess,AMZN,573,CONTROL,True,415,0.6663723394367507,0.2199080613953711,0.33463956446805376,0.6674698795180722,0.4457831325301205,False
preprocess,AMZN,573,FREQUENCY,False,389,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False
preprocess,AMZN,573,FREQUENCY,True,415,0.6519077051770611,0.22367676609818646,0.3055455520544555,0.653012048192771,0.4457831325301205,False
preprocess,AMZN,573,NEGATION,False,389,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False
preprocess,AMZN,573,NEGATION,True,415,0.670775629705363,0.22165853488237658,0.34522062045964075,0.672289156626506,0.42650602409638555,False
preprocess,AMZN,573,NUMERIC,False,389,0.5510963508322664,0.24314929151600415,0.10534204089730206,0.5629820051413882,0.6298200514138818,False
