stage,symbol,seed,method,reference,changed,repaired,introduced,delta_BA
preprocess,AAPL,573,FREQUENCY,CONTROL,54,25,29,-0.005225512243878017
preprocess,AAPL,573,FREQUENCY,FULL,149,83,66,0.020586581709145513
preprocess,AAPL,573,NEGATION,CONTROL,5,2,3,-0.0013586956521738358
preprocess,AAPL,573,NEGATION,FULL,148,84,64,0.024453398300849694
preprocess,AAPL,573,NUMERIC,CONTROL,41,14,27,-0.017035232383808108
preprocess,AAPL,573,NUMERIC,FULL,148,78,70,0.008776861569215422
preprocess,AAPL,573,NO_STEM,CONTROL,47,21,26,-0.006374937531234304
preprocess,AAPL,573,NO_STEM,FULL,144,80,64,0.019437156421789226
preprocess,AAPL,574,FREQUENCY,CONTROL,61,41,20,0.0276955272363818
preprocess,AAPL,574,FREQUENCY,FULL,149,90,59,0.0396083208395801
preprocess,AAPL,574,NEGATION,CONTROL,1,0,1,-0.0013586956521739468
preprocess,AAPL,574,NEGATION,FULL,141,75,66,0.010554097951024355
preprocess,AAPL,574,NUMERIC,CONTROL,41,25,16,0.01180972013992998
preprocess,AAPL,574,NUMERIC,FULL,139,79,60,0.023722513743128282
preprocess,AAPL,574,NO_STEM,CONTROL,52,28,24,0.006062593703148433
preprocess,AAPL,574,NO_STEM,FULL,142,78,64,0.017975387306346735
preprocess,AAPL,575,FREQUENCY,CONTROL,55,25,30,-0.00511931534232879
preprocess,AAPL,575,FREQUENCY,FULL,144,78,66,0.01651361819090469
preprocess,AAPL,575,NEGATION,CONTROL,5,4,1,0.0040760869565217295
preprocess,AAPL,575,NEGATION,FULL,140,80,60,0.025709020489755208
preprocess,AAPL,575,NUMERIC,CONTROL,46,15,31,-0.02048350824587708
preprocess,AAPL,575,NUMERIC,FULL,147,74,73,0.0011494252873563982
preprocess,AAPL,575,NO_STEM,CONTROL,47,18,29,-0.013480759620189908
preprocess,AAPL,575,NO_STEM,FULL,154,80,74,0.00815217391304357
preprocess,AMZN,573,FREQUENCY,CONTROL,32,13,19,-0.00747174861221267
preprocess,AMZN,573,FREQUENCY,FULL,67,32,35,-0.003519032513877862
preprocess,AMZN,573,NEGATION,CONTROL,8,5,3,0.0028375297383027576
preprocess,AMZN,573,NEGATION,FULL,65,35,30,0.006790245836637565
preprocess,AMZN,573,NUMERIC,CONTROL,4,3,1,0.0024038461538460343
preprocess,AMZN,573,NUMERIC,FULL,57,31,26,0.006356562252180842
preprocess,AMZN,573,NO_STEM,CONTROL,40,16,24,-0.009528647898493281
preprocess,AMZN,573,NO_STEM,FULL,79,37,42,-0.0055759318001584735
preprocess,AMZN,574,FREQUENCY,CONTROL,31,13,18,-0.0062698255352893195
preprocess,AMZN,574,FREQUENCY,FULL,75,39,36,0.003432295796986562
preprocess,AMZN,574,NEGATION,CONTROL,3,3,0,0.0036925059476606847
preprocess,AMZN,574,NEGATION,FULL,65,38,27,0.013394627279936566
preprocess,AMZN,574,NUMERIC,CONTROL,17,10,7,0.0035190325138779732
preprocess,AMZN,574,NUMERIC,FULL,65,38,27,0.013221153846153855
preprocess,AMZN,574,NO_STEM,CONTROL,32,14,18,-0.005501586042823026
preprocess,AMZN,574,NO_STEM,FULL,74,39,35,0.004200535289452856
preprocess,AMZN,575,FREQUENCY,CONTROL,32,15,17,-0.002230372720063434
preprocess,AMZN,575,FREQUENCY,FULL,72,40,32,0.009875594766058704
preprocess,AMZN,575,NEGATION,CONTROL,0,0,0,0.0
preprocess,AMZN,575,NEGATION,FULL,72,41,31,0.012105967486122138
preprocess,AMZN,575,NUMERIC,CONTROL,24,15,9,0.00764522204599527
preprocess,AMZN,575,NUMERIC,FULL,64,40,24,0.019751189532117408
preprocess,AMZN,575,NO_STEM,CONTROL,23,8,15,-0.008500198255352864
preprocess,AMZN,575,NO_STEM,FULL,71,37,34,0.0036057692307692735
grouped,AAPL,573,GROUP_SVM,FULL,360,179,181,-0.03787481259370318
grouped,AAPL,574,GROUP_SVM,FULL,340,168,172,-0.039545852073962995
grouped,AAPL,575,GROUP_SVM,FULL,349,181,168,-0.01749437781109442
grouped,AMZN,573,GROUP_SVM,FULL,147,76,71,0.003407513877874635
grouped,AMZN,574,GROUP_SVM,FULL,160,79,81,-0.007781522601110202
grouped,AMZN,575,GROUP_SVM,FULL,135,63,72,-0.01281225218080878
aggregation,AAPL,573,SET_BASE,CONTROL,168,59,109,-0.06709770114942537
aggregation,AAPL,573,SET_BASE,FULL,157,64,93,-0.04128560719640184
aggregation,AAPL,573,SET_BASE,SET_BASE,0,0,0,0.0
aggregation,AAPL,573,SET_BASE,MEAN_THEN_MAP,20,6,14,-0.010451024487756255
aggregation,AAPL,573,MEAN_LINEAR,CONTROL,159,61,98,-0.049434657671164395
aggregation,AAPL,573,MEAN_LINEAR,FULL,164,74,90,-0.023622563718140865
aggregation,AAPL,573,MEAN_LINEAR,SET_BASE,77,45,32,0.017663043478260976
aggregation,AAPL,573,MEAN_LINEAR,MEAN_THEN_MAP,67,36,31,0.0072120189905047205
aggregation,AAPL,573,MEAN_THEN_MAP,CONTROL,166,62,104,-0.056646676661669115
aggregation,AAPL,573,MEAN_THEN_MAP,FULL,155,67,88,-0.030834582708645586
aggregation,AAPL,573,MEAN_THEN_MAP,SET_BASE,20,14,6,0.010451024487756255
aggregation,AAPL,573,MEAN_THEN_MAP,MEAN_THEN_MAP,0,0,0,0.0
aggregation,AAPL,573,MAP_THEN_MEAN,CONTROL,164,60,104,-0.05915479760119946
aggregation,AAPL,573,MAP_THEN_MEAN,FULL,157,67,90,-0.03334270364817593
aggregation,AAPL,573,MAP_THEN_MEAN,SET_BASE,22,14,8,0.00794290354822591
aggregation,AAPL,573,MAP_THEN_MEAN,MEAN_THEN_MAP,6,2,4,-0.002508120939530345
aggregation,AAPL,574,SET_BASE,CONTROL,182,85,97,-0.019443403298350703
aggregation,AAPL,574,SET_BASE,FULL,164,81,83,-0.0075306096951524015
aggregation,AAPL,574,SET_BASE,SET_BASE,0,0,0,0.0
aggregation,AAPL,574,SET_BASE,MEAN_THEN_MAP,32,17,15,0.0014617691154423795
aggregation,AAPL,574,MEAN_LINEAR,CONTROL,172,78,94,-0.021739130434782594
aggregation,AAPL,574,MEAN_LINEAR,FULL,168,81,87,-0.009826336831584292
aggregation,AAPL,574,MEAN_LINEAR,SET_BASE,74,35,39,-0.002295727136431891
aggregation,AAPL,574,MEAN_LINEAR,MEAN_THEN_MAP,70,34,36,-0.0008339580209895114
aggregation,AAPL,574,MEAN_THEN_MAP,CONTROL,172,79,93,-0.020905172413793083
aggregation,AAPL,574,MEAN_THEN_MAP,FULL,164,80,84,-0.008992378810594781
aggregation,AAPL,574,MEAN_THEN_MAP,SET_BASE,32,15,17,-0.0014617691154423795
aggregation,AAPL,574,MEAN_THEN_MAP,MEAN_THEN_MAP,0,0,0,0.0
aggregation,AAPL,574,MAP_THEN_MEAN,CONTROL,169,79,90,-0.01724762618690645
aggregation,AAPL,574,MAP_THEN_MEAN,FULL,163,81,82,-0.005334832583708149
aggregation,AAPL,574,MAP_THEN_MEAN,SET_BASE,37,19,18,0.0021957771114442526
aggregation,AAPL,574,MAP_THEN_MEAN,MEAN_THEN_MAP,5,4,1,0.003657546226886632
aggregation,AAPL,575,SET_BASE,CONTROL,175,70,105,-0.050274862568715606
aggregation,AAPL,575,SET_BASE,FULL,170,76,94,-0.028641929035482128
aggregation,AAPL,575,SET_BASE,SET_BASE,0,0,0,0.0
aggregation,AAPL,575,SET_BASE,MEAN_THEN_MAP,29,17,12,0.005956396801599317
aggregation,AAPL,575,MEAN_LINEAR,CONTROL,165,63,102,-0.052570589705147386
aggregation,AAPL,575,MEAN_LINEAR,FULL,178,78,100,-0.030937656171913908
aggregation,AAPL,575,MEAN_LINEAR,SET_BASE,78,37,41,-0.00229572713643178
aggregation,AAPL,575,MEAN_LINEAR,MEAN_THEN_MAP,71,36,35,0.0036606696651675374
aggregation,AAPL,575,MEAN_THEN_MAP,CONTROL,182,71,111,-0.05623125937031492
aggregation,AAPL,575,MEAN_THEN_MAP,FULL,169,73,96,-0.034598325837081445
aggregation,AAPL,575,MEAN_THEN_MAP,SET_BASE,29,12,17,-0.005956396801599317
aggregation,AAPL,575,MEAN_THEN_MAP,MEAN_THEN_MAP,0,0,0,0.0
aggregation,AAPL,575,MAP_THEN_MEAN,CONTROL,182,72,110,-0.05351386806596703
aggregation,AAPL,575,MAP_THEN_MEAN,FULL,173,76,97,-0.03188093453273355
aggregation,AAPL,575,MAP_THEN_MEAN,SET_BASE,27,12,15,-0.0032390054972514237
aggregation,AAPL,575,MAP_THEN_MEAN,MEAN_THEN_MAP,8,5,3,0.0027173913043478937
aggregation,AMZN,573,SET_BASE,CONTROL,70,28,42,-0.017347343378271374
aggregation,AMZN,573,SET_BASE,FULL,69,29,40,-0.013394627279936566
aggregation,AMZN,573,SET_BASE,SET_BASE,0,0,0,0.0
aggregation,AMZN,573,SET_BASE,MEAN_THEN_MAP,7,4,3,0.0012019230769230171
aggregation,AMZN,573,MEAN_LINEAR,CONTROL,86,34,52,-0.022675455987311688
aggregation,AMZN,573,MEAN_LINEAR,FULL,81,33,48,-0.01872273988897688
aggregation,AMZN,573,MEAN_LINEAR,SET_BASE,32,14,18,-0.005328112609040314
aggregation,AMZN,573,MEAN_LINEAR,MEAN_THEN_MAP,29,13,16,-0.004126189532117297
aggregation,AMZN,573,MEAN_THEN_MAP,CONTROL,73,29,44,-0.01854926645519439
aggregation,AMZN,573,MEAN_THEN_MAP,FULL,70,29,41,-0.014596550356859583
aggregation,AMZN,573,MEAN_THEN_MAP,SET_BASE,7,3,4,-0.0012019230769230171
aggregation,AMZN,573,MEAN_THEN_MAP,MEAN_THEN_MAP,0,0,0,0.0
aggregation,AMZN,573,MAP_THEN_MEAN,CONTROL,73,31,42,-0.013654837430610689
aggregation,AMZN,573,MAP_THEN_MEAN,FULL,68,30,38,-0.009702121332275881
aggregation,AMZN,573,MAP_THEN_MEAN,SET_BASE,9,6,3,0.0036925059476606847
aggregation,AMZN,573,MAP_THEN_MEAN,MEAN_THEN_MAP,6,5,1,0.004894429024583702
aggregation,AMZN,574,SET_BASE,CONTROL,65,22,43,-0.025760804916732605
aggregation,AMZN,574,SET_BASE,FULL,69,28,41,-0.016058683584456723
aggregation,AMZN,574,SET_BASE,SET_BASE,0,0,0,0.0
aggregation,AMZN,574,SET_BASE,MEAN_THEN_MAP,14,6,8,-0.0028375297383028686
aggregation,AMZN,574,MEAN_LINEAR,CONTROL,79,33,46,-0.016492367168913447
aggregation,AMZN,574,MEAN_LINEAR,FULL,69,32,37,-0.006790245836637565
aggregation,AMZN,574,MEAN_LINEAR,SET_BASE,34,21,13,0.009268437747819158
aggregation,AMZN,574,MEAN_LINEAR,MEAN_THEN_MAP,34,20,14,0.00643090800951629
aggregation,AMZN,574,MEAN_THEN_MAP,CONTROL,73,27,46,-0.022923275178429736
aggregation,AMZN,574,MEAN_THEN_MAP,FULL,73,31,42,-0.013221153846153855
aggregation,AMZN,574,MEAN_THEN_MAP,SET_BASE,14,8,6,0.0028375297383028686
aggregation,AMZN,574,MEAN_THEN_MAP,MEAN_THEN_MAP,0,0,0,0.0
aggregation,AMZN,574,MAP_THEN_MEAN,CONTROL,73,27,46,-0.022923275178429736
aggregation,AMZN,574,MAP_THEN_MEAN,FULL,73,31,42,-0.013221153846153855
aggregation,AMZN,574,MAP_THEN_MEAN,SET_BASE,14,8,6,0.0028375297383028686
aggregation,AMZN,574,MAP_THEN_MEAN,MEAN_THEN_MAP,0,0,0,0.0
aggregation,AMZN,575,SET_BASE,CONTROL,71,33,38,-0.005836141950832596
aggregation,AMZN,575,SET_BASE,FULL,57,31,26,0.0062698255352895416
aggregation,AMZN,575,SET_BASE,SET_BASE,0,0,0,0.0
aggregation,AMZN,575,SET_BASE,MEAN_THEN_MAP,32,22,10,0.014943497224425117
aggregation,AMZN,575,MEAN_LINEAR,CONTROL,84,37,47,-0.012626387787470272
aggregation,AMZN,575,MEAN_LINEAR,FULL,72,36,36,-0.0005204203013481346
aggregation,AMZN,575,MEAN_LINEAR,SET_BASE,43,19,24,-0.006790245836637676
aggregation,AMZN,575,MEAN_LINEAR,MEAN_THEN_MAP,35,21,14,0.008153251387787441
aggregation,AMZN,575,MEAN_THEN_MAP,CONTROL,81,32,49,-0.020779639175257714
aggregation,AMZN,575,MEAN_THEN_MAP,FULL,71,32,39,-0.008673671689135576
aggregation,AMZN,575,MEAN_THEN_MAP,SET_BASE,32,10,22,-0.014943497224425117
aggregation,AMZN,575,MEAN_THEN_MAP,MEAN_THEN_MAP,0,0,0,0.0
aggregation,AMZN,575,MAP_THEN_MEAN,CONTROL,82,33,49,-0.019404242664551985
aggregation,AMZN,575,MAP_THEN_MEAN,FULL,70,32,38,-0.007298275178429847
aggregation,AMZN,575,MAP_THEN_MEAN,SET_BASE,29,9,20,-0.013568100713719389
aggregation,AMZN,575,MAP_THEN_MEAN,MEAN_THEN_MAP,3,2,1,0.0013753965107057287
