stage,symbol,seed,block,method,n,BA,Brier,MCC,accuracy,predicted_up,constant
preprocess,AAPL,573,573_AAPL_0,PRICE,81,0.5095208845208845,0.2578037160293698,0.019402668530550206,0.5185185185185185,0.6049382716049383,False
preprocess,AAPL,573,573_AAPL_0,FULL,81,0.6765970515970516,0.22608527439721085,0.3531941031941032,0.6790123456790124,0.5432098765432098,False
preprocess,AAPL,573,573_AAPL_0,CONTROL,81,0.7014742014742015,0.2075953862636269,0.40294840294840295,0.7037037037037037,0.5432098765432098,False
preprocess,AAPL,573,573_AAPL_0,FREQUENCY,81,0.6901105651105651,0.21106813825048448,0.3795224077987308,0.691358024691358,0.5308641975308642,False
preprocess,AAPL,573,573_AAPL_0,NEGATION,81,0.7014742014742015,0.207485144222083,0.40294840294840295,0.7037037037037037,0.5432098765432098,False
preprocess,AAPL,573,573_AAPL_0,NUMERIC,81,0.6901105651105651,0.20801964618636917,0.3795224077987308,0.691358024691358,0.5308641975308642,False
preprocess,AAPL,573,573_AAPL_0,NO_STEM,81,0.7057739557739557,0.20897050907063566,0.41003948407224416,0.7037037037037037,0.49382716049382713,False
preprocess,AAPL,573,573_AAPL_1,PRICE,81,0.5095208845208845,0.2615752668898987,0.019402668530550206,0.5185185185185185,0.6049382716049383,False
preprocess,AAPL,573,573_AAPL_1,FULL,81,0.687960687960688,0.23116998427562413,0.3768484337432518,0.691358024691358,0.5555555555555556,False
preprocess,AAPL,573,573_AAPL_1,CONTROL,81,0.7199017199017199,0.19632909059906178,0.4507336406057551,0.7283950617283951,0.6172839506172839,False
preprocess,AAPL,573,573_AAPL_1,FREQUENCY,81,0.6523341523341524,0.19948369884904157,0.32507716041059354,0.6666666666666666,0.6790123456790124,False
preprocess,AAPL,573,573_AAPL_1,NEGATION,81,0.7199017199017199,0.19632323538876043,0.4507336406057551,0.7283950617283951,0.6172839506172839,False
preprocess,AAPL,573,573_AAPL_1,NUMERIC,81,0.6928746928746929,0.19875552147387038,0.40080374674179897,0.7037037037037037,0.6419753086419753,False
preprocess,AAPL,573,573_AAPL_1,NO_STEM,81,0.7469287469287469,0.19193762332434014,0.5006696431572245,0.7530864197530864,0.5925925925925926,False
