block,scope,unique_train_chunks,positive_distances,sigma
573_AAPL_0,outer,27934,1024,38.4182203711177
573_AAPL_0,0,23520,1024,38.99332970134377
573_AAPL_0,1,22646,1024,38.15795513841906
573_AAPL_0,2,23327,1024,38.39220430713262
573_AAPL_1,outer,27963,1024,38.862766513583104
573_AAPL_1,0,22612,1024,37.692813993744856
573_AAPL_1,1,22479,1024,38.39397404917267
573_AAPL_1,2,22577,1024,38.43537553761174
573_AAPL_2,outer,27998,1024,38.58138014689222
573_AAPL_2,0,22521,1024,38.55470644206141
573_AAPL_2,1,22509,1024,38.01887034161878
573_AAPL_2,2,22540,1024,38.38555028818278
573_AAPL_3,outer,27692,1024,38.875209164525366
573_AAPL_3,0,22949,1024,38.495811909622596
573_AAPL_3,1,22687,1024,38.94102798702209
573_AAPL_3,2,22160,1024,38.540531927658066
573_AAPL_4,outer,27975,1024,38.347424102906686
573_AAPL_4,0,22296,1024,38.36621899623247
573_AAPL_4,1,22884,1024,38.32569504532413
573_AAPL_4,2,22605,1024,38.812657352674094
573_AAPL_5,outer,27991,1024,38.252171541762706
573_AAPL_5,0,22288,1024,38.209698556348854
573_AAPL_5,1,22421,1024,38.23175250495971
573_AAPL_5,2,22781,1024,38.15662282808358
573_AAPL_6,outer,28019,1024,38.61709615353746
573_AAPL_6,0,23561,1024,38.59032811026642
573_AAPL_6,1,22779,1024,38.927173859803034
573_AAPL_6,2,22670,1024,37.97599711308511
573_AAPL_7,outer,27675,1024,37.90675729035018
573_AAPL_7,0,22319,1024,38.1556018816417
573_AAPL_7,1,23012,1024,38.38367621132776
573_AAPL_7,2,23292,1024,38.75666471853233
573_AAPL_8,outer,27653,1024,38.303891186213846
573_AAPL_8,0,22797,1024,38.52106008782725
573_AAPL_8,1,22769,1024,38.48507622042716
573_AAPL_8,2,23540,1024,38.03422611564473
573_AAPL_9,outer,27624,1024,38.57869919461923
573_AAPL_9,0,22208,1024,38.3786476165177
573_AAPL_9,1,22879,1024,38.44765234702465
573_AAPL_9,2,22716,1024,38.42822161189976
573_AMZN_0,outer,1970,1023,38.34099596147375
573_AMZN_0,0,1636,1023,38.562514420964106
573_AMZN_0,1,1646,1023,38.250951301353346
573_AMZN_0,2,1647,1023,38.48559135585608
573_AMZN_1,outer,2040,1023,37.54033195109459
573_AMZN_1,0,1703,1023,37.760621511584304
573_AMZN_1,1,1722,1023,38.03230588297327
573_AMZN_1,2,1703,1023,37.78156295549508
573_AMZN_2,outer,1969,1023,38.43382643077785
573_AMZN_2,0,1607,1023,38.3136448713687
573_AMZN_2,1,1674,1023,38.23418645444133
573_AMZN_2,2,1550,1023,37.878214926809676
573_AMZN_3,outer,2039,1023,38.230249933363055
573_AMZN_3,0,1756,1023,38.15753001317258
573_AMZN_3,1,1611,1023,38.493589429638405
573_AMZN_3,2,1686,1023,38.34084776376823
573_AMZN_4,outer,1977,1023,38.36744394557361
573_AMZN_4,0,1538,1023,37.79387343705256
573_AMZN_4,1,1714,1023,38.429474596049985
573_AMZN_4,2,1665,1023,38.03844513149591
573_AMZN_5,outer,2007,1023,37.634345774384194
573_AMZN_5,0,1685,1023,38.10596193090916
573_AMZN_5,1,1677,1023,37.90645798425797
573_AMZN_5,2,1705,1023,38.36812389576566
573_AMZN_6,outer,2019,1023,38.13176129162773
573_AMZN_6,0,1668,1023,38.46468271747065
573_AMZN_6,1,1697,1023,38.11523281946821
573_AMZN_6,2,1639,1023,37.99851476803967
573_AMZN_7,outer,2016,1023,37.667910354260975
573_AMZN_7,0,1712,1023,37.853294024684445
573_AMZN_7,1,1690,1023,38.27476415610127
573_AMZN_7,2,1644,1023,38.252894281345206
573_AMZN_8,outer,2070,1023,38.361077840893714
573_AMZN_8,0,1836,1023,38.16088409543058
573_AMZN_8,1,1730,1023,38.08309702927785
573_AMZN_8,2,1678,1023,38.21068370735223
573_AMZN_9,outer,2045,1023,37.8692915783531
573_AMZN_9,0,1700,1023,37.8438998954686
573_AMZN_9,1,1745,1023,38.169609033398324
573_AMZN_9,2,1628,1023,38.020013549807054
574_AAPL_0,outer,27769,1024,38.085165176472515
574_AAPL_0,0,22933,1024,38.68594284251999
574_AAPL_0,1,22589,1024,38.38955246280709
574_AAPL_0,2,22762,1024,38.35577048651146
574_AAPL_1,outer,27871,1024,38.35064273194088
574_AAPL_1,0,22498,1024,38.34320396060697
574_AAPL_1,1,22659,1024,38.70827498965348
574_AAPL_1,2,23407,1024,38.10156232741038
574_AAPL_2,outer,27688,1024,38.263336662564726
574_AAPL_2,0,21303,1024,38.584999420717374
574_AAPL_2,1,23304,1024,38.3684262853949
574_AAPL_2,2,23001,1024,38.29956716978107
574_AAPL_3,outer,27905,1024,38.20814875199409
574_AAPL_3,0,23126,1024,37.85347768726205
574_AAPL_3,1,23160,1024,38.73673656963825
574_AAPL_3,2,21401,1024,38.54228299132244
574_AAPL_4,outer,27786,1024,38.45592266524471
574_AAPL_4,0,21517,1024,38.183643248547085
574_AAPL_4,1,22443,1024,38.75820489542489
574_AAPL_4,2,22425,1024,38.02595424514528
574_AAPL_5,outer,27897,1024,38.56364400069359
574_AAPL_5,0,23143,1024,38.34837015638316
574_AAPL_5,1,23169,1024,38.16936628156182
574_AAPL_5,2,22364,1024,39.25363797554938
574_AAPL_6,outer,28045,1024,38.38239882460261
574_AAPL_6,0,23563,1024,38.095921188323786
574_AAPL_6,1,22824,1024,38.39901646974287
574_AAPL_6,2,22911,1024,38.18086085459859
574_AAPL_7,outer,28104,1024,38.31257708893516
574_AAPL_7,0,22983,1024,38.4281809044995
574_AAPL_7,1,22725,1024,38.91579265345844
574_AAPL_7,2,23707,1024,38.59420013508842
574_AAPL_8,outer,27645,1024,38.51747539855255
574_AAPL_8,0,22451,1024,38.001004169465546
574_AAPL_8,1,22759,1024,38.46053918420022
574_AAPL_8,2,22801,1024,38.27385094132237
574_AAPL_9,outer,27960,1024,38.43455361062626
574_AAPL_9,0,22602,1024,38.54294345733615
574_AAPL_9,1,22847,1024,38.15433488030541
574_AAPL_9,2,22098,1024,38.47049921637584
574_AMZN_0,outer,2003,1023,37.830027948717046
574_AMZN_0,0,1633,1023,37.99160762230831
574_AMZN_0,1,1718,1023,38.30963639272734
574_AMZN_0,2,1615,1023,38.16532303368937
574_AMZN_1,outer,2039,1023,37.974055079365804
574_AMZN_1,0,1658,1023,38.376277243018905
574_AMZN_1,1,1624,1023,37.90726955496324
574_AMZN_1,2,1719,1023,38.311910751371535
574_AMZN_2,outer,2026,1023,37.93830016976724
574_AMZN_2,0,1689,1023,37.93621320956403
574_AMZN_2,1,1638,1023,37.953068069122224
574_AMZN_2,2,1662,1023,38.08825076993192
574_AMZN_3,outer,1974,1023,38.32519904183732
574_AMZN_3,0,1685,1023,38.15718309922682
574_AMZN_3,1,1707,1023,37.97712940544975
574_AMZN_3,2,1649,1023,38.009364040341275
574_AMZN_4,outer,1991,1023,38.14425112396613
574_AMZN_4,0,1641,1023,38.19628438059147
574_AMZN_4,1,1614,1023,38.230636556792284
574_AMZN_4,2,1663,1023,37.853751305958575
574_AMZN_5,outer,1990,1023,37.82592271282404
574_AMZN_5,0,1721,1023,37.93935530206188
574_AMZN_5,1,1640,1023,37.92096164231405
574_AMZN_5,2,1633,1023,38.54167838290264
574_AMZN_6,outer,2048,1023,38.05364510602963
574_AMZN_6,0,1747,1023,37.98204183502228
574_AMZN_6,1,1672,1023,38.192976094242375
574_AMZN_6,2,1600,1023,38.25816548506145
574_AMZN_7,outer,2045,1023,37.929808349660256
574_AMZN_7,0,1728,1023,38.0933646561549
574_AMZN_7,1,1565,1023,38.03044193622717
574_AMZN_7,2,1680,1023,37.894652523885334
574_AMZN_8,outer,1994,1023,38.166207091261974
574_AMZN_8,0,1578,1023,38.12027310397913
574_AMZN_8,1,1646,1023,38.20975319041213
574_AMZN_8,2,1683,1023,38.046341102582666
574_AMZN_9,outer,2036,1023,38.273222811133955
574_AMZN_9,0,1686,1023,37.94417512892103
574_AMZN_9,1,1740,1023,38.14552960025846
574_AMZN_9,2,1632,1023,37.877368184207555
575_AAPL_0,outer,27757,1024,38.31583382417105
575_AAPL_0,0,23010,1024,38.54280826790709
575_AAPL_0,1,22128,1024,38.39429206969957
575_AAPL_0,2,22551,1024,38.069848621528784
575_AAPL_1,outer,27531,1024,38.422609499118614
575_AAPL_1,0,22385,1024,38.8279293035273
575_AAPL_1,1,22100,1024,38.64277447554085
575_AAPL_1,2,23529,1024,38.2563465584539
575_AAPL_2,outer,27810,1023,38.492901386215756
575_AAPL_2,0,22195,1024,38.11429583714189
575_AAPL_2,1,22651,1024,38.029101252336545
575_AAPL_2,2,22843,1024,38.56445844578165
575_AAPL_3,outer,27787,1024,38.47066559922519
575_AAPL_3,0,22054,1024,38.535473396468866
575_AAPL_3,1,22538,1024,38.48578875408253
575_AAPL_3,2,22010,1024,37.78200065142848
575_AAPL_4,outer,28015,1024,38.25755400866429
575_AAPL_4,0,22774,1024,38.524488636443465
575_AAPL_4,1,23466,1024,38.627050974795736
575_AAPL_4,2,22461,1024,38.393635658471624
575_AAPL_5,outer,27876,1024,38.24402774893578
575_AAPL_5,0,22713,1024,38.898122811418204
575_AAPL_5,1,21945,1024,38.36595429757677
575_AAPL_5,2,23102,1024,38.431362103071514
575_AAPL_6,outer,27927,1024,38.74073432726242
575_AAPL_6,0,22905,1024,38.33596549994686
575_AAPL_6,1,23083,1024,38.046752719853615
