stage,symbol,seed,method,n,BA,Brier,MCC,accuracy,predicted_up,constant
preprocess,AAPL,573,PRICE,803,0.5504091704147926,0.2478817037373582,0.10458042496729086,0.5616438356164384,0.638854296388543,False
preprocess,AAPL,573,FULL,803,0.684495252373813,0.21863635061314832,0.3725424956922409,0.6899128268991283,0.5803237858032378,False
preprocess,AAPL,573,CONTROL,803,0.7103073463268366,0.20402642750856334,0.4255724264388147,0.7160647571606475,0.5865504358655044,False
preprocess,AAPL,573,FREQUENCY,803,0.7050818340829585,0.20594492798223443,0.41537292610815113,0.7110834371108343,0.589041095890411,False
preprocess,AAPL,573,NEGATION,803,0.7089486506746627,0.20407869555257693,0.42301240968533893,0.7148194271481942,0.5877957658779577,False
preprocess,AAPL,573,NUMERIC,803,0.6932721139430285,0.204666646829927,0.3923847331100105,0.6998754669987547,0.5952677459526775,False
preprocess,AAPL,573,NO_STEM,803,0.7039324087956023,0.20695431030616077,0.4128571272368785,0.709838107098381,0.5877957658779577,False
preprocess,AAPL,574,PRICE,803,0.5640960769615192,0.24624599942631864,0.13583632011124291,0.5778331257783312,0.6699875466998755,False
preprocess,AAPL,574,FULL,803,0.661922163918041,0.22517902151595204,0.3269617308725784,0.6674968866749689,0.5803237858032378,False
preprocess,AAPL,574,CONTROL,803,0.6738349575212393,0.20671421415220412,0.35192543254611625,0.6799501867995019,0.5877957658779577,False
preprocess,AAPL,574,FREQUENCY,803,0.7015304847576211,0.20732063158706976,0.40583894371216983,0.7061021170610212,0.5716064757160647,False
preprocess,AAPL,574,NEGATION,803,0.6724762618690654,0.20675745979417315,0.34933357163057777,0.6787048567870486,0.589041095890411,False
preprocess,AAPL,574,NUMERIC,803,0.6856446776611693,0.20678557206984088,0.37501872869633457,0.6911581569115816,0.5815691158156912,False
preprocess,AAPL,574,NO_STEM,803,0.6798975512243878,0.2093066163156835,0.3626816709507642,0.684931506849315,0.5753424657534246,False
preprocess,AAPL,575,PRICE,803,0.5605478510744628,0.2462306541816014,0.12447752686370779,0.5703611457036114,0.6226650062266501,False
preprocess,AAPL,575,FULL,803,0.6806284357821089,0.22461935835913516,0.364885474804984,0.6861768368617683,0.5815691158156912,False
preprocess,AAPL,575,CONTROL,803,0.7022613693153423,0.2054041163554117,0.4080868844887497,0.7073474470734745,0.5778331257783312,False
preprocess,AAPL,575,FREQUENCY,803,0.6971420539730135,0.2077399186845775,0.3961819519078703,0.701120797011208,0.564134495641345,False
preprocess,AAPL,575,NEGATION,803,0.7063374562718641,0.20527697005803575,0.415827387770006,0.7110834371108343,0.5740971357409713,False
preprocess,AAPL,575,NUMERIC,803,0.6817778610694653,0.20672547214734419,0.36736196746005667,0.6874221668742216,0.5828144458281445,False
preprocess,AAPL,575,NO_STEM,803,0.6887806096951524,0.2082222247955732,0.3804454567266491,0.6936488169364882,0.5740971357409713,False
preprocess,AMZN,573,PRICE,804,0.5302835051546392,0.2533903070634105,0.06167216968605176,0.5335820895522388,0.595771144278607,False
preprocess,AMZN,573,FULL,804,0.6118903647898493,0.25076918341484516,0.2244023506825673,0.6131840796019901,0.5410447761194029,False
