stage,symbol,seed,method,month,n,BA,Brier,MCC,accuracy,predicted_up,constant
preprocess,AAPL,573,PRICE,2018-01,59,0.5758101851851851,0.23993344410616538,0.16678819876485512,0.5932203389830508,0.711864406779661,False
preprocess,AAPL,573,PRICE,2018-02,57,0.639375,0.22258893191251505,0.2819398686139768,0.6491228070175439,0.5964912280701754,False
preprocess,AAPL,573,PRICE,2018-03,62,0.3520833333333333,0.2786768258762606,-0.2996020627622514,0.3548387096774194,0.5806451612903226,False
preprocess,AAPL,573,PRICE,2018-04,63,0.6068548387096775,0.2589289178483806,0.24070030928767125,0.6031746031746031,0.7301587301587301,False
preprocess,AAPL,573,PRICE,2018-05,66,0.5200372786579683,0.24517553314536944,0.04392814509203082,0.5454545454545454,0.7121212121212122,False
preprocess,AAPL,573,PRICE,2018-06,63,0.5925925925925926,0.249364608406962,0.186145197762485,0.6031746031746031,0.5873015873015873,False
preprocess,AAPL,573,PRICE,2018-07,60,0.5494505494505495,0.2348562848397802,0.10140849540810587,0.6,0.6833333333333333,False
preprocess,AAPL,573,PRICE,2018-08,69,0.5964052287581699,0.22291891584596277,0.1964833676897975,0.6956521739130435,0.7536231884057971,False
preprocess,AAPL,573,PRICE,2018-09,57,0.5997536945812808,0.2369895645704382,0.21456972463472546,0.5964912280701754,0.6842105263157895,False
preprocess,AAPL,573,PRICE,2018-10,69,0.5217948717948717,0.24363247532984625,0.04427623847752457,0.5072463768115942,0.6086956521739131,False
preprocess,AAPL,573,PRICE,2018-11,60,0.5628476084538376,0.26346122628836544,0.12919146336922627,0.5666666666666667,0.6166666666666667,False
preprocess,AAPL,573,PRICE,2018-12,53,0.5719814241486068,0.25688231562169656,0.13929712218403822,0.5849056603773585,0.4339622641509434,False
preprocess,AAPL,573,PRICE,2019-01,63,0.41632016632016633,0.26576196380293454,-0.1658155677094358,0.42857142857142855,0.5555555555555556,False
preprocess,AAPL,573,PRICE,2019-02,2,,0.3830284734715391,,,1.0,True
preprocess,AAPL,573,FULL,2018-01,59,0.6927083333333333,0.2436210596554085,0.3854166666666667,0.6949152542372882,0.5423728813559322,False
preprocess,AAPL,573,FULL,2018-02,57,0.7150000000000001,0.1825085806874265,0.43,0.7192982456140351,0.5614035087719298,False
preprocess,AAPL,573,FULL,2018-03,62,0.7572916666666667,0.18786029868479362,0.5153892591730216,0.7580645161290323,0.532258064516129,False
preprocess,AAPL,573,FULL,2018-04,63,0.7474798387096775,0.19168905358442173,0.5026180952786744,0.746031746031746,0.5873015873015873,False
preprocess,AAPL,573,FULL,2018-05,66,0.7712022367194781,0.16045967616633544,0.5406438236213209,0.7727272727272727,0.5454545454545454,False
preprocess,AAPL,573,FULL,2018-06,63,0.7314814814814815,0.17783784539504946,0.4758668672668006,0.746031746031746,0.6349206349206349,False
preprocess,AAPL,573,FULL,2018-07,60,0.6227106227106227,0.22929264531388585,0.2516433034201146,0.6666666666666666,0.6833333333333333,False
preprocess,AAPL,573,FULL,2018-08,69,0.522875816993464,0.23026020446641066,0.05137623327375897,0.6666666666666666,0.8115942028985508,False
preprocess,AAPL,573,FULL,2018-09,57,0.5991379310344828,0.26224137876645304,0.20769785029630752,0.5964912280701754,0.6491228070175439,False
preprocess,AAPL,573,FULL,2018-10,69,0.6076923076923078,0.2599224396429855,0.21374668579336073,0.6086956521739131,0.4782608695652174,False
preprocess,AAPL,573,FULL,2018-11,60,0.6318131256952169,0.2722067394013185,0.2648071139695897,0.6333333333333333,0.55,False
preprocess,AAPL,573,FULL,2018-12,53,0.6896284829721362,0.22240042485787162,0.40374987188384637,0.7358490566037735,0.2830188679245283,False
preprocess,AAPL,573,FULL,2019-01,63,0.6148648648648649,0.22431398173539485,0.2349150407716129,0.6349206349206349,0.6349206349206349,False
preprocess,AAPL,573,FULL,2019-02,2,,0.24557932970907592,,,0.5,False
preprocess,AAPL,573,CONTROL,2018-01,59,0.6556712962962963,0.2274075094597801,0.3138961188362788,0.6610169491525424,0.576271186440678,False
preprocess,AAPL,573,CONTROL,2018-02,57,0.7462500000000001,0.19494241867105094,0.49813591136281105,0.7543859649122807,0.5964912280701754,False
preprocess,AAPL,573,CONTROL,2018-03,62,0.7885416666666667,0.17404929410288494,0.5816453279086441,0.7903225806451613,0.5645161290322581,False
preprocess,AAPL,573,CONTROL,2018-04,63,0.7006048387096775,0.2131181579081785,0.41661348421698563,0.6984126984126984,0.6349206349206349,False
preprocess,AAPL,573,CONTROL,2018-05,66,0.842497670083877,0.17491081443091727,0.6914699202022049,0.8484848484848485,0.5909090909090909,False
preprocess,AAPL,573,CONTROL,2018-06,63,0.7546296296296297,0.185151703890121,0.5118992938468337,0.7619047619047619,0.5873015873015873,False
preprocess,AAPL,573,CONTROL,2018-07,60,0.7069597069597069,0.1891278879892038,0.4139194139194139,0.7333333333333333,0.65,False
preprocess,AAPL,573,CONTROL,2018-08,69,0.6552287581699346,0.18339103988628305,0.3724030078367606,0.782608695652174,0.8405797101449275,False
preprocess,AAPL,573,CONTROL,2018-09,57,0.5634236453201971,0.2502239389821157,0.1302608319197154,0.5614035087719298,0.6140350877192983,False
preprocess,AAPL,573,CONTROL,2018-10,69,0.6166666666666667,0.23746764211123056,0.23333333333333334,0.6231884057971014,0.43478260869565216,False
preprocess,AAPL,573,CONTROL,2018-11,60,0.6167964404894327,0.23512228407478725,0.23346307108777453,0.6166666666666667,0.5,False
preprocess,AAPL,573,CONTROL,2018-12,53,0.7391640866873065,0.19263455194667037,0.4732278033866082,0.7547169811320755,0.37735849056603776,False
preprocess,AAPL,573,CONTROL,2019-01,63,0.6803534303534303,0.20073155647623478,0.368848502930994,0.6984126984126984,0.6349206349206349,False
preprocess,AAPL,573,CONTROL,2019-02,2,,0.13277293603116624,,,0.0,True
preprocess,AAPL,573,FREQUENCY,2018-01,59,0.6186342592592593,0.22205026761764093,0.24237165111881034,0.6271186440677966,0.6101694915254238,False
preprocess,AAPL,573,FREQUENCY,2018-02,57,0.781875,0.19204222140731717,0.5702012589457558,0.7894736842105263,0.5964912280701754,False
preprocess,AAPL,573,FREQUENCY,2018-03,62,0.771875,0.1869372561680421,0.5506770308517437,0.7741935483870968,0.5806451612903226,False
preprocess,AAPL,573,FREQUENCY,2018-04,63,0.6844758064516129,0.21861729792803772,0.3798283045573724,0.6825396825396826,0.6190476190476191,False
preprocess,AAPL,573,FREQUENCY,2018-05,66,0.8597390493942219,0.17338289316335892,0.722514596637342,0.8636363636363636,0.5757575757575758,False
preprocess,AAPL,573,FREQUENCY,2018-06,63,0.6712962962962963,0.20547159427313122,0.34653675028522674,0.6825396825396826,0.6031746031746031,False
preprocess,AAPL,573,FREQUENCY,2018-07,60,0.6959706959706959,0.18770909340066222,0.40187811143212326,0.7333333333333333,0.6833333333333333,False
preprocess,AAPL,573,FREQUENCY,2018-08,69,0.6830065359477124,0.1786084905943207,0.424023460395971,0.7971014492753623,0.8260869565217391,False
preprocess,AAPL,573,FREQUENCY,2018-09,57,0.5806650246305419,0.2510752795869375,0.16439549208355386,0.5789473684210527,0.5964912280701754,False
preprocess,AAPL,573,FREQUENCY,2018-10,69,0.6461538461538461,0.23341153920792598,0.2923076923076923,0.6521739130434783,0.43478260869565216,False
preprocess,AAPL,573,FREQUENCY,2018-11,60,0.6674082313681868,0.2327133500844127,0.3348164627363737,0.6666666666666666,0.48333333333333334,False
preprocess,AAPL,573,FREQUENCY,2018-12,53,0.7538699690402477,0.1906896669184915,0.5077399380804953,0.7735849056603774,0.3584905660377358,False
preprocess,AAPL,573,FREQUENCY,2019-01,63,0.5764033264033264,0.21003854315463946,0.1595862634056436,0.6031746031746031,0.6666666666666666,False
preprocess,AAPL,573,FREQUENCY,2019-02,2,,0.1352117764325623,,,0.0,True
preprocess,AAPL,573,NEGATION,2018-01,59,0.6556712962962963,0.2275171574498555,0.3138961188362788,0.6610169491525424,0.576271186440678,False
preprocess,AAPL,573,NEGATION,2018-02,57,0.7462500000000001,0.19536232588908684,0.49813591136281105,0.7543859649122807,0.5964912280701754,False
preprocess,AAPL,573,NEGATION,2018-03,62,0.7885416666666667,0.17442936191403746,0.5816453279086441,0.7903225806451613,0.5645161290322581,False
preprocess,AAPL,573,NEGATION,2018-04,63,0.7006048387096775,0.2134705201735965,0.41661348421698563,0.6984126984126984,0.6349206349206349,False
preprocess,AAPL,573,NEGATION,2018-05,66,0.842497670083877,0.17484709961050549,0.6914699202022049,0.8484848484848485,0.5909090909090909,False
preprocess,AAPL,573,NEGATION,2018-06,63,0.7546296296296297,0.18533998334755053,0.5118992938468337,0.7619047619047619,0.5873015873015873,False
preprocess,AAPL,573,NEGATION,2018-07,60,0.7069597069597069,0.1889513403238241,0.4139194139194139,0.7333333333333333,0.65,False
preprocess,AAPL,573,NEGATION,2018-08,69,0.6552287581699346,0.18317069601865238,0.3724030078367606,0.782608695652174,0.8405797101449275,False
