stage,symbol,method,reference,bootstrap,delta_BA,low,high
preprocess,AAPL,FREQUENCY,CONTROL,day1,0.005783566550058304,-0.008161160244163362,0.02064585078573445
preprocess,AAPL,FREQUENCY,CONTROL,day5,0.005783566550058304,-0.008662380458415404,0.02031999917716157
preprocess,AAPL,FREQUENCY,FULL,day1,0.025569506913210062,0.0001432100550252145,0.05058430758632005
preprocess,AAPL,FREQUENCY,FULL,day5,0.025569506913210062,0.0011764536850279545,0.05137448459805761
preprocess,AAPL,NEGATION,CONTROL,day1,0.00045289855072463763,-0.0025038766020585167,0.003613614940497231
preprocess,AAPL,NEGATION,CONTROL,day5,0.00045289855072463763,-0.0022787344747474247,0.0038064422902383166
preprocess,AAPL,NEGATION,FULL,day1,0.020238838913876393,-0.0037449716086935775,0.04468791045022724
preprocess,AAPL,NEGATION,FULL,day5,0.020238838913876393,-0.006448993689484231,0.04783327450356025
preprocess,AAPL,NUMERIC,CONTROL,day1,-0.008569673496585039,-0.020836468662628387,0.003546929865541073
preprocess,AAPL,NUMERIC,CONTROL,day5,-0.008569673496585039,-0.019737369719618085,0.0024979801416591817
preprocess,AAPL,NUMERIC,FULL,day1,0.011216266866566715,-0.012897210071002184,0.03551870385825714
preprocess,AAPL,NUMERIC,FULL,day5,0.011216266866566715,-0.01305315313632458,0.03709688102948596
preprocess,AAPL,NO_STEM,CONTROL,day1,-0.004597701149425288,-0.020168854815311284,0.010989216213368493
preprocess,AAPL,NO_STEM,CONTROL,day5,-0.004597701149425288,-0.01834262065041015,0.008283746075312405
preprocess,AAPL,NO_STEM,FULL,day1,0.015188239213726468,-0.010899730050386693,0.04137788004904911
preprocess,AAPL,NO_STEM,FULL,day5,0.015188239213726468,-0.009892123511741534,0.04190417520336174
preprocess,AMZN,FREQUENCY,CONTROL,day1,-0.005323982289188475,-0.014804895277030482,0.005047145739888675
preprocess,AMZN,FREQUENCY,CONTROL,day5,-0.005323982289188475,-0.014696401334190364,0.00455131152536854
preprocess,AMZN,FREQUENCY,FULL,day1,0.0032629526830557755,-0.013686298112603898,0.0192968737767597
preprocess,AMZN,FREQUENCY,FULL,day5,0.0032629526830557755,-0.01135948640322831,0.018707990033061228
preprocess,AMZN,NEGATION,CONTROL,day1,0.0021766785619878404,-0.0007127785858706544,0.005178693365931522
preprocess,AMZN,NEGATION,CONTROL,day5,0.0021766785619878404,-0.0007301117980907098,0.005084108306742182
preprocess,AMZN,NEGATION,FULL,day1,0.01076361353423209,-0.005133928751134499,0.02689567651416465
preprocess,AMZN,NEGATION,FULL,day5,0.01076361353423209,-0.003360356614929785,0.02550003914513959
preprocess,AMZN,NUMERIC,CONTROL,day1,0.004522700237906424,-0.0016229678856326643,0.010459055609560487
preprocess,AMZN,NUMERIC,CONTROL,day5,0.004522700237906424,-0.0004893587225385808,0.00993356785562245
preprocess,AMZN,NUMERIC,FULL,day1,0.013109635210150673,-0.002110301523675301,0.028868367038070133
preprocess,AMZN,NUMERIC,FULL,day5,0.013109635210150673,-0.001230571817284369,0.02789301537405599
preprocess,AMZN,NO_STEM,CONTROL,day1,-0.00784347739888977,-0.01723815855474533,0.0007618311432947806
preprocess,AMZN,NO_STEM,CONTROL,day5,-0.00784347739888977,-0.01813279605521234,0.0024805839124195143
