stage,block,stock,seed,method,C
preprocess,573_AAPL_0,AAPL,573,FREQUENCY,1.0
preprocess,573_AAPL_0,AAPL,573,NEGATION,1.0
preprocess,573_AAPL_0,AAPL,573,NUMERIC,1.0
preprocess,573_AAPL_0,AAPL,573,NO_STEM,1.0
preprocess,573_AAPL_1,AAPL,573,FREQUENCY,1.0
preprocess,573_AAPL_1,AAPL,573,NEGATION,1.0
preprocess,573_AAPL_1,AAPL,573,NUMERIC,1.0
preprocess,573_AAPL_1,AAPL,573,NO_STEM,1.0
preprocess,573_AAPL_2,AAPL,573,FREQUENCY,1.0
preprocess,573_AAPL_2,AAPL,573,NEGATION,1.0
preprocess,573_AAPL_2,AAPL,573,NUMERIC,1.0
preprocess,573_AAPL_2,AAPL,573,NO_STEM,1.0
preprocess,573_AAPL_3,AAPL,573,FREQUENCY,1.0
preprocess,573_AAPL_3,AAPL,573,NEGATION,1.0
preprocess,573_AAPL_3,AAPL,573,NUMERIC,1.0
preprocess,573_AAPL_3,AAPL,573,NO_STEM,1.0
preprocess,573_AAPL_4,AAPL,573,FREQUENCY,1.0
preprocess,573_AAPL_4,AAPL,573,NEGATION,1.0
preprocess,573_AAPL_4,AAPL,573,NUMERIC,1.0
preprocess,573_AAPL_4,AAPL,573,NO_STEM,1.0
preprocess,573_AAPL_5,AAPL,573,FREQUENCY,1.0
preprocess,573_AAPL_5,AAPL,573,NEGATION,1.0
preprocess,573_AAPL_5,AAPL,573,NUMERIC,1.0
preprocess,573_AAPL_5,AAPL,573,NO_STEM,1.0
preprocess,573_AAPL_6,AAPL,573,FREQUENCY,1.0
preprocess,573_AAPL_6,AAPL,573,NEGATION,1.0
preprocess,573_AAPL_6,AAPL,573,NUMERIC,1.0
preprocess,573_AAPL_6,AAPL,573,NO_STEM,1.0
preprocess,573_AAPL_7,AAPL,573,FREQUENCY,1.0
preprocess,573_AAPL_7,AAPL,573,NEGATION,1.0
preprocess,573_AAPL_7,AAPL,573,NUMERIC,1.0
preprocess,573_AAPL_7,AAPL,573,NO_STEM,1.0
preprocess,573_AAPL_8,AAPL,573,FREQUENCY,1.0
preprocess,573_AAPL_8,AAPL,573,NEGATION,1.0
preprocess,573_AAPL_8,AAPL,573,NUMERIC,1.0
preprocess,573_AAPL_8,AAPL,573,NO_STEM,1.0
preprocess,573_AAPL_9,AAPL,573,FREQUENCY,1.0
preprocess,573_AAPL_9,AAPL,573,NEGATION,1.0
preprocess,573_AAPL_9,AAPL,573,NUMERIC,1.0
preprocess,573_AAPL_9,AAPL,573,NO_STEM,1.0
preprocess,573_AMZN_0,AMZN,573,FREQUENCY,0.1
preprocess,573_AMZN_0,AMZN,573,NEGATION,0.1
preprocess,573_AMZN_0,AMZN,573,NUMERIC,0.1
preprocess,573_AMZN_0,AMZN,573,NO_STEM,0.1
preprocess,573_AMZN_1,AMZN,573,FREQUENCY,0.1
preprocess,573_AMZN_1,AMZN,573,NEGATION,0.01
preprocess,573_AMZN_1,AMZN,573,NUMERIC,0.1
preprocess,573_AMZN_1,AMZN,573,NO_STEM,0.1
preprocess,573_AMZN_2,AMZN,573,FREQUENCY,1.0
preprocess,573_AMZN_2,AMZN,573,NEGATION,1.0
preprocess,573_AMZN_2,AMZN,573,NUMERIC,1.0
preprocess,573_AMZN_2,AMZN,573,NO_STEM,0.1
preprocess,573_AMZN_3,AMZN,573,FREQUENCY,1.0
preprocess,573_AMZN_3,AMZN,573,NEGATION,1.0
